gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,CSU,Grüne,FDP,Linke,PRO,REP,HEIMAT,Tierschutzpartei,Graue,PBC,Die Frauen,FAMILIE,BüSo,BP,DZP,Volksabstimmung,AGFG,APPD,50Plus,MLPD,Die PARTEI,SGP,Pro DM
DE_05974052,Werl,22345,16874,237,0,5893,6822,0,959,1671,822,0,42,148,78,64,18,0,78,2,0,14,17,0,0,0,1,0,8,0
DE_05974056,Wickede (Ruhr),9079,7253,101,0,2959,2670,0,311,653,330,0,23,63,33,34,5,0,39,5,0,8,13,0,0,0,1,0,5,0
DE_05978004,Bergkamen,37437,28920,438,0,16606,6075,0,1596,1562,1665,0,110,364,162,102,12,0,147,6,0,4,24,0,0,0,34,0,13,0
DE_05978008,Bönen,14001,11312,142,0,6430,2535,0,596,698,603,0,44,118,57,21,7,0,37,6,0,1,11,0,0,0,0,0,6,0
DE_05978012,Fröndenberg,17161,13939,161,0,5979,4529,0,1000,1278,634,0,36,127,72,26,11,0,59,1,0,6,15,0,0,0,3,0,2,0
DE_05978016,Holzwickede,13738,11475,97,0,5148,3419,0,856,1127,559,0,27,77,45,39,7,0,48,4,0,0,17,0,0,0,2,0,3,0
DE_05978020,Kamen,35732,28863,357,0,15512,6816,0,1892,1836,1671,0,84,260,149,74,24,0,111,9,0,2,31,0,0,0,19,0,16,0
DE_05978024,Lünen,66007,50785,690,0,26265,13593,0,2485,3024,3174,0,198,567,252,145,71,0,196,7,0,11,43,0,0,0,34,0,30,0
DE_05978028,"Schwerte, Stadt",37868,30875,387,0,13957,8853,0,2552,2714,1601,0,109,231,156,99,15,0,123,6,0,9,48,0,0,0,9,0,6,0
DE_05978032,Selm,21177,16331,185,0,7120,5573,0,887,1262,879,0,56,138,75,43,18,0,65,2,0,6,10,0,0,0,8,0,4,0
DE_05978036,Unna,48290,38432,461,0,17701,10825,0,3075,3365,2053,0,91,365,157,111,32,0,113,10,0,18,35,0,0,0,7,0,13,0
DE_05978040,Werne,24068,19298,263,0,7847,7156,0,1135,1656,791,0,61,135,80,45,11,0,85,3,0,6,19,0,0,0,2,0,3,0
DE_06411000,Darmstadt,96914,75721,1296,0,26653,21239,0,12936,7453,4379,0,263,516,469,309,0,0,0,49,0,0,0,0,0,0,97,0,62,0
DE_06412000,Frankfurt am Main,386909,293318,5109,0,87678,84510,0,47856,38637,19386,0,1957,3031,2615,1917,0,0,0,232,0,0,0,0,0,0,190,0,200,0
DE_06413000,Offenbach am Main,67244,47849,1105,0,16041,15548,0,5288,4865,3015,0,529,691,432,233,0,0,0,37,0,0,0,0,0,0,24,0,41,0
DE_06414000,Wiesbaden,186409,140838,2417,0,45173,44485,0,18431,18441,7127,0,1439,1283,933,716,0,0,0,270,0,0,0,0,0,0,36,0,87,0
DE_06431001,Abtsteinach,1984,1645,40,0,431,797,0,106,167,53,0,16,14,14,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
DE_06431002,Bensheim,29477,23610,485,0,7448,8435,0,2634,2856,920,0,264,207,207,102,0,0,0,13,0,0,0,0,0,0,7,0,32,0
DE_06431003,Biblis,6927,5533,126,0,1836,2125,0,360,582,218,0,79,75,70,38,0,0,0,9,0,0,0,0,0,0,5,0,10,0
DE_06431004,Birkenau,7909,6518,131,0,2257,2322,0,566,719,249,0,78,87,69,29,0,0,0,5,0,0,0,0,0,0,2,0,4,0
DE_06431005,Bürstadt,11586,9278,216,0,3185,3491,0,580,973,421,0,117,106,101,55,0,0,0,12,0,0,0,0,0,0,5,0,16,0
DE_06431006,Einhausen,4730,3976,73,0,1363,1476,0,349,460,107,0,50,40,38,16,0,0,0,0,0,0,0,0,0,0,1,0,3,0
DE_06431007,Fürth,8128,6328,131,0,1995,2604,0,455,601,269,0,82,80,76,25,0,0,0,2,0,0,0,0,0,0,1,0,7,0
DE_06431008,Gorxheimertal,3321,2625,43,0,864,998,0,182,320,76,0,58,46,21,8,0,0,0,1,0,0,0,0,0,0,1,0,7,0
DE_06431009,Grasellenbach,2984,2234,50,0,819,787,0,160,219,91,0,32,28,32,9,0,0,0,3,0,0,0,0,0,0,0,0,4,0
DE_06431010,Groß-Rohrheim,2895,2339,59,0,1012,634,0,186,245,99,0,21,34,27,15,0,0,0,1,0,0,0,0,0,0,1,0,5,0
DE_06431011,Heppenheim (Bergstraße),18646,14995,304,0,5043,5550,0,1408,1559,648,0,155,142,100,57,0,0,0,7,0,0,0,0,0,0,10,0,12,0
DE_06431012,Hirschhorn (Neckar),2771,2224,28,0,783,762,0,176,275,85,0,18,55,26,13,0,0,0,1,0,0,0,0,0,0,1,0,1,0
DE_06431013,Lampertheim,24224,18902,198,0,7659,5696,0,1477,2066,981,0,199,296,151,102,0,0,0,23,0,0,0,0,0,0,11,0,43,0
DE_06431014,Lautertal (Odenwald),5850,4687,141,0,1834,1535,0,391,448,175,0,56,38,41,13,0,0,0,6,0,0,0,0,0,0,0,0,9,0
DE_06431015,Lindenfels,4138,3177,61,0,1052,1179,0,272,342,130,0,36,43,42,15,0,0,0,2,0,0,0,0,0,0,2,0,1,0
