gisco_id,name,registered,turnout,invalid,blank,EXG,PCF,LFI,PS,ECO,DIV,MoDem,LR,RN,DLF,DVG,RE,PRG,UDI,EXD,DVD,REG
FR_77245,Laval-en-Brie,351,168,5,6,5,4,18,9,6,0,0,0,43,8,0,0,0,57,0,7,0
FR_77266,Machault,509,244,0,8,1,4,34,15,19,1,0,0,38,9,0,0,0,111,0,4,0
FR_77279,Marolles-sur-Seine,1140,527,3,27,7,9,60,23,16,8,0,0,121,25,0,0,0,223,0,5,0
FR_77293,Misy-sur-Yonne,712,311,2,10,2,4,33,19,20,2,0,0,83,4,0,0,0,131,0,1,0
FR_77295,Moisenay,1031,536,3,13,5,6,70,45,34,3,0,0,114,22,0,0,0,215,0,6,0
FR_77305,Montereau-Fault-Yonne,9082,3544,0,163,59,43,445,240,68,166,0,0,512,50,0,0,0,1789,0,9,0
FR_77312,Montigny-sur-Loing,2296,1108,5,21,10,25,123,94,82,16,0,0,161,38,0,0,0,522,0,11,0
FR_77316,Moret Loing et Orvanne,9538,4509,27,111,42,98,687,523,384,37,0,0,639,137,0,0,0,1778,0,46,0
FR_77317,Mormant,3045,1112,5,39,17,15,174,78,40,12,0,0,300,43,0,0,0,374,0,15,0
FR_77354,Pamfou,676,298,2,3,4,7,40,23,12,4,0,0,59,6,0,0,0,131,0,7,0
FR_77381,Quiers,492,227,0,1,2,1,24,5,8,7,0,0,79,9,0,0,0,89,0,2,0
FR_77409,Saint-Germain-Laval,2024,871,7,24,14,15,123,71,32,10,0,0,226,16,0,0,0,326,0,7,0
FR_77419,Saint-Mammès,2393,1031,9,21,9,28,224,99,58,4,0,0,207,23,0,0,0,346,0,3,0
FR_77426,Saint-Méry,283,162,0,4,2,0,17,26,16,2,0,0,23,0,0,0,0,66,0,6,0
FR_77428,Saint-Ouen-en-Brie,694,331,1,14,4,9,67,29,15,5,0,0,79,15,0,0,0,91,0,2,0
FR_77439,Salins,783,358,0,5,4,3,63,15,18,7,0,0,84,7,0,0,0,150,0,2,0
FR_77453,Sivry-Courtry,821,395,2,9,6,4,42,45,19,6,0,0,106,16,0,0,0,130,0,10,0
FR_77463,Thomery,2725,1397,16,5,13,48,174,147,134,9,0,0,175,41,0,0,0,615,0,20,0
FR_77480,Valence-en-Brie,496,242,3,3,0,8,35,11,13,2,0,0,43,4,0,0,0,117,0,3,0
FR_77482,Varennes-sur-Seine,2324,1014,7,36,16,61,243,42,42,22,0,0,165,36,0,0,0,337,0,7,0
FR_77493,Verneuil-lÉtang,2206,783,34,0,10,16,139,72,49,8,0,0,201,24,0,0,0,223,0,7,0
FR_77494,Vernou-la-Celle-sur-Seine,2067,886,2,21,11,14,162,90,41,8,0,0,183,22,0,0,0,326,0,6,0
FR_77501,Villecerf,642,289,3,5,8,8,41,22,15,3,0,0,65,6,0,0,0,111,0,2,0
FR_77506,Villemer,516,238,1,12,6,6,34,6,15,2,0,0,63,8,0,0,0,83,0,2,0
FR_77516,Ville-Saint-Jacques,564,290,2,8,4,2,41,34,19,3,0,0,45,13,0,0,0,116,0,3,0
FR_77534,Yèbles,509,208,0,5,3,2,17,13,11,2,0,0,49,10,0,0,0,96,0,0,0
FR_77002,Amillis,567,297,2,9,5,3,31,5,8,0,0,83,78,5,0,68,0,0,0,0,0
FR_77012,Augers-en-Brie,255,116,0,1,1,2,9,14,3,2,0,51,16,0,0,17,0,0,0,0,0
FR_77015,Baby,61,42,0,0,0,0,0,0,1,0,0,32,6,2,0,1,0,0,0,0,0
FR_77019,Balloy,241,113,1,1,1,3,18,3,6,1,0,36,27,1,0,15,0,0,0,0,0
FR_77020,Bannost-Villegagnon,445,228,0,3,0,3,17,8,10,0,0,87,41,5,0,54,0,0,0,0,0
FR_77025,Bazoches-lès-Bray,660,332,2,3,3,4,39,12,5,5,0,124,80,7,0,48,0,0,0,0,0
FR_77026,Beauchery-Saint-Martin,276,159,0,1,0,3,15,3,3,0,0,63,20,2,0,49,0,0,0,0,0
FR_77030,Bellot,549,263,1,5,2,1,30,5,9,4,0,63,81,3,0,59,0,0,0,0,0
FR_77031,Bernay-Vilbert,615,343,1,2,0,1,35,16,13,1,0,113,59,2,0,100,0,0,0,0,0
FR_77032,Beton-Bazoches,519,240,1,0,2,2,25,5,2,0,0,111,49,3,0,40,0,0,0,0,0
FR_77033,Bezalles,178,75,0,0,0,3,9,4,0,1,0,28,8,0,0,22,0,0,0,0,0
FR_77036,Boisdon,102,66,0,0,1,1,0,3,3,0,0,25,10,0,0,23,0,0,0,0,0
FR_77043,Boitron,250,119,1,4,2,2,9,0,6,1,0,26,24,2,0,42,0,0,0,0,0
FR_77051,Bray-sur-Seine,1541,701,3,7,2,5,76,17,10,6,0,256,120,8,0,191,0,0,0,0,0
FR_77066,Cerneux,218,121,0,2,2,0,14,12,7,0,0,34,26,0,0,24,0,0,0,0,0
FR_77068,Cessoy-en-Montois,176,116,1,4,0,0,11,5,2,0,0,61,12,1,0,19,0,0,0,0,0
FR_77072,Chalautre-la-Grande,469,224,1,4,0,6,26,5,2,1,0,69,52,4,0,54,0,0,0,0,0
FR_77073,Chalautre-la-Petite,442,249,0,3,1,2,21,18,6,1,0,84,41,3,0,69,0,0,0,0,0
FR_77076,Chalmaison,553,277,2,9,2,7,38,4,9,0,0,83,38,1,0,84,0,0,0,0,0
FR_77080,Champcenest,145,83,0,2,0,1,7,1,4,1,0,28,12,0,0,27,0,0,0,0,0
FR_77087,La Chapelle-Iger,129,72,0,1,0,0,2,5,3,0,0,35,10,0,0,16,0,0,0,0,0
FR_77089,La Chapelle-Rablais,634,364,0,5,1,1,29,5,18,2,0,86,98,6,0,113,0,0,0,0,0
FR_77090,La Chapelle-Saint-Sulpice,143,75,1,4,1,3,8,2,0,0,0,18,14,5,0,19,0,0,0,0,0
FR_77091,Les Chapelles-Bourbon,321,160,1,1,0,1,11,6,4,1,0,39,47,3,0,46,0,0,0,0,0
FR_77093,La Chapelle-Moutils,287,169,2,1,0,2,18,3,3,2,0,55,42,2,0,39,0,0,0,0,0
FR_77097,Chartronges,237,123,0,1,0,0,9,0,1,0,0,45,26,2,0,39,0,0,0,0,0
FR_77098,Châteaubleau,284,155,4,1,2,4,23,3,3,0,0,28,35,6,0,46,0,0,0,0,0
FR_77101,Châtenay-sur-Seine,766,348,0,10,1,5,46,9,8,0,0,101,81,5,0,82,0,0,0,0,0
FR_77106,Chauffry,791,377,4,13,4,4,52,14,21,4,0,79,70,10,0,102,0,0,0,0,0
FR_77109,Chenoise,915,449,1,7,1,11,45,11,4,1,0,141,116,12,0,99,0,0,0,0,0
FR_77113,Chevru,776,322,2,8,10,1,41,4,8,0,0,86,85,10,0,67,0,0,0,0,0
FR_77116,Choisy-en-Brie,963,496,0,3,2,7,47,7,4,3,0,191,100,8,0,124,0,0,0,0,0
FR_77134,Courchamp,99,61,0,1,0,0,3,0,0,0,0,31,8,1,0,17,0,0,0,0,0
FR_77135,Courpalay,1018,457,1,6,0,9,49,33,20,4,0,88,100,12,0,135,0,0,0,0,0
FR_77137,Courtacon,171,93,0,2,1,1,1,5,2,0,0,47,10,2,0,22,0,0,0,0,0
FR_77140,Coutençon,213,113,1,2,0,0,15,2,5,0,0,33,30,2,0,23,0,0,0,0,0
FR_77144,Crèvecoeur-en-Brie,274,158,0,3,1,6,20,7,4,0,0,50,17,2,0,48,0,0,0,0,0
FR_77147,La Croix-en-Brie,516,246,0,4,0,3,26,3,8,0,0,97,50,2,0,53,0,0,0,0,0
FR_77149,Cucharmoy,182,98,0,0,2,1,5,4,0,0,0,39,22,1,0,24,0,0,0,0,0
FR_77151,Dagny,242,118,0,2,0,0,8,1,1,0,0,40,32,1,0,33,0,0,0,0,0
