gisco_id,name,registered,turnout,invalid,blank,EXG,FG,PRG,LÉ,ECO,LR,DVD,RN,PS,PRV,DVG,MoDem,EXD,NC (2007),AC,DIV,REG
FR_76207,Cuverville-sur-Yères,164,100,2,0,1,6,0,6,0,24,1,20,40,0,0,0,0,0,0,0,0
FR_76208,Cuy-Saint-Fiacre,477,309,13,0,5,21,4,79,0,79,3,101,0,0,0,4,0,0,0,0,0
FR_76209,Dampierre-en-Bray,363,226,2,0,3,3,0,97,0,73,0,48,0,0,0,0,0,0,0,0,0
FR_76210,Dampierre-Saint-Nicolas,409,225,5,0,3,15,0,2,0,56,2,36,96,0,0,10,0,0,0,0,0
FR_76211,Dancourt,191,101,1,0,0,5,0,0,0,35,0,21,37,0,0,2,0,0,0,0,0
FR_76212,Darnétal,5768,3002,71,0,85,341,32,1220,0,622,26,546,0,0,0,59,0,0,0,0,0
FR_76213,Daubeuf-Serville,286,167,0,0,0,13,0,6,0,69,0,25,52,0,0,2,0,0,0,0,0
FR_76214,Dénestanville,202,133,1,0,4,14,0,3,0,39,0,24,48,0,0,0,0,0,0,0,0
FR_76215,Derchigny,442,263,4,0,7,39,0,6,0,49,2,53,99,0,0,4,0,0,0,0,0
FR_76216,Déville-lès-Rouen,7079,3662,65,0,67,277,0,109,22,0,0,654,1688,0,0,66,0,662,0,52,0
FR_76217,Dieppe,22270,12620,154,0,133,4353,0,330,0,2714,45,1452,3267,0,0,172,0,0,0,0,0
FR_76218,Doudeauville,67,49,1,0,0,1,2,20,0,16,0,6,0,0,0,3,0,0,0,0,0
FR_76219,Doudeville,1948,1169,14,0,10,37,0,26,0,486,0,110,486,0,0,0,0,0,0,0,0
FR_76220,Douvrend,385,193,1,0,3,15,0,2,0,55,2,57,56,0,0,2,0,0,0,0,0
FR_76221,Drosay,172,122,0,0,1,8,0,3,0,58,0,7,45,0,0,0,0,0,0,0,0
FR_76222,Duclair,3079,1916,34,0,17,80,0,59,0,426,23,237,1001,0,15,0,0,24,0,0,0
FR_76223,Écalles-Alix,434,253,1,0,2,14,0,8,0,57,2,51,115,0,0,0,0,3,0,0,0
FR_76224,Écrainville,802,527,9,0,7,39,0,26,0,210,0,78,153,0,0,5,0,0,0,0,0
FR_76225,Écretteville-lès-Baons,321,198,3,0,3,10,0,9,0,69,0,17,87,0,0,0,0,0,0,0,0
FR_76226,Écretteville-sur-Mer,118,75,5,0,1,3,0,1,0,34,0,5,26,0,0,0,0,0,0,0,0
FR_76227,Ectot-lAuber,427,264,7,0,1,7,0,8,0,113,0,21,107,0,0,0,0,0,0,0,0
FR_76228,Ectot-lès-Baons,306,202,1,0,0,12,0,4,0,85,0,26,74,0,0,0,0,0,0,0,0
FR_76229,Elbeuf-en-Bray,320,183,1,0,4,10,2,47,0,61,0,50,0,0,0,8,0,0,0,0,0
