gisco_id,name,registered,turnout,invalid,blank,ENS,RN,NFP,UXD,LR,DVD,DVG,HOR,DVC,REG,UDI,EXD,DIV,ECO,DSV,LFI,PS
FR_49163,Jarzé Villages,2042,1406,21,67,0,542,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0
FR_49167,Garennes sur Loire,4012,2992,25,69,1642,623,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49170,Juvardeil,708,534,4,7,189,164,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49171,La Lande-Chasles,92,70,1,1,0,17,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
FR_49174,Huillé-Lézigné,1009,646,8,25,0,303,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0
FR_49176,Le Lion-dAngers,3930,2668,19,47,1181,801,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49178,Loiré,665,480,5,3,196,215,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49180,Longué-Jumelles,5178,3297,37,111,0,1567,0,0,1582,0,0,0,0,0,0,0,0,0,0,0,0
FR_49182,Louresse-Rochemenier,623,478,2,17,263,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49183,Val d'Erdre-Auxence,3614,2451,20,55,942,928,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49188,Marcé,675,517,8,36,0,180,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0
FR_49192,Maulévrier,2373,1659,20,80,999,0,1,559,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49193,Le May-sur-Èvre,3002,2030,34,74,1195,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49194,Mazé,4445,3118,62,176,0,1050,0,0,1830,0,0,0,0,0,0,0,0,0,0,0,0
FR_49195,Mazières-en-Mauges,910,675,11,34,407,0,1,222,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49200,Longuenée-en-Anjou,5056,3804,34,89,1633,1075,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49201,La Ménitré,1634,1149,16,77,0,366,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0
FR_49205,Miré,647,452,6,6,155,215,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49209,Montigné-lès-Rairies,284,192,2,7,0,66,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0
