gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,B.E.,PCP-PEV,CDS-PP,PAN,A,L,PPM.PPV/CDC,NC,IL,PCTP/MRPP,PNR,PDR,PURP,PTP,MAS
PT_090107,Forninhos,227,88,1,3,26,47,1,0,5,0,1,0,2,0,0,0,1,0,0,0,1
PT_090106,Eirado,245,112,5,11,29,16,3,0,39,0,4,0,2,0,0,0,1,1,1,0,0
PT_090105,Dornelas,676,170,2,6,42,76,8,1,17,4,2,0,0,0,1,2,3,2,1,3,0
PT_090103,Cortiçada,439,149,3,3,62,61,2,2,11,2,1,0,0,1,0,0,0,0,0,1,0
PT_090102,Carapito,448,161,3,11,44,62,9,2,10,8,1,1,5,0,1,1,0,0,0,0,3
PT_081603,Monte Gordo,3107,497,9,8,175,71,56,86,17,18,4,5,19,6,3,12,2,1,4,1,0
PT_081602,Vila Real De Santo António,10397,2471,42,70,884,320,329,399,97,101,35,37,40,39,7,27,16,10,8,5,5
PT_081601,Vila Nova De Cacela,3310,798,5,27,331,117,92,68,39,38,9,16,21,12,3,9,1,5,3,1,1
PT_081506,Vila do Bispo e Raposeira,1084,293,13,26,97,42,45,17,4,25,2,5,4,1,1,6,0,0,4,1,0
PT_081504,Sagres,1553,353,11,26,135,48,34,28,12,29,1,5,5,5,4,4,4,0,2,0,0
PT_081502,Budens,1097,333,4,21,134,43,41,27,11,21,3,4,3,5,1,6,1,2,4,0,2
PT_081501,Barão De São Miguel,298,119,1,8,41,14,22,13,1,6,2,2,1,1,0,1,1,1,1,3,0
PT_081412,Tavira (Santa Maria e Santiago),12714,3421,80,201,1207,615,465,170,162,191,64,63,39,51,28,27,19,9,21,5,4
PT_081411,Luz de Tavira e Santo Estêvão,3707,1070,25,36,443,173,147,59,49,36,12,20,21,13,7,9,6,1,7,4,2
PT_081410,Conceição e Cabanas de Tavira,2379,625,9,22,262,81,100,32,20,34,3,9,5,10,12,7,5,6,4,2,2
PT_081408,Santa Luzia,1305,360,7,25,142,36,51,33,13,19,8,3,7,4,0,5,1,1,2,2,1
PT_081404,Santa Catarina Da Fonte Do Bispo,1394,469,25,30,212,83,46,14,20,14,4,1,1,3,2,5,2,6,0,1,0
PT_081401,Cachopo,542,174,14,7,89,44,7,3,4,2,1,0,1,0,0,1,1,0,0,0,0
PT_081310,Algoz e Tunes,5007,1390,45,64,464,242,170,103,53,82,20,22,32,18,9,22,17,10,9,7,1
PT_081309,Alcantarilha e Pêra,3895,1036,17,45,349,177,130,101,59,63,10,10,21,9,3,18,5,3,5,7,4
PT_081307,Silves,8859,2497,67,132,708,330,256,414,77,148,24,96,41,22,20,46,24,11,24,42,15
PT_081306,São Marcos Da Serra,1003,272,10,13,119,30,30,41,12,4,1,1,2,1,0,4,0,1,1,2,0
PT_081305,São Bartolomeu De Messines,6921,1895,52,114,660,231,197,301,72,83,27,18,51,16,5,31,10,9,10,5,3
PT_081303,Armação De Pêra,4598,1071,38,23,345,204,138,72,60,70,24,10,25,20,6,13,9,2,8,4,0
PT_081201,São Brás De Alportel,9297,2728,66,138,1017,518,311,171,100,153,54,41,42,28,14,25,15,12,7,11,5
PT_081103,Portimão,40414,11046,251,443,3540,1691,1683,727,587,726,220,214,267,216,68,123,80,52,96,35,27
PT_081102,Mexilhoeira Grande,3247,1110,39,50,472,110,138,61,35,86,13,18,17,9,11,17,8,6,9,8,3
PT_081101,Alvor,5140,1528,41,58,498,210,223,119,68,125,29,28,38,30,11,21,5,11,10,1,2
PT_081006,Moncarapacho e Fuseta,7704,2097,59,88,702,394,289,131,95,119,22,38,43,21,5,29,12,21,20,3,6
PT_081005,Quelfes,14274,3480,80,152,1177,424,548,274,181,247,55,51,96,59,14,36,30,15,27,7,7
PT_081004,Pechão,2891,822,14,46,266,119,129,74,29,59,17,9,19,15,6,9,2,3,3,1,2
PT_081003,Olhão,12614,2835,65,135,992,394,396,225,124,196,35,58,51,29,10,51,24,11,30,4,5
PT_080903,Monchique,3800,1491,57,69,522,311,176,110,49,69,16,23,36,9,6,23,1,2,8,3,1
PT_080902,Marmelete,594,201,8,16,50,58,21,12,9,6,1,1,5,3,2,5,2,0,0,1,1
PT_080901,Alferce,317,131,4,7,46,31,21,5,3,3,1,1,0,2,0,4,1,1,1,0,0
PT_080812,"Querença, Tôr e Benafim",2207,699,26,31,292,156,60,35,23,35,10,4,5,3,2,3,4,1,6,3,0
PT_080809,Loulé (São Sebastião),6272,1571,40,98,505,362,171,69,92,71,23,22,26,28,9,15,13,3,9,10,5
PT_080808,Loulé (São Clemente),15286,4000,115,189,1414,675,505,197,190,262,78,99,75,52,31,33,20,27,15,13,10
PT_080807,Salir,2323,645,27,27,283,134,69,27,16,28,2,5,5,3,1,11,1,2,2,1,1
PT_080805,Quarteira,19752,3931,99,141,1229,944,400,145,261,244,98,52,98,54,31,30,31,25,18,19,12
PT_080804,Boliqueime,4016,1129,39,73,333,289,101,34,57,74,17,6,50,5,9,14,16,4,5,2,1
PT_080803,Ameixial,378,126,5,2,73,26,4,4,3,1,1,3,0,1,0,0,1,1,1,0,0
PT_080802,Alte,1609,506,17,17,252,88,28,29,19,18,2,7,6,4,2,10,1,1,1,2,2
PT_080801,Almancil,8209,1721,44,58,661,381,147,70,90,109,25,18,33,17,13,16,8,10,11,8,2
PT_080708,São Gonçalo de Lagos,17913,4818,104,196,1624,691,742,402,201,299,101,122,68,77,32,42,32,36,28,9,12
PT_080707,Bensafrim e Barão de São João,1850,607,13,34,254,58,85,52,19,32,20,5,13,7,2,6,1,3,3,0,0
PT_080704,Odiáxere,2162,618,14,30,272,65,69,49,24,32,7,16,10,6,1,7,3,4,3,2,4
PT_080703,Luz,2297,613,14,32,207,72,87,52,40,41,13,10,13,5,4,6,10,3,0,3,1
PT_080608,Lagoa e Carvoeiro,8062,2199,61,87,750,419,264,108,100,160,40,28,63,25,16,30,9,13,11,9,6
PT_080607,Estômbar e Parchal,7405,2225,54,85,845,322,315,165,81,120,29,26,63,31,6,28,20,8,18,7,2
PT_080604,Porches,1656,409,5,12,150,86,48,15,20,24,6,7,7,8,1,5,5,4,3,2,1
PT_080602,Ferragudo,1640,552,7,22,275,64,59,36,12,26,8,13,7,6,1,7,5,3,0,1,0
PT_080508,Faro (Sé e São Pedro),39837,12724,227,509,4033,2105,1835,953,684,885,271,294,246,254,125,87,65,57,60,15,19
PT_080507,Conceição e Estoi,6770,1846,50,84,701,303,212,133,80,97,32,27,40,25,7,20,8,11,10,0,6
PT_080506,Montenegro,7025,2405,43,106,669,465,366,117,137,195,68,56,41,57,28,13,16,13,7,5,3
PT_080503,Santa Bárbara De Nexe,3063,906,28,41,290,157,97,142,37,42,7,15,12,12,1,13,6,2,2,1,1
PT_080404,Altura,1888,468,13,17,180,76,65,33,18,22,14,6,7,3,2,6,0,3,1,1,1
PT_080403,Odeleite,572,169,5,4,79,49,5,6,11,3,0,0,1,1,1,2,0,1,0,0,1
PT_080402,Castro Marim,2890,755,20,31,273,134,91,60,26,31,15,17,15,9,4,12,4,7,4,1,1
PT_080401,Azinhal,436,156,4,4,55,47,10,12,10,2,0,2,3,1,0,3,2,0,1,0,0
PT_080304,Rogil,883,286,9,15,130,21,34,23,7,20,6,4,2,3,2,3,0,0,5,2,0
PT_080303,Odeceixe,766,267,8,22,95,27,21,44,7,16,3,4,5,1,2,6,2,2,0,2,0
PT_080302,Bordeira,325,78,5,3,29,10,9,11,3,4,0,1,2,0,0,0,0,0,1,0,0
PT_080301,Aljezur,2269,617,18,22,236,79,65,48,21,57,13,9,11,10,3,9,3,1,0,3,9
PT_080206,Alcoutim e Pereiro,944,303,9,13,171,42,20,26,10,2,1,0,2,2,0,0,1,2,2,0,0
PT_080205,Vaqueiros,393,101,2,2,57,22,4,4,7,1,0,0,0,1,0,1,0,0,0,0,0
PT_080203,Martim Longo,900,250,8,12,103,76,11,18,8,4,0,1,4,0,0,3,0,0,0,1,1
PT_080202,Giões,180,90,1,2,42,24,2,10,5,0,1,0,1,0,0,1,0,1,0,0,0
PT_080106,Albufeira e Olhos de Água,23391,5108,126,238,1403,1156,614,315,264,360,108,82,176,54,30,49,47,29,24,20,13
PT_080104,Ferreiras,5378,1382,47,68,457,228,172,72,80,97,24,16,42,21,11,10,19,2,6,5,5
PT_080103,Paderne,2652,716,23,30,264,121,83,29,44,42,6,10,21,3,3,7,13,6,5,5,1
PT_080102,Guia,3485,837,30,37,252,178,93,34,47,69,19,16,23,9,6,6,6,5,2,3,2
PT_071406,Nossa Senhora da Conceição e São Bartolomeu,4158,703,18,20,224,127,76,91,44,14,15,7,30,7,3,15,3,1,2,2,4
PT_071404,Pardais,438,132,9,5,56,8,13,18,0,7,4,2,3,0,1,3,0,3,0,0,0
PT_071402,Ciladas,863,215,2,3,107,22,24,32,5,2,0,3,8,0,1,6,0,0,0,0,0
