gisco_id,name,registered,turnout,invalid,blank,PPD/PSD.CDS-PP,PS,B.E.,PDA,PCP-PEV,PCTP/MRPP,MD,POUS,PND,PPM,P.N.R.,MPT,P.H.
PT_050206,Cebolais De Cima,1267,656,5,24,144,371,27,1,57,12,3,0,6,2,2,2,0
PT_050207,Escalos De Baixo,830,394,6,5,52,310,6,0,6,4,1,1,1,0,1,0,1
PT_050208,Escalos De Cima,1102,443,4,10,73,326,8,2,6,4,3,0,2,3,1,0,1
PT_050209,Freixial Do Campo,527,237,3,7,41,153,14,2,6,2,2,0,4,0,2,0,1
PT_050210,Juncal Do Campo,516,246,6,13,46,154,7,0,4,2,4,0,3,1,1,4,1
PT_050211,Lardosa,923,368,4,4,91,216,17,2,16,3,7,0,3,0,2,1,2
PT_050212,Louriçal Do Campo,795,244,3,2,94,113,4,0,19,6,0,1,0,0,1,0,1
PT_050213,Lousa,754,330,5,6,67,223,9,0,9,5,0,0,1,1,2,0,2
PT_050214,Malpica Do Tejo,767,320,7,4,44,214,5,0,32,6,0,0,1,2,2,0,3
PT_050215,Mata,590,223,6,0,53,135,6,1,7,5,0,0,3,2,0,0,5
PT_050216,Monforte Da Beira,526,218,2,1,41,156,1,0,5,5,0,1,0,0,3,2,1
PT_050217,Ninho Do Açor,535,223,8,2,41,153,4,0,4,1,0,0,0,1,2,7,0
PT_050218,Póvoa De Rio De Moinhos,676,239,11,13,84,102,8,1,5,2,0,3,4,3,2,0,1
PT_050219,Retaxo,919,445,3,16,101,282,16,1,16,2,2,0,4,0,2,0,0
PT_050220,Salgueiro Do Campo,980,442,7,8,155,222,8,0,19,5,2,0,3,4,1,3,5
PT_050221,Santo André Das Tojeiras,1247,472,12,16,190,236,5,0,4,0,2,1,1,0,2,0,3
PT_050222,São Vicente Da Beira,1648,593,9,7,222,299,13,0,16,5,4,0,9,2,1,2,4
PT_050223,Sarzedas,2047,720,14,21,370,270,6,0,9,5,0,1,10,0,3,2,9
PT_050224,Sobral Do Campo,531,190,5,6,51,114,1,1,3,2,2,0,2,1,1,0,1
PT_050225,Tinalhas,688,222,3,6,49,144,9,0,3,2,1,0,2,1,0,0,2
PT_050301,Vila Do Carvalho,1941,775,14,10,78,531,18,1,92,15,0,3,3,6,0,4,0
PT_050302,Aldeia De São Francisco De Assis,705,262,4,7,73,143,7,0,22,3,1,0,0,0,1,1,0
PT_050303,Aldeia Do Souto,323,109,4,6,8,70,3,2,5,2,1,0,1,0,4,1,2
PT_050304,Barco,767,277,6,7,79,160,6,2,6,3,1,2,0,0,1,1,3
PT_050305,Boidobra,1916,765,11,18,94,450,32,1,130,13,3,3,7,2,0,0,1
PT_050306,Casegas,741,257,3,0,88,130,5,4,14,3,2,0,2,0,0,3,3
PT_050307,Covilhã (Conceição),7072,3068,29,54,703,1808,142,5,252,18,8,5,17,11,5,8,3
PT_050308,Cortes Do Meio,879,240,5,6,85,107,5,1,21,2,0,1,0,0,3,2,2
PT_050309,Dominguizo,1009,388,6,11,124,188,13,0,22,6,5,0,4,1,3,2,3
PT_050310,Erada,928,433,6,6,95,265,13,1,22,5,4,1,8,1,1,1,4
PT_050311,Ferro,1504,420,10,12,87,249,17,0,25,6,2,0,6,3,0,0,3
PT_050312,Orjais,913,337,9,9,74,210,10,1,10,5,0,1,1,1,4,0,2
PT_050313,Ourondo,489,179,7,3,74,74,3,0,10,1,2,0,3,0,1,0,1
PT_050314,Paul,1554,481,6,15,177,211,18,1,36,6,3,0,2,3,3,0,0
PT_050315,Peraboa,985,288,4,4,108,136,13,0,9,3,2,1,5,2,0,1,0
PT_050316,Peso,724,299,8,11,83,172,4,1,10,1,2,0,2,1,0,2,2
PT_050317,Covilhã (Santa Maria),2514,911,6,20,233,509,41,0,82,5,1,0,8,3,0,1,2
PT_050318,São Jorge Da Beira,1016,305,9,6,75,179,2,1,20,8,0,1,1,1,0,0,2
PT_050319,Covilhã (São Martinho),4172,1674,24,32,278,1080,69,0,134,21,1,1,15,7,5,3,4
PT_050320,Covilhã (São Pedro),2282,942,15,15,302,470,50,0,64,3,2,1,12,4,0,4,0
PT_050321,Sarzedo,256,92,4,0,15,65,2,0,1,2,0,0,0,2,1,0,0
PT_050322,Sobral De São Miguel,666,251,9,2,95,113,8,1,10,5,2,1,0,2,0,3,0
PT_050323,Teixoso,3751,1316,22,32,214,871,58,0,75,26,4,1,4,2,1,2,4
PT_050324,Tortosendo,4497,2153,29,50,385,970,90,3,532,48,4,2,18,7,1,6,8
PT_050325,Unhais Da Serra,1338,609,12,9,86,401,27,1,51,10,3,0,5,0,0,2,2
PT_050326,Vale Formoso,513,137,0,4,34,88,3,0,3,1,0,1,0,1,0,1,1
PT_050327,Verdelhos,788,111,1,7,19,65,3,0,12,0,1,0,0,0,0,1,2
PT_050328,Vales Do Rio,764,320,5,10,94,170,12,2,15,1,0,0,5,3,0,1,2
PT_050329,Coutada,598,210,4,5,45,121,8,1,11,4,1,1,3,1,1,2,2
