gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD.CDS-PP.PPM,CH,IL,BE,PCP-PEV,L,ADN,PAN,Volt,E,ND,RIR,MAS,MPT,NC,PTP
PT_160420,Pias,806,256,1,8,54,138,24,15,3,2,3,6,0,1,0,0,0,0,1,0,0
PT_160418,Moreira,636,222,2,3,34,107,41,20,6,0,1,6,1,0,0,0,1,0,0,0,0
PT_160415,Merufe,1013,285,4,5,31,168,27,21,5,1,7,12,0,1,0,1,1,0,0,1,0
PT_160411,Longos Vales,997,267,3,4,97,97,28,18,4,3,3,3,3,1,0,3,0,0,0,0,0
PT_160410,Lara,278,118,1,4,33,47,16,10,1,0,2,1,0,0,1,1,0,0,0,0,1
PT_160407,Cambeses,460,165,2,2,53,59,20,15,4,3,1,3,2,0,0,1,0,0,0,0,0
PT_160406,Bela,681,192,0,0,68,72,21,13,4,0,2,7,2,1,0,0,0,1,1,0,0
PT_160405,Barroças E Taias,338,119,2,7,23,36,24,10,2,2,9,3,0,0,0,0,0,1,0,0,0
PT_160404,Barbeita,970,300,2,2,106,106,34,29,2,3,6,5,1,1,1,1,1,0,0,0,0
PT_160401,Abedim,205,78,1,1,14,43,4,3,3,0,3,4,0,2,0,0,0,0,0,0,0
PT_160323,Vila e Roussas,2453,763,0,19,287,270,64,58,23,13,10,9,6,1,0,1,1,0,0,1,0
PT_160322,Prado e Remoães,481,196,0,1,89,67,16,8,7,1,2,4,0,0,0,0,0,1,0,0,0
PT_160321,Parada do Monte e Cubalhão,854,197,1,6,36,109,5,16,2,1,4,7,1,0,4,0,0,2,1,1,1
PT_160320,Chaviães e Paços,769,196,0,1,99,52,15,7,8,0,4,3,2,2,1,0,0,2,0,0,0
PT_160319,Castro Laboreiro e Lamas de Mouro,820,286,3,9,107,88,17,22,12,10,10,4,1,0,0,3,0,0,0,0,0
PT_160317,São Paio,651,165,0,4,53,53,24,4,5,2,4,9,1,1,0,2,1,0,2,0,0
PT_160313,Penso,513,179,0,1,71,53,15,17,5,2,4,4,3,1,0,1,0,0,1,1,0
PT_160311,Paderne,1157,267,3,5,116,84,31,13,2,2,4,3,2,0,0,1,0,0,0,1,0
PT_160308,Gave,271,106,1,0,36,58,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0
PT_160307,Fiães,221,58,0,3,31,15,3,1,1,2,0,1,1,0,0,0,0,0,0,0,0
PT_160305,Cristoval,522,169,3,1,70,55,19,9,0,4,3,2,0,0,0,1,1,1,0,0,0
PT_160304,Cousso,390,98,0,2,37,48,3,3,1,0,1,2,0,0,0,0,0,1,0,0,0
PT_160301,Alvaredo,521,196,1,5,75,58,26,15,4,1,4,3,1,2,0,1,0,0,0,0,0
PT_160225,Venade e Azevedo,871,505,1,8,146,196,55,45,11,6,19,7,6,0,2,0,2,1,0,0,0
PT_160224,Moledo e Cristelo,1540,1132,1,8,317,434,73,158,44,26,44,9,11,0,3,0,1,1,0,0,2
PT_160223,Gondar e Orbacém,398,233,2,1,69,81,22,22,5,8,6,6,1,1,4,1,1,1,0,1,1
PT_160222,Caminha (Matriz) e Vilarelho,2274,1510,8,22,448,540,115,150,73,56,54,13,19,1,3,5,0,1,1,1,0
PT_160221,"Arga (Baixo, Cima e São João)",184,244,1,2,58,100,16,32,14,4,5,5,1,1,0,1,4,0,0,0,0
PT_160220,Vile,263,163,5,3,52,66,15,9,1,4,1,2,1,1,0,2,0,0,0,0,1
PT_160218,Vilar De Mouros,733,404,1,6,138,131,23,33,17,24,15,5,6,1,0,1,1,2,0,0,0
PT_160217,Vila Praia De Âncora,4899,1737,18,21,571,582,171,130,60,66,53,22,30,4,4,2,1,1,1,0,0
PT_160215,Seixas,1358,695,6,10,237,233,62,67,25,17,15,5,9,3,1,3,0,0,2,0,0
PT_160214,Riba De Âncora,645,339,3,1,105,112,30,36,12,12,13,5,6,0,1,2,0,0,1,0,0
PT_160211,Lanhelas,929,504,1,5,157,202,40,47,16,8,11,9,5,0,1,0,0,1,0,0,1
PT_160209,Dem,316,184,1,1,76,65,14,14,2,4,2,1,1,0,1,0,0,0,0,1,1
PT_160205,Argela,356,225,5,6,78,72,20,16,6,9,6,2,2,0,0,0,1,1,0,1,0
PT_160201,Âncora,1141,534,6,5,199,156,50,40,27,14,10,12,5,3,2,0,1,0,1,0,3
PT_160164,"Vilela, São Cosme e São Damião e Sá",580,291,2,3,77,167,20,12,0,0,1,5,1,0,0,0,2,1,0,0,0
PT_160163,Távora (Santa Maria e São Vicente),999,476,2,6,186,189,25,26,7,9,10,8,4,0,2,1,1,0,0,0,0
PT_160162,Souto e Tabaçô,956,373,1,4,98,193,32,17,6,2,7,7,1,0,0,2,1,0,0,0,2
PT_160161,São Jorge e Ermelo,876,274,0,0,92,123,26,8,6,3,3,7,2,0,2,1,0,0,1,0,0
PT_160160,Portela e Extremo,453,135,2,2,33,67,15,5,0,0,0,7,1,0,0,1,0,0,2,0,0
PT_160159,Padreiro (Salvador e Santa Cristina),420,268,1,2,97,124,14,15,0,0,3,8,2,0,0,2,0,0,0,0,0
PT_160158,Jolda (Madalena) e Rio Cabrão,488,210,4,0,52,99,21,25,3,0,2,3,0,0,1,0,0,0,0,0,0
PT_160157,Guilhadeses e Santar,1211,451,4,6,135,224,19,13,10,10,10,10,0,2,1,0,2,2,2,1,0
PT_160156,Grade e Carralcova,473,222,3,3,39,139,12,7,6,2,0,7,2,1,0,0,0,0,1,0,0
PT_160155,Eiras e Mei,395,149,1,3,56,55,5,7,1,6,3,7,1,0,1,2,0,1,0,0,0
PT_160154,"Arcos de Valdevez (Salvador), Vila Fonche e Parada",2726,1209,7,13,463,393,94,105,28,22,38,15,18,4,1,2,3,1,1,1,0
PT_160153,Arcos de Valdevez (São Paio) e Giela,1737,727,5,16,209,316,51,57,10,11,23,13,9,2,0,3,2,0,0,0,0
PT_160152,Alvora e Loureda,441,183,2,3,38,95,25,6,4,1,2,3,0,0,2,0,1,1,0,0,0
PT_160149,Vale,821,181,3,4,49,79,20,3,4,5,7,4,1,0,1,1,0,0,0,0,0
PT_160146,Soajo,1126,379,4,3,106,141,39,15,14,21,15,11,2,0,1,1,3,1,0,1,1
PT_160145,Sistelo,276,243,2,3,67,88,19,17,11,10,8,10,2,1,0,0,3,1,0,1,0
PT_160144,Senharei,269,75,2,1,27,36,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0
PT_160142,Jolda (São Paio),345,162,0,7,67,61,13,3,3,2,0,3,1,1,0,1,0,0,0,0,0
PT_160133,Sabadim,510,168,2,3,53,82,10,6,3,1,2,2,1,0,0,0,0,3,0,0,0
PT_160131,Rio De Moinhos,495,194,0,2,53,109,5,8,5,0,4,4,1,1,0,1,0,0,0,0,1
PT_160130,Rio Frio,713,255,2,6,87,110,18,11,1,3,4,7,5,0,0,0,0,1,0,0,0
PT_160128,Prozelo,912,319,2,3,113,150,23,7,6,2,1,5,3,1,0,1,0,0,0,2,0
PT_160125,Padroso,240,96,0,3,29,47,7,3,0,0,1,4,0,0,0,0,0,1,0,1,0
PT_160124,Paçô,1048,327,4,10,128,112,26,19,6,3,8,7,1,1,1,0,1,0,0,0,0
PT_160123,Oliveira,354,161,0,1,60,59,13,8,5,2,3,6,2,1,0,0,0,0,1,0,0
PT_160122,Monte Redondo,253,103,2,2,21,52,12,5,1,0,2,4,1,0,0,0,0,1,0,0,0
