gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,FDP,DIE LINKE,GRÜNE,CSU,NPD,REP,FAMILIE,Die Tierschutzpartei,PBC,MLPD,BüSo,BP,PSG,Volksabstimmung,ZENTRUM,ADM,CM,DKP,DVU,DIE VIOLETTEN,FWD,ödp,PIRATEN,RRP,RENTNER
DE_01051131,Westerborstel,85,71,2,0,10,26,18,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE_01051132,Westerdeichstrich,734,429,14,0,114,137,87,25,33,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
DE_01051133,Wiemerstedt,132,89,2,0,7,44,25,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_01051134,Windbergen,642,437,17,0,91,184,78,16,35,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0
DE_01051135,Wolmersdorf,261,198,6,0,40,75,40,12,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
DE_01051136,Wrohm,572,403,15,0,62,188,83,14,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4
DE_01051137,Nordermeldorf,462,305,7,0,60,148,52,21,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
DE_01051138,Tensbüttel-Röst,534,381,12,0,66,162,73,18,36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3
DE_01051139,Süderdorf,298,235,9,0,17,131,52,9,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051140,Oesterwurth,222,146,8,0,25,58,23,13,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DE_01051141,Süderheistedt,476,324,9,0,61,137,54,17,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2
DE_01051999,Briefwahl für mehrere Gemeinden,0,9632,141,0,2013,3543,1889,710,1028,0,58,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,151,0,91
DE_01053001,Albsfelde,58,45,0,0,11,17,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
