gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,ΔΗ.ΣΥ.,Παναγιώτου,ΔΗ.ΚΟ.,Ε.ΛΑ.Μ.,Βολτ,ΔΗ.ΠΑ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Κ.Ο.Σ.Π.,Κ.Ε.Κ.Κ.,Κ.Ζ.Κ.,Κ.Ε.Δ.,Ζερβίδης,ΝΙΚΗ
CY_5345,Lemithou,138,112,0,16,15,16,21,11,10,0,8,6,3,5,1,0,0,0
CY_5350,Κάτω Πλάτρες (Toρνάρηδες),189,162,4,17,32,24,10,19,23,14,1,13,2,0,0,3,0,0
CY_5351,Pano Platres,276,237,2,11,8,79,46,36,31,8,1,10,3,0,2,0,0,0
CY_5352,Φοινί,492,428,2,37,68,76,56,35,84,5,1,59,1,4,0,0,0,0
CY_5355,Αμίαντος,278,252,3,21,50,69,34,23,31,6,12,2,1,0,0,0,0,0
CY_5360,Άγιος Θεόδωρος Λεμεσού,202,182,10,11,22,65,25,14,17,2,2,7,2,5,0,0,0,0
CY_5361,Άγιος Ιωάννης Λεμεσού,421,365,9,27,53,117,61,24,43,3,1,12,1,9,0,2,0,3
CY_5362,Κάτω Μύλος,97,52,0,0,3,18,6,13,8,1,0,2,0,0,0,1,0,0
CY_5363,Potamitissa,141,124,3,9,7,41,17,24,12,3,1,4,0,3,0,0,0,0
CY_5364,Δύμες,171,145,1,4,26,33,29,30,11,2,1,2,3,1,1,0,1,0
CY_5365,Pelendri,1137,892,21,59,401,187,102,27,48,9,7,18,6,2,0,3,1,1
CY_5366,Agros,740,624,6,33,66,235,80,61,95,13,11,12,4,5,0,3,0,0
CY_5367,Agridia,140,78,0,1,8,11,1,40,10,0,3,3,0,0,0,1,0,0
CY_5368,Χανδριά,225,198,6,11,1,91,16,6,45,1,3,3,1,6,2,5,1,0
CY_5369,Κυπερούντα,1432,1217,14,33,136,422,232,54,199,16,38,36,6,23,2,0,2,4
CY_6000,Πάφος,21496,15953,351,2013,1716,2930,2904,2266,1387,378,283,1346,128,87,76,48,28,12
CY_6010,Γεροσκήπου,5276,4035,93,362,647,551,974,495,307,108,45,372,29,27,8,5,8,4
CY_6011,Konia,1189,932,21,58,166,142,192,115,107,37,6,62,11,1,10,4,0,0
CY_6012,Agia Marinouda,296,254,3,28,26,47,53,26,29,5,2,25,6,1,2,0,0,1
CY_6014,Αχέλεια,140,128,3,11,9,11,34,35,10,4,3,6,0,2,0,0,0,0
CY_6020,Χλώρακας,2579,1981,74,129,283,370,425,233,248,40,30,93,10,21,10,5,2,8
CY_6021,Lempa,314,197,11,6,16,34,52,30,26,10,0,3,0,6,3,0,0,0
CY_6022,Έμπα,2829,2113,46,135,201,462,480,295,258,33,26,126,11,10,9,15,3,3
CY_6023,Tremithousa,531,320,9,12,54,55,77,44,39,2,2,18,2,2,4,0,0,0
CY_6024,Μέσα Χωριό,325,271,13,15,57,35,48,41,25,8,3,19,3,1,2,0,1,0
CY_6025,Μεσόγη,1010,664,14,40,87,90,159,116,77,7,2,50,8,8,3,1,1,1
CY_6026,Τάλα,1052,841,14,85,95,90,171,124,105,17,8,92,12,10,6,7,3,2
CY_6027,Kissonerga,1155,930,24,55,196,113,224,109,94,13,13,66,6,3,4,3,2,5
CY_6100,Κούκλια Πάφου,688,578,11,54,44,118,133,88,44,5,10,55,0,9,3,2,1,1
CY_6101,Μανδριά Πάφου,485,408,5,26,65,62,109,37,51,9,11,21,3,4,2,1,1,1
CY_6102,Nikokleia,95,59,0,0,2,8,7,14,15,0,0,4,9,0,0,0,0,0
CY_6104,Τίμη,846,717,15,84,125,90,182,62,82,7,4,54,2,4,3,3,0,0
CY_6106,Αγία Βαρβάρα Πάφου,139,107,6,1,11,21,29,25,10,0,0,3,0,1,0,0,0,0
CY_6107,Anarita,397,318,6,32,31,31,63,40,24,8,24,43,3,11,1,0,1,0
CY_6110,Marathounta,260,219,3,16,40,32,52,23,31,6,3,5,0,3,0,2,0,3
CY_6111,Armou,310,263,4,30,34,26,39,39,39,6,7,29,5,3,0,2,0,0
CY_6112,Επισκοπή Πάφου,169,155,2,10,33,30,19,10,22,0,1,19,6,1,1,1,0,0
CY_6113,Nata,173,152,4,21,28,11,25,21,18,0,2,17,0,4,1,0,0,0
CY_6114,Χολέτρια,223,197,6,24,23,39,51,8,26,2,1,15,1,0,1,0,0,0
CY_6115,Αξύλου,94,88,2,12,9,4,17,11,25,0,3,4,0,0,0,0,1,0
CY_6116,Eledio,58,56,1,19,4,11,6,2,1,2,1,5,1,3,0,0,0,0
CY_6122,Stroumpi,438,371,3,33,19,48,80,50,75,7,20,27,1,5,2,0,1,0
CY_6120,Tsada,607,494,21,58,49,81,107,60,40,8,3,54,6,2,2,0,1,2
CY_6121,Κοίλη,261,232,1,24,36,38,28,47,23,3,3,20,1,5,2,0,0,1
CY_6123,Polemi,572,466,18,43,39,90,72,78,61,0,19,32,3,6,1,2,0,2
CY_6124,Kallepeia,221,190,1,21,43,26,25,31,16,5,3,12,3,1,2,0,0,1
CY_6125,Λετύμβου,229,207,3,10,25,33,18,55,15,2,2,39,2,0,0,0,3,0
CY_6128,Lemona,97,86,1,6,5,12,27,14,8,0,3,7,2,0,0,0,0,1
CY_6129,Χούλου,230,195,5,32,17,23,52,28,11,1,0,21,0,0,4,0,0,1
CY_6130,Akoursos,28,17,0,1,0,5,3,0,7,0,0,1,0,0,0,0,0,0
CY_6132,Kathikas,264,232,4,21,29,42,40,36,28,3,4,20,2,1,1,1,0,0
CY_6133,Pegeia,2102,1695,54,184,233,335,341,204,176,20,20,83,14,16,2,5,4,4
CY_6200,Πάνω Aρχιμανδρίτα,75,45,0,0,3,14,10,4,13,0,0,0,0,1,0,0,0,0
CY_6201,Φασούλα Πάφου,50,47,0,6,4,4,24,3,2,0,1,2,0,0,1,0,0,0
CY_6204,Mamonia,101,98,2,8,7,8,30,18,9,0,0,10,3,2,0,1,0,0
CY_6205,Άγιος Γεώργιος Πάφου,99,92,1,8,11,7,31,18,5,0,1,3,3,2,0,0,1,1
CY_6206,Σταυροκόννου,60,55,0,6,14,5,12,6,8,0,0,1,0,2,1,0,0,0
CY_6208,Τραχυπέδουλα,156,76,2,1,11,5,7,23,17,1,0,3,0,6,0,0,0,0
CY_6210,Kelokedara,182,143,2,21,10,15,22,31,17,4,0,10,1,3,0,6,0,1
CY_6211,Salamiou,243,202,0,35,41,12,29,31,15,2,8,12,2,11,0,0,0,4
CY_6213,Kedares,89,77,0,6,12,8,4,12,2,0,0,3,30,0,0,0,0,0
