gisco_id,name,registered,turnout,invalid,blank,ΔΗ.ΣΥ.,Α.Κ.Ε.Λ.,ΔΗ.ΚΟ.,Α.ΔΗ.Κ.,Ε.ΔΗ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Ν.Ο.,Κ.Ο.Σ.Π.,Ευστρατίου,Τσαγγαρίδης,Παυλίδης,Γιασεμίδης,Αριστείδης
CY_5369,Kyperounta,1413,1333,35,6,763,209,183,18,11,45,49,12,0,0,2,0,0
CY_6001,Pafos,14718,13166,274,282,3201,3152,2777,316,429,2032,390,168,136,5,0,0,4
CY_6010,Geroskipou,3235,2977,61,54,629,1007,535,52,89,429,73,19,28,0,0,0,1
CY_6011,Konia,398,372,6,7,64,84,82,13,14,70,24,2,6,0,0,0,0
CY_6012,Agia Marinouda,102,101,2,1,21,34,15,0,3,20,1,0,4,0,0,0,0
CY_6013,Koloni,179,181,5,8,40,61,44,1,4,15,0,1,2,0,0,0,0
CY_6014,Acheleia,96,98,0,5,20,17,35,4,0,11,3,0,3,0,0,0,0
CY_6020,Chlorakas,1506,1383,27,14,380,429,331,25,17,75,57,16,12,0,0,0,0
CY_6021,Lempa,122,124,3,2,47,37,19,1,1,12,0,2,0,0,0,0,0
CY_6022,Έμπα,1637,1488,26,23,548,295,315,22,20,187,28,14,10,0,0,0,0
CY_6023,Tremithousa,294,268,3,4,72,69,39,7,4,50,4,1,12,0,0,0,3
CY_6024,Mesa Chorio,212,197,5,8,30,57,56,3,5,24,4,2,3,0,0,0,0
CY_6025,Mesogi,702,647,17,14,154,184,134,14,13,71,20,12,12,0,0,0,2
CY_6026,Τάλα,365,344,1,5,82,73,70,6,17,68,8,11,3,0,0,0,0
CY_6027,Kissonerga,803,748,14,17,122,325,97,11,23,107,12,12,8,0,0,0,0
CY_6100,Kouklia Pafou,519,482,16,7,128,98,149,2,7,67,2,3,3,0,0,0,0
CY_6101,Mandria Pafou,340,310,10,3,110,99,39,8,2,28,8,3,0,0,0,0,0
CY_6102,Nikokleia,51,48,0,0,19,6,15,1,0,7,0,0,0,0,0,0,0
CY_6104,Timi,601,575,7,11,141,226,102,19,8,54,3,0,4,0,0,0,0
CY_6107,Anarita,272,253,2,3,57,62,43,4,9,59,12,2,0,0,0,0,0
CY_6110,Marathounta,172,155,4,9,8,47,29,34,0,16,2,4,1,0,0,0,1
