gisco_id,name,registered,turnout,invalid,blank,PD,PRM,PNL,PSD,UDMR,PC,PNT-CD,P.Romilor,P.Verde,PIN,PNG-CD,PLD,PAS,TOKES
RO_026077,Bucinisu,1791,753,26,0,183,19,16,435,0,3,6,7,7,9,19,15,5,3
RO_003459,Bucium,1493,528,12,0,247,34,58,92,1,25,7,3,0,10,15,19,2,3
RO_066438,Buciumeni,3966,1115,53,0,176,26,82,453,1,23,10,13,5,13,16,235,2,7
RO_075819,Buciumeni,2000,948,59,0,138,33,100,221,1,92,8,198,8,16,40,23,5,6
RO_026338,Buciumi,2271,1125,90,0,143,11,46,752,0,16,2,0,0,9,6,31,12,7
RO_040379,Buciumi,2135,1027,44,0,278,36,252,231,3,11,65,6,0,15,35,39,3,9
RO_051751,Bucosnita,2444,1983,5,0,1211,90,158,204,2,106,14,1,14,14,40,124,0,0
RO_030785,Bucov,8393,1501,97,0,523,83,152,176,5,142,22,37,7,29,121,95,2,10
RO_069964,Bucovat,3204,832,72,0,266,75,45,244,2,40,6,8,5,10,23,30,2,4
RO_066474,Bucsani,5467,1624,77,0,220,62,184,595,1,19,18,16,6,23,85,311,3,4
RO_001378,Bucsani,2826,1404,59,0,484,24,379,178,2,1,1,1,2,6,18,237,9,3
RO_093021,Bucu,2050,714,24,0,486,14,24,86,6,4,2,3,2,10,29,21,2,1
RO_088868,Bucuresci,1514,826,23,0,133,29,292,217,7,37,19,1,0,5,35,23,3,2
RO_179132,Municipiul Bucureşti,1764381,423657,12465,0,163500,16134,53885,64150,2975,8946,9784,2167,3008,16138,23647,40251,1339,5268
RO_045673,Buda,2529,816,71,0,250,25,85,182,3,17,10,44,5,17,21,79,5,2
RO_032704,Budacu De Jos,2361,1195,53,0,703,45,95,204,0,13,7,9,1,16,20,15,4,10
RO_014851,Budeasa,3145,609,24,0,154,37,75,185,2,7,5,3,3,4,51,51,4,4
RO_032768,Budesti,1652,683,42,0,178,41,47,224,5,17,22,20,3,8,34,35,5,2
RO_007519,Budesti,2724,801,36,0,107,52,73,358,3,17,32,0,2,12,35,65,5,4
RO_068791,Budesti,4553,1232,55,0,252,63,349,285,5,66,6,4,5,33,30,71,6,2
RO_040688,Budila,2525,891,135,0,96,17,274,104,128,1,6,46,3,15,21,8,5,32
RO_027846,Budureasa,2033,905,73,0,435,28,164,108,2,9,10,4,0,15,31,16,6,4
RO_027908,Buduslau,1576,899,42,0,12,1,76,27,568,1,1,5,1,2,0,0,0,163
RO_079793,Bueşti,925,277,18,0,84,8,39,98,0,8,1,3,0,3,5,7,1,2
RO_014922,Bughea De Jos,2482,782,24,0,180,65,120,194,1,35,9,31,2,19,40,56,2,4
RO_020063,Bughea de Sus,2383,647,68,0,143,19,86,168,0,8,2,74,0,12,30,30,4,3
RO_021668,Buhoci,3849,1270,85,0,506,42,146,316,2,33,10,9,1,8,30,59,12,11
RO_052270,Bujoreni,923,529,22,0,76,12,25,304,1,9,3,21,2,8,24,18,2,2
RO_068880,Bujoreni,3190,875,54,0,231,32,101,243,2,14,2,6,6,42,41,93,5,3
RO_052314,Bujoru,1665,674,70,0,133,17,141,142,5,11,2,60,2,10,46,29,3,3
RO_001519,Bulbucata,1151,511,26,0,144,9,248,50,0,1,1,0,0,4,6,17,2,3
RO_027935,Bulz,1892,982,18,0,231,39,574,67,4,1,9,3,1,7,9,16,2,1
RO_071340,Bulzesti,1393,764,55,0,411,19,40,157,2,17,3,3,5,9,11,26,3,3
RO_088920,Bulzestii De Sus,285,145,8,0,64,13,13,16,0,12,3,0,0,1,2,9,3,1
RO_079362,Bumbesti-Pitic,1899,435,11,0,84,46,44,107,1,37,20,2,1,4,44,31,2,1
RO_040704,Bunesti,1829,794,48,0,158,19,305,109,4,3,9,19,2,8,78,15,10,7
RO_047465,Bunesti,2144,770,55,0,129,73,59,296,13,16,9,7,3,11,48,36,7,8
RO_068960,Bunesti,2304,716,29,0,101,54,75,282,4,65,4,2,2,23,23,44,6,2
RO_062924,Bunesti-Averesti,2284,954,54,0,119,47,182,420,0,22,3,0,0,10,64,11,13,9
RO_089026,Bunila,357,253,2,0,103,23,5,81,6,11,0,1,2,1,2,15,0,1
RO_027971,Buntesti,3823,1831,26,0,1267,74,155,180,6,12,9,3,2,11,59,19,1,7
RO_010946,Burila Mare,1799,860,49,0,359,23,180,132,6,14,10,7,1,23,6,40,7,3
RO_089080,Burjuc,747,328,6,0,87,38,31,66,9,40,14,1,0,7,7,15,5,2
RO_051521,Burla,1469,414,35,0,119,7,51,121,2,3,1,3,0,5,22,38,2,5
RO_079406,Bustuchin,2779,1156,48,0,132,96,68,647,73,27,7,7,4,8,23,9,5,2
RO_096110,Butea,3397,871,97,0,302,38,119,200,4,6,14,5,6,9,16,35,12,8
RO_010293,Buteni,2872,1031,24,0,197,43,171,122,2,253,19,2,1,14,39,136,5,3
RO_001564,Butimanu,1701,1012,46,0,653,19,31,138,3,8,4,8,3,12,50,32,4,1
RO_011006,Butoiesti,2503,1156,46,0,307,46,118,462,4,44,4,4,2,23,48,39,3,6
RO_001617,Buturugeni,3117,1462,84,0,280,27,153,469,0,8,5,30,0,7,24,361,7,7
RO_056327,Buza,1135,548,32,0,76,8,72,69,248,1,1,6,0,3,18,8,1,5
RO_052332,Buzescu,3646,1521,66,0,82,24,802,315,3,14,2,11,3,14,153,26,5,1
