gisco_id,name,registered,turnout,invalid,blank,PARTIDUL DEMOCRAT LIBERAL,PARTIDUL MIŞCAREA POPULARĂ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,ALIANŢA ELECTORALĂ PSD-UNPR-PC,PARTIDUL NAŢIONAL LIBERAL,PARTIDUL ROMÂNIA MARE,ALIANŢA NAŢIONALĂ A AGRICULTORILOR,PARTIDUL DREPTĂŢII SOCIALE,PARTIDUL NOUA REPUBLICĂ,PARTIDUL VERDE,FORŢA CIVICĂ,PARTIDUL ECOLOGIST ROMÂN,PARTIDUL ALTERNATIVA SOCIALISTĂ,PARTIDUL NAŢIONAL ŢĂRĂNESC CREŞTIN DEMOCRAT,PARTIDUL POPORULUI - DAN DIACONESCU,UNGUREANU GEORGIANA-CORINA,FILIP CONSTANTIN-TITIAN,LIGA DĂNUŢ,PUREA PAUL,CAPSALI PERICLE-IULIAN,COSTEA PETER,DIACONU MIRCEA,DĂEANU VALENTIN-EUGEN
RO_121466,Bârgăuani,3212,1307,79,0,131,56,4,706,74,56,22,4,4,6,14,18,8,7,59,2,0,2,1,4,6,41,3
RO_121607,Bodeşti,4031,1243,103,0,86,94,3,466,40,30,23,4,5,1,14,173,1,95,27,3,0,4,1,18,11,41,0
RO_121652,Borca,5247,1435,114,0,94,60,3,646,83,79,45,5,5,7,30,22,4,3,44,6,0,4,2,15,17,140,7
RO_121732,Borleşti,7530,1654,199,0,135,97,1,659,86,57,40,8,5,4,40,120,2,5,64,7,4,3,5,37,5,70,1
RO_121796,Boteşti,4045,1283,106,0,117,87,0,650,74,22,17,3,3,5,19,21,3,12,88,4,0,6,0,2,7,34,3
RO_121876,Bozieni,2240,709,50,0,58,14,2,422,38,19,12,1,3,2,2,5,1,8,38,4,3,2,1,4,0,20,0
RO_121938,Brusturi,3187,1173,103,0,76,55,2,635,115,40,13,4,0,0,7,11,0,0,72,0,0,4,4,2,1,28,1
RO_122025,Ceahlău,2069,764,38,0,140,31,0,181,212,15,20,1,0,1,26,11,3,1,15,4,1,2,1,12,3,46,0
RO_122061,Cândeşti,3386,1123,73,0,183,33,0,593,87,22,21,7,0,1,8,8,2,4,35,1,2,8,4,3,0,28,0
RO_122132,Costişa,2935,851,67,0,63,24,1,450,61,43,20,1,1,5,12,8,2,7,31,3,3,3,2,7,3,33,1
RO_122187,Crăcăoani,3532,878,104,0,65,81,2,399,54,26,13,5,1,3,12,46,1,1,28,3,5,4,0,3,1,19,2
RO_122249,Dămuc,2458,751,40,0,45,39,2,257,138,21,10,0,1,0,8,8,0,10,17,2,1,2,2,126,7,12,3
RO_122285,Dobreni,1460,555,40,0,28,27,0,239,89,14,3,2,0,0,13,32,1,0,28,1,0,1,0,1,3,33,0
RO_122347,Doljeşti,5773,1594,130,0,125,98,3,796,182,30,20,10,19,4,18,16,6,12,51,10,6,7,4,1,6,37,3
RO_122392,Dragomireşti,1772,662,64,0,94,128,0,219,47,20,3,1,3,0,4,29,4,5,13,2,0,3,2,6,0,15,0
RO_122463,Dulceşti,2214,1137,78,0,213,24,2,493,194,25,22,7,2,2,7,10,0,4,29,3,0,1,1,1,0,18,1
RO_122551,Farcaşa,2566,740,62,0,63,19,0,247,89,24,17,4,2,1,11,7,5,9,34,5,0,2,1,33,24,79,2
