gisco_id,name,registered,turnout,invalid,blank,PP,PUSL,ADU,Şoşoacă,RS,Ştefănuţă,REPER,AUR,PDU,UDMR,PAD,PRM,S.O.S. RO,PSD-PNL,Pîrvănescu,Gheorghe
RO_112370,Isverna,1705,1265,68,0,3,22,32,6,2,4,3,250,3,3,2,6,24,819,4,13
RO_112469,Izvoru Bârzii,2331,1692,50,0,15,7,42,9,6,11,43,169,15,9,6,7,98,1188,5,12
RO_112548,Jiana,3676,1964,32,0,0,1,1,4,1,0,2,61,1,2,0,1,20,1821,0,1
RO_112600,Livezile,1144,1028,42,0,0,6,50,3,1,1,7,87,5,4,0,0,23,792,5,2
RO_112664,Malovăţ,2135,1614,100,0,3,5,28,13,2,10,16,222,10,7,12,2,46,985,135,18
RO_112744,Obârşia de Câmp,1370,1147,85,0,8,3,58,4,0,6,8,118,0,11,2,4,36,797,1,6
RO_112771,Oprişor,1528,1087,98,0,4,0,57,8,0,3,4,147,1,7,0,3,32,711,2,10
RO_112806,Pădina,886,884,59,0,4,2,27,2,6,2,5,195,0,11,2,0,7,560,2,0
RO_112879,Pătulele,2846,1894,91,0,2,1,15,5,1,4,1,181,2,12,1,1,79,1491,2,5
RO_112904,Dubova,832,802,30,0,3,0,24,2,2,8,4,106,13,12,1,0,27,555,3,12
RO_112959,Podeni,626,503,30,0,1,25,23,0,0,1,1,94,1,2,0,0,10,314,0,1
RO_112995,Ponoarele,1912,1391,91,0,6,11,52,10,1,18,2,289,12,11,0,3,93,773,4,15
RO_113153,Poroina Mare,751,886,31,0,4,4,22,3,0,1,4,56,2,6,4,1,12,726,1,9
RO_113206,Pristol,1148,866,46,0,0,2,14,1,0,1,0,249,2,1,0,0,14,532,0,4
RO_113233,Prunişor,1539,1531,79,0,2,1,21,7,0,14,8,142,12,39,3,3,81,1100,8,11
RO_113395,Punghina,2085,1128,17,0,0,0,4,1,0,0,1,31,3,6,0,0,13,1051,1,0
RO_113466,Rogova,1192,1012,72,0,3,0,76,3,3,8,6,89,7,21,2,0,36,673,5,8
RO_113493,Salcia,2204,1401,72,0,2,17,77,3,0,0,0,205,0,9,0,0,34,982,0,0
RO_113518,Stângăceaua,1021,846,56,0,3,0,73,7,1,0,2,63,6,3,1,2,23,606,0,0
RO_113607,Sviniţa,748,540,28,0,4,5,34,11,2,5,6,113,12,6,0,1,41,262,0,10
RO_113625,Şişeşti,2015,1338,61,0,3,10,19,15,3,3,4,266,9,3,0,4,55,865,3,15
RO_113698,Şovarna,1023,733,72,0,0,0,23,4,2,5,2,160,0,6,0,2,21,429,0,7
RO_113732,Tâmna,2385,1456,96,0,3,3,32,9,5,6,7,476,1,10,5,4,61,700,2,7
RO_113849,Vânători,1553,976,48,0,2,3,12,1,2,2,3,99,3,3,0,1,29,757,1,10
RO_113894,Vânjuleţ,1463,960,46,0,7,4,7,4,1,5,1,97,8,2,0,2,18,746,5,7
RO_113929,Vlădaia,1247,989,112,0,9,5,32,2,2,2,2,74,1,12,1,4,34,689,2,5
RO_113974,Voloiac,1271,968,48,0,3,1,25,6,0,1,1,117,5,21,0,4,31,695,1,9
RO_114060,Braniştea,1508,990,38,0,1,1,7,13,0,2,1,83,2,9,1,0,16,814,0,2
RO_114079,Vrata,1471,936,29,0,5,15,9,4,1,3,2,72,2,5,1,2,47,732,5,2
RO_114319,Municipiul Târgu Mureş,117965,64557,2125,0,331,410,4610,436,210,2067,2413,6874,975,26106,223,646,1214,14268,252,1358
RO_114355,Cristeşti,4927,2572,128,0,7,6,166,17,11,33,36,347,38,1063,3,38,59,583,6,29
RO_114382,Sâncraiu de Mureş,8649,4751,174,0,27,29,339,17,13,123,146,658,99,1024,18,55,115,1726,29,159
RO_114417,Sângeorgiu de Mureş,8773,4824,226,0,14,34,239,12,13,92,164,410,85,2600,14,45,73,705,34,64
RO_114453,Sântana de Mureş,5185,3168,149,0,9,57,139,15,8,73,86,424,30,1144,3,25,64,867,13,62
RO_114514,Municipiul Sighişoara,27091,10853,575,0,101,125,1274,128,63,324,388,1800,349,1457,53,142,513,3172,85,296
RO_114603,Albeşti,5011,2559,220,0,21,15,225,29,13,51,45,367,45,395,10,32,117,917,18,39
RO_114710,Oraş Luduş,14097,7374,291,0,33,30,341,50,29,193,204,1051,144,1334,18,61,239,3203,24,126
