gisco_id,name,registered,turnout,invalid,blank,EKD,Kesk,ER,EIP,VL,Isamaa,VEE,KE,ERL,SDE,EER,Burmeister,Luus [Koit Luus],Hallik,Kodu,Kambla,Ivinskaja,Stepanova
EE_0605,Puhja,0,0,0,0,50,184,221,1,0,151,2,6,188,38,56,0,0,70,0,0,0,0
EE_0666,Rannu,0,0,0,0,8,180,128,1,0,115,0,0,207,79,39,0,0,12,0,0,0,0
EE_0694,Rõngu,0,0,0,0,20,354,384,0,1,132,0,0,209,71,73,0,0,2,1,0,0,0
EE_MA12,Tartu maakond,37355,21953,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0794,Tartu vald,0,0,0,0,20,441,651,4,4,467,2,1,378,147,158,0,0,9,1,0,0,0
EE_0831,Tähtvere,0,0,0,0,18,212,360,1,3,261,1,0,147,88,99,0,0,2,0,0,0,0
EE_0861,Vara,0,0,0,0,5,174,194,2,1,162,2,18,184,38,42,0,0,3,0,0,0,0
EE_0915,Võnnu,0,0,0,0,7,105,112,0,0,76,0,2,111,42,37,0,0,3,0,0,0,0
EE_0949,Ülenurme,0,0,0,0,27,234,870,6,1,512,0,4,422,196,141,0,0,7,2,0,0,0
EE_0203,Helme,0,0,0,0,10,319,127,7,2,200,1,0,86,111,34,0,0,0,0,0,0,0
EE_0208,Hummuli,0,0,0,0,1,98,88,4,1,24,0,0,82,38,22,0,0,0,0,0,0,0
EE_0289,Karula,0,0,0,0,2,119,81,1,0,31,1,0,118,50,27,0,0,0,0,0,0,0
EE_0636,Otepää,0,0,0,0,30,326,460,6,0,326,1,0,370,291,110,0,0,0,0,0,0,0
EE_0582,Palupera,0,0,0,0,6,80,86,2,1,66,0,0,176,61,24,0,0,0,0,0,0,0
EE_0608,Puka,0,0,0,0,15,173,255,1,0,91,0,0,61,89,44,0,0,0,0,0,0,0
EE_0613,Põdrala,0,0,0,0,7,90,82,0,0,31,0,0,97,25,28,0,0,0,0,0,0,0
EE_0724,Sangaste,0,0,0,0,9,141,117,1,2,74,0,0,51,136,29,0,0,0,0,0,0,0
EE_0779,Taheva,0,0,0,0,4,92,56,0,0,56,1,0,131,48,17,0,0,0,0,0,0,0
EE_0820,Tõlliste,0,0,0,0,13,222,88,0,0,73,0,1,177,150,27,0,0,0,0,0,0,0
EE_0823,Tõrva,0,0,0,0,31,375,345,3,0,369,0,1,277,150,73,0,0,0,0,0,0,0
