gisco_id,name,registered,turnout,invalid,blank,EER,Isamaa,SDE,ER,Kesk,VEE,EIP,ERL,EKD,Helme [Martin Helme],Aasa,Eenpalu,Poolamets,Ibragimov,Helme [Mart Helme],Ergma,Ivinskaja,Meesak,Tšižikov,Vihmar,Rämmel,Ellik,Teesalu,Õun,Veges,Põlluaas,Nurmik,Trapido,Reinberg,Paddar,Hiob,Kunnas,Sisask,Tammeraid,Siir,Luus [Koit Luus],Hirv,Koitla,Soosaar,Merirand,Derbnev
EE_0680,Risti,0,0,0,0,16,36,168,110,38,1,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0776,Taebla,0,0,0,0,46,168,218,317,121,0,2,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0907,Vormsi,0,0,0,0,18,21,23,39,27,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0190,Haljala,0,0,0,0,18,177,264,327,139,0,4,58,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0272,Kadrina,0,0,0,0,39,507,436,538,232,3,11,37,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0345,Kunda,0,0,0,0,12,137,176,385,349,11,3,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0381,Laekvere,0,0,0,0,9,95,133,171,154,0,5,153,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA06,Lääne-Viru maakond,48811,22668,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0660,Rakke,0,0,0,0,11,72,125,98,54,1,3,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0663,Rakvere linn,0,0,0,0,105,1347,1695,1399,940,14,24,141,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0662,Rakvere vald,0,0,0,0,7,138,172,202,99,2,7,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0702,Rägavere,0,0,0,0,2,60,79,75,85,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0770,Sõmeru,0,0,0,0,21,245,417,346,183,3,7,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0786,Tamsalu,0,0,0,0,26,299,260,359,242,7,6,70,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0790,Tapa,0,0,0,0,44,430,490,580,591,20,9,56,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0887,Vihula,0,0,0,0,23,157,197,219,124,0,7,47,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0900,Vinni,0,0,0,0,23,426,506,522,552,3,12,60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0902,Viru-Nigula,0,0,0,0,7,51,149,153,71,2,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0926,Väike-Maarja,0,0,0,0,31,275,367,412,429,1,8,266,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0149,Are,0,0,0,0,52,77,50,110,93,0,8,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0160,Audru,0,0,0,0,170,498,244,464,240,3,18,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
