gisco_id,name,registered,turnout,invalid,blank,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,"ПАТРИОТИЧЕН ФРОНТ – НФСБ, БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ",ВЪЗРАЖДАНЕ,НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА,БСДД – Български Съюз за Директна Демокрация,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ПП ГЛАС НАРОДЕН,Движение за права и свободи – ДПС,ПП ПРАВОТО,ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,БНО,ВОЛЯ,ПП ИМА ТАКЪВ НАРОД,Продължаваме Промяната,Партия МИР,ПП БЛАГОДЕНСТВИЕ – ОБЕДИНЕНИЕ – ГРАДИВНОСТ,Български национален съюз – НД,ПРЯКА ДЕМОКРАЦИЯ,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,ГЕРБ-СДС,БСП ЗА БЪЛГАРИЯ,БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ,Партия на ЗЕЛЕНИТЕ,БРИГАДА,ИК за Петър Константинов Низамов - независим-Петър Константинов Низамов,Давид Леон Леви - независим-Давид Леон Леви
BG_PAZ04,Белово,7331,2938,0,28,18,12,119,12,11,28,27,18,13,17,11,19,8,11,307,577,12,4,2,2,86,79,982,527,2,4,2,0,0
BG_VID09,Видин,57342,17159,59,268,31,52,717,166,55,121,123,75,73,577,51,83,9,36,2214,4052,17,8,7,12,980,628,4388,2328,10,12,7,0,0
BG_VAR02,Аксаково,16970,7207,69,80,17,28,436,23,18,56,18,31,26,525,23,64,5,37,788,1557,16,10,5,4,183,119,2301,744,8,9,7,0,0
BG_SML11,Златоград,10570,3931,10,39,3,31,103,14,15,28,12,23,11,256,19,8,4,8,360,733,4,2,0,7,299,33,1105,793,4,4,3,0,0
BG_TGV35,Търговище,56320,18631,41,251,59,72,696,88,58,117,77,105,80,5049,61,170,18,60,1554,3332,19,21,11,4,561,277,3916,1906,11,12,5,0,0
BG_SFO45,Сливница,7359,2703,10,47,4,4,95,15,4,18,17,24,11,65,5,34,4,5,295,671,4,13,0,1,136,63,834,319,1,3,1,0,0
BG_VTR28,Свищов,28852,10220,33,152,29,38,537,37,29,66,69,56,41,572,35,108,9,26,1596,2759,6,6,11,11,452,203,1806,1507,9,11,6,0,0
BG_SLS01,Алфатар,2542,999,7,12,2,10,21,7,5,10,11,7,4,121,5,10,4,7,109,167,2,1,1,1,24,13,305,129,1,1,2,0,0
BG_PAZ19,Пазарджик,99087,30997,53,467,104,67,1492,140,75,194,198,168,114,1317,77,344,20,74,3525,8178,54,16,8,20,1401,947,8140,3739,20,29,12,0,0
BG_BGS17,Поморие,22382,8248,23,121,15,59,446,28,23,59,31,34,31,1541,20,65,8,24,734,1942,14,3,4,7,301,227,1795,673,1,8,10,1,0
BG_SZR24,Павел баня,13655,4013,22,45,22,19,128,20,15,36,14,25,16,1497,18,44,8,8,318,593,6,4,2,0,95,37,595,415,5,2,4,0,0
BG_HKV34,Хасково,90188,32261,67,359,99,85,1366,127,78,181,138,127,127,5195,77,199,37,78,2791,9440,54,12,9,16,1387,734,6669,2757,14,28,10,0,0
