gisco_id,name,registered,turnout,invalid,blank,ПП ДОСТ,ПП ГЛАС НАРОДЕН,Социалистическа партия Български път,ПП ВЕЛИЧИЕ,Булгари,МОЯ СТРАНА БЪЛГАРИЯ,ПП ИМА ТАКЪВ НАРОД,ДПС-Ново начало,БРИГАДА,Партия на ЗЕЛЕНИТЕ,ПРАВОТО,ВЪЗРАЖДАНЕ,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСДД – ДИРЕКТНА ДЕМОКРАЦИЯ,СИНЯ БЪЛГАРИЯ,ПП МЕЧ,ГЕРБ-СДС,АТАКА,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ПРЯКА ДЕМОКРАЦИЯ,"КП СВОБОДНИ ИЗБИРАТЕЛИ (РБ, ССД и ЗС)",БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,КОЙ,КП РУСОФИЛИ ЗА БЪЛГАРИЯ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,БЪЛГАРСКИ ВЪЗХОД,БСП – ОБЕДИНЕНА ЛЕВИЦА,ЧАВДАР ИВАНОВ ПОПОВ - независим кандидат-ЧАВДАР ИВАНОВ ПОПОВ
BG_TGV35,Търговище,56257,21655,538,699,39,24,7,530,8,23,917,7144,11,10,12,2013,2246,11,9,68,811,3859,19,15,29,36,13,11,57,1149,78,1269,0
BG_SFO45,Сливница,7090,2563,39,92,0,0,0,81,0,11,183,240,1,4,0,372,60,3,2,24,142,823,3,1,3,7,2,0,4,289,11,166,0
BG_VTR28,Свищов,27733,9722,211,351,0,29,0,473,11,15,781,637,4,7,9,1665,237,14,13,107,479,2682,18,22,31,7,7,5,49,878,34,946,0
BG_SLS01,Алфатар,2463,1159,52,24,0,1,0,39,0,2,28,183,0,0,0,81,94,1,1,1,41,477,3,1,1,5,0,0,5,39,3,77,0
BG_PAZ19,Пазарджик,99126,28891,654,1061,0,72,47,1126,33,41,2272,2750,19,47,25,4463,158,40,22,317,1981,6442,47,35,89,314,10,27,218,3704,126,2750,0
BG_BGS17,Поморие,23267,8678,184,235,7,11,13,289,5,5,525,1272,7,9,4,1039,1168,4,6,61,359,2208,13,9,16,3,6,6,15,706,29,464,0
BG_SZR24,Павел баня,13734,5408,166,116,10,6,4,121,6,5,141,2558,11,4,1,486,434,5,1,10,179,710,4,3,8,2,4,2,8,160,5,238,0
BG_HKV34,Хасково,89192,35766,692,852,30,57,37,1174,22,30,1700,6369,16,26,25,4185,2745,30,6,161,1180,11237,32,10,64,23,25,17,101,2984,97,1839,0
BG_SHU25,Смядово,5365,1457,56,44,2,5,1,72,0,1,89,109,2,0,2,185,65,6,2,2,53,494,1,1,5,4,1,1,2,144,3,105,0
BG_JAM22,Стралджа,9336,3297,148,88,0,8,2,98,6,2,152,408,4,7,2,367,122,5,4,14,133,1016,13,3,12,2,5,3,7,136,34,496,0
