gisco_id,name,registered,turnout,invalid,blank,Движение за права и свободи – ДПС,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,БНО,ПП Национално движение Единство,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,Коалиция Справедлива България,ПРЯКА ДЕМОКРАЦИЯ,НФСБ,Продължаваме Промяната,МИР,КОД /Консервативно Обединение на Десницата/,БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,ПП КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ,ВЪЗРАЖДАНЕ,БЪЛГАРСКИ ВЪЗХОД,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,ПП ИЗПРАВИ СЕ БЪЛГАРИЯ,ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ,ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,ПРАВОТО,НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ГЕРБ-СДС,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,БСП ЗА БЪЛГАРИЯ,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,ИК за издигане на Цветан Христов Атанасов като независим кандидат-Цветан Христов Атанасов,Луна Йорданова Йорданова-Луна Йорданова Йорданова
BG_VRC27,Мездра,16662,6596,77,217,498,13,9,13,73,28,9,11,935,6,4,5,15,523,236,5,58,26,231,13,5,9,2393,184,25,23,939,13,0,0
BG_SFO20,Ихтиман,14129,5638,27,160,1310,30,6,16,36,12,15,9,759,5,6,6,10,390,316,7,33,24,147,12,1,7,1721,194,15,18,339,7,0,0
BG_HKV09,Димитровград,46461,15571,52,596,345,24,18,31,47,97,27,11,3145,20,39,12,36,2203,1106,10,181,88,638,30,11,13,4089,1108,52,42,1450,50,0,0
BG_SFO07,Ботевград,27328,10055,15,465,366,26,4,21,35,29,12,10,1735,128,59,12,29,1001,659,4,127,45,564,22,26,14,2851,552,28,37,1162,17,0,0
BG_RSE13,Иваново,7369,2881,12,96,205,23,2,4,29,16,1,10,508,8,8,8,11,240,77,3,16,16,87,5,2,11,857,85,11,13,513,4,0,0
BG_SFO06,Божурище,6356,2886,1,143,53,4,3,7,34,11,5,1,552,6,5,5,7,326,189,1,25,7,101,10,1,3,889,223,7,15,248,4,0,0
BG_SHU10,Върбица,11316,4102,3,28,3489,16,2,5,7,3,2,1,78,1,1,0,2,38,11,0,8,6,27,1,0,0,250,11,2,1,106,3,0,0
BG_SLS10,Дулово,29089,9544,4,101,4966,21,5,19,14,10,7,5,415,14,13,7,14,264,64,15,22,6,100,5,9,5,3071,61,13,11,277,6,0,0
BG_SFO18,Етрополе,10160,3903,29,181,403,10,2,10,28,16,5,3,741,10,14,6,25,398,149,7,39,9,153,8,2,7,910,155,12,5,559,7,0,0
BG_VID03,Бойница,726,425,26,10,15,0,0,0,0,1,1,0,62,0,0,1,0,15,5,0,2,0,6,0,0,0,212,19,1,3,46,0,0,0
BG_JAM03,Болярово,2663,1613,42,41,17,8,2,2,4,3,2,4,165,2,3,6,10,144,42,5,2,11,27,1,3,6,292,21,19,11,716,2,0,0
BG_SML27,Рудозем,8374,3870,33,138,1868,9,4,10,13,13,2,1,529,6,0,2,6,134,82,3,17,8,85,2,3,5,600,94,12,6,185,0,0,0
