gisco_id,name,registered,turnout,invalid,blank,Движение 21,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД,ПП НОВОТО ВРЕМЕ,ОБЕДИНЕНА БЪЛГАРИЯ,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ,"РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС",ПП Нова България,ПП ГЕРБ,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,АТАКА,НДСВ,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА,Коалиция АБВ – (Алтернатива за българско възраждане),ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА АЛТЕРНАТИВА,КП ДЕСНИТЕ,ДПС – Движение за права и свободи,ПП Глас Народен,ПАРТИЯ НА ЗЕЛЕНИТЕ,НОВА СИЛА,БСП лява България,ЗЕЛЕНИТЕ,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО,РЕПУБЛИКА БГ,Инициативен Комитет Никола Николов Вапцаров,Ик Октай Хасанов Енимехмедов,Господин Тончев Тонев
BG_BGZZXK,Kosovo,34,34,0,0,2,0,0,0,0,0,7,0,7,0,0,0,2,5,0,4,0,0,0,0,1,2,0,4,0,0,0,0
BG_BGZZKW,Kuwait,184,184,5,0,7,0,0,0,1,1,52,0,49,2,6,0,1,9,0,0,0,4,1,2,0,21,4,18,1,0,0,0
BG_BGZZLB,Lebanon,88,88,3,0,2,0,0,0,0,0,3,0,45,0,5,0,3,5,1,0,0,6,3,0,0,10,0,2,0,0,0,0
BG_BGZZLU,Luxembourg,481,481,11,0,14,0,1,0,1,0,186,2,163,2,6,1,3,12,4,1,1,0,8,2,1,32,17,12,1,0,0,0
BG_BGZZMK,North Macedonia,582,582,71,0,4,4,1,0,1,6,41,4,157,2,9,0,4,13,2,2,0,4,1,1,0,21,5,226,3,0,0,0
BG_BGZZMT,Malta,465,465,18,0,3,0,1,1,4,0,54,9,259,2,12,0,6,16,1,2,2,0,10,0,0,17,10,35,3,0,0,0
BG_BGZZMA,Morocco,63,63,2,0,0,0,0,0,0,0,10,0,29,0,8,1,1,7,0,0,0,0,0,1,1,2,0,1,0,0,0,0
BG_BGZZMD,Moldova,589,589,47,0,2,13,7,0,10,17,7,1,76,2,26,0,5,13,5,0,1,76,0,2,3,263,2,10,1,0,0,0
BG_BGZZNL,Netherlands,2495,2495,78,0,19,7,4,4,9,0,652,15,795,5,46,4,37,59,9,8,3,369,63,15,2,90,84,117,1,0,0,0
BG_BGZZNG,Nigeria,38,38,0,0,1,0,0,0,0,0,9,1,10,0,3,0,0,3,1,0,0,0,0,1,0,5,0,4,0,0,0,0
BG_BGZZNZ,New Zealand,91,91,2,0,0,0,0,0,0,0,9,0,42,0,3,0,2,6,0,0,1,0,2,1,0,12,4,7,0,0,0,0
BG_BGZZNO,Norway,835,835,28,0,10,2,2,1,6,1,131,4,430,2,26,1,19,15,3,1,0,24,36,6,0,20,19,45,3,0,0,0
BG_BGZZAE,United Arab Emirates,296,296,8,0,2,0,0,0,2,1,78,3,132,2,7,1,3,14,0,3,1,0,10,0,0,13,5,11,0,0,0,0
