gisco_id,name,registered,turnout,invalid,blank,ФСБСБ,ДНБ,КзБ,Гранит,КнЕ,НДСВ,КДБ,ДСБ,НКДЖБ,Евророма,КнР,БНС,НВ,Атака,ФАГО,ОППБ,ДПС,БХК,ОДС,НЗПНП,ПСД,РК,Петко Илиев Пенев,Радослав Николов Коев,Неделчо Михайлов Димов,Стефчо Иванов Събчев,Илия Замфиров Илиев - Независим,Любомир Христов Василев,Ивайло Манчев Петров,Жоро Петров Ничев,Георги Николаев Мумджиев,Веселина Минчева Бозукова,Асен Фиданов Чаушев,Илия Кирилов Велчев - Независим,Юлий Григоров Абаджиев - Независим
BG_GAB3573403,Трявна,12094,6419,147,0,27,16,1961,13,8,1559,0,343,25,9,50,329,159,960,12,65,80,54,586,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB0302508,Балчик,17725,10240,433,0,20,25,3302,22,18,2374,47,397,45,69,139,431,275,799,15,34,1331,34,416,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB1214711,Генерал Тошево,15881,9506,339,0,25,29,4792,22,12,1219,25,203,24,20,143,523,227,538,32,32,1012,25,246,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB1580769,Добрич-селска,19627,12208,484,0,27,62,4803,28,18,1442,35,233,27,131,113,662,343,388,21,47,3090,25,209,11,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB1735064,Каварна,12925,7767,250,0,50,21,2429,9,12,2093,33,407,29,89,153,443,138,765,9,28,464,25,301,3,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB2040097,Крушари,4506,3168,121,0,5,2,699,3,1,389,7,42,4,9,48,107,20,111,6,17,1518,2,49,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB2772271,Тервел,14964,10075,328,0,9,18,3212,15,10,1191,27,168,11,16,119,134,125,450,15,53,4014,14,129,7,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB2872624,Добрич,87346,46688,762,0,118,92,14643,132,53,12227,187,2456,145,267,394,3394,1931,4462,76,119,2523,184,2456,20,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_DOB2983017,Шабла,5329,3183,82,0,4,6,1598,9,5,522,11,96,13,10,34,261,52,235,6,4,106,2,120,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ0200607,Ардино,12929,7677,427,0,10,8,1133,0,8,402,28,134,11,15,36,31,37,51,24,30,5156,12,111,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
