gisco_id,name,registered,turnout,invalid,blank,M11,SKP,PP,KaL,PS,KA,KD,SR,Vas,VIHR,SFP,Kesk.,Kok,SDP,Ilmarinen
FI_584,Perho,2141,656,1,0,0,1,1,2,75,0,25,0,22,3,1,415,56,54,0
FI_598,Pietarsaari,17044,7469,29,0,11,12,45,17,512,4,769,3,447,168,3852,346,424,829,1
FI_743,Seinäjoki,47920,17695,85,0,44,36,99,88,2154,26,1166,5,622,712,72,6556,3940,2086,4
FI_759,Soini,1950,630,2,0,0,3,1,5,86,4,73,1,11,9,3,364,43,25,0
FI_846,Teuva,4855,2019,12,0,3,5,2,6,239,4,120,0,146,27,15,922,405,112,1
FI_849,Toholampi,2906,1055,7,0,1,1,2,2,137,0,43,0,24,19,3,699,46,71,0
FI_893,Uusikaarlepyy,6534,3315,22,0,6,2,14,10,46,1,176,1,44,13,2724,61,56,139,0
FI_905,Vaasa,55571,22468,123,0,53,52,151,91,3221,23,1087,9,1196,913,5853,2053,3803,3838,2
FI_924,Veteli,2821,982,6,0,0,1,2,4,211,1,82,0,9,17,5,533,49,62,0
FI_934,Vimpeli,2700,960,8,0,0,3,6,12,130,2,106,0,81,21,3,473,64,51,0
FI_946,Vöyri,5982,2864,6,0,5,3,8,6,54,2,85,2,32,19,2393,93,60,96,0
FI_989,Ähtäri,5315,1631,9,0,2,8,8,10,165,3,147,1,71,61,4,686,249,207,0
FI_077,Hankasalmi,4476,1549,14,0,4,2,3,3,330,0,76,2,141,54,8,565,206,141,0
FI_172,Joutsa,4163,1538,6,0,6,7,8,3,286,4,94,1,87,58,8,542,271,157,0
FI_179,Jyväskylä,110033,42011,252,0,105,234,568,156,6212,57,2759,24,4659,5022,268,7264,8634,5791,6
FI_182,Jämsä,18393,6100,29,0,13,26,33,20,1109,19,327,3,638,267,30,1454,1153,977,2
FI_216,Kannonkoski,1315,446,4,0,1,1,0,2,77,0,12,0,21,7,1,221,45,54,0
FI_226,Karstula,3844,1239,10,0,2,1,4,5,210,1,78,1,26,28,3,619,153,98,0
FI_249,Keuruu,8795,3138,24,0,12,12,7,3,526,6,295,2,235,128,12,904,517,455,0
FI_256,Kinnula,1595,513,4,0,0,1,6,1,66,2,9,0,24,6,0,307,50,37,0
FI_265,Kivijärvi,1151,384,2,0,0,2,0,1,45,1,6,0,13,2,1,233,25,53,0
FI_275,Konnevesi,2426,836,5,0,3,1,1,3,145,0,64,0,63,19,4,350,89,88,1
FI_291,Kuhmoinen,2185,825,11,0,4,3,1,1,136,3,55,1,40,35,3,223,190,119,0
FI_312,Kyyjärvi,1287,397,1,0,2,0,1,0,42,2,27,0,10,6,1,244,36,24,1
FI_410,Laukaa,13962,4946,25,0,15,19,23,6,1062,13,358,3,393,285,16,1375,750,603,0
FI_435,Luhanka,677,321,0,0,0,1,1,1,50,1,13,1,14,14,0,132,63,30,0
FI_495,Multia,1491,514,3,0,0,3,1,2,99,1,27,0,44,22,1,210,53,47,1
FI_500,Muurame,7164,2846,20,0,5,11,11,9,506,3,213,0,220,183,20,685,573,386,1
FI_592,Petäjävesi,3204,1183,5,0,4,5,7,8,260,1,78,0,70,48,7,390,161,139,0
FI_601,Pihtipudas,3690,1126,7,0,1,3,2,1,150,1,55,1,74,20,3,546,84,178,0
FI_729,Saarijärvi,8648,2849,12,0,4,8,12,7,469,6,167,4,129,101,10,1235,406,279,0
FI_850,Toivakka,1959,726,3,0,0,1,3,1,165,1,80,1,41,15,0,240,102,73,0
FI_892,Uurainen,2605,983,6,0,1,3,1,2,382,0,61,1,38,20,4,296,77,91,0
FI_931,Viitasaari,6050,2029,13,0,9,5,9,7,285,7,161,2,131,84,7,695,247,366,1
FI_992,Äänekoski,16395,5340,36,0,9,17,15,11,1110,9,364,2,579,176,20,1066,598,1328,0
FI_009,Alavieska,2153,792,2,0,2,0,2,3,107,3,31,2,57,13,2,518,34,16,0
FI_069,Haapajärvi,6255,1842,14,0,2,2,7,11,283,5,62,1,98,46,2,1005,149,155,0
FI_071,Haapavesi,5696,1881,13,0,2,5,5,6,212,2,65,2,161,49,5,1120,126,108,0
FI_072,Hailuoto,878,388,3,0,0,3,2,0,50,1,5,0,39,14,5,177,51,38,0
FI_105,Hyrynsalmi,2381,715,5,0,1,6,3,4,70,1,28,1,279,5,1,264,25,22,0
FI_139,Ii,7225,2585,9,0,6,15,5,11,368,3,37,1,448,80,6,1240,190,166,0
FI_205,Kajaani,30747,10768,56,0,19,44,59,19,1181,12,383,6,4391,314,39,2486,1245,508,6
FI_208,Kalajoki,10215,3823,8,0,24,16,14,17,470,4,191,3,330,92,24,2048,368,213,1
