gisco_id,name,registered,turnout,invalid,blank,VIHR,KTP,SKP,Vas,Kok,SDP,M11,PS,SFP,PP,KD,KA,Kesk.,SSP,STP,SR,Helminen,Korhonen,Laajola,Lönnroth,Marttunen,Nikoskinen,Salminen,YS,Alliansen,ÅS,Valjakka,Kotajärvi,Simonen,Toivanen,Niskanen
FI_508,Mänttä-Vilppula,9782,6298,32,0,170,5,23,316,566,1911,4,1366,0,13,228,0,1617,21,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_536,Nokia,24705,17046,70,0,1129,7,234,2064,3088,4198,22,4133,0,71,643,0,1118,78,8,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_562,Orivesi,7874,5406,27,0,199,3,12,333,1348,1089,6,1168,0,28,327,0,829,19,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_581,Parkano,5826,3866,12,0,67,0,38,126,387,431,3,1279,0,11,110,0,1389,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_604,Pirkkala,13053,9852,34,0,951,0,40,548,3216,1974,20,1877,0,55,396,0,628,42,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_619,Punkalaidun,2750,1987,10,0,46,1,6,87,289,182,2,840,0,9,17,0,488,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_635,Pälkäne,5608,3869,27,0,136,5,18,225,822,632,8,800,0,13,183,0,984,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_702,Ruovesi,4295,2995,20,0,69,1,38,261,413,568,3,622,0,13,64,0,901,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_790,Sastamala,19836,13206,76,0,482,7,52,815,3206,2432,59,3097,0,42,624,0,2220,23,4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_837,Tampere,179686,125092,529,0,15082,30,1084,12201,29986,27029,367,23209,0,1829,5782,0,6593,573,44,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_887,Urjala,4478,2832,24,0,97,2,11,138,465,601,7,709,0,13,80,0,669,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_908,Valkeakoski,17220,11383,78,0,404,5,97,952,2444,3697,17,2312,0,59,405,0,843,21,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_922,Vesilahti,3132,2257,10,0,124,0,15,111,406,321,1,498,0,8,116,0,630,5,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_936,Virrat,6347,4263,25,0,107,0,15,226,402,766,4,962,0,22,293,0,1407,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_980,Ylöjärvi,22829,16257,75,0,995,3,98,1234,3697,3461,16,4088,0,95,744,0,1623,38,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_075,Hamina,17531,11140,85,0,446,11,0,684,2216,2543,15,2723,0,19,593,0,1793,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_142,Iitti,5880,3721,31,0,111,1,0,164,602,755,5,865,0,9,245,0,929,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_153,Imatra,24269,15470,109,0,500,12,0,517,2608,5699,24,3650,0,28,608,0,1679,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_285,Kotka,45320,28733,210,0,1478,19,0,4122,5737,7821,54,6777,0,49,1149,0,1274,0,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_286,Kouvola,73166,47734,316,0,1776,17,0,2222,7831,10494,91,12869,0,121,4358,0,7558,0,35,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_405,Lappeenranta,59179,38669,237,0,2054,26,0,1296,7973,9680,209,7540,0,118,3039,0,6446,0,16,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_416,Lemi,2426,1695,7,0,97,0,0,26,234,209,8,405,0,4,76,0,628,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_441,Luumäki,4282,2837,26,0,74,0,0,47,519,432,5,600,0,7,156,0,968,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_489,Miehikkälä,1831,1198,8,0,17,1,0,24,123,100,2,247,0,1,55,0,619,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_580,Parikkala,5098,3213,25,0,92,0,0,71,260,390,10,618,0,1,196,0,1540,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_624,Pyhtää,4339,2849,19,0,126,3,0,241,582,654,9,694,0,6,96,0,417,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_689,Rautjärvi,3436,2245,18,0,36,0,0,59,195,639,5,406,0,2,113,0,770,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_700,Ruokolahti,4738,3454,13,0,65,1,0,53,359,908,8,647,0,4,110,0,1282,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_739,Savitaipale,3340,2232,12,0,59,1,0,88,324,288,9,468,0,1,120,0,860,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_775,Suomenniemi,660,455,1,0,8,0,0,16,61,78,1,102,0,1,15,0,171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
