gisco_id,name,registered,turnout,invalid,blank,SKE,Kesk.,FP,Kok,KD,SDP,LPVV,PP,SKP,Korj,PS,Vas,EjOP,STL,VIHR,SFP,Lokka
FI_286,Kouvola,70369,23893,90,0,59,3085,27,4657,1894,5304,24,89,57,67,4106,881,34,196,3021,240,62
FI_405,Lappeenranta / Villmanstrand,59848,20969,57,0,25,3332,25,4824,1163,3828,28,141,66,59,3080,738,35,161,3115,242,50
FI_416,Lemi,2403,887,5,0,1,299,0,149,46,89,1,3,1,2,181,17,0,9,76,7,1
FI_441,Luumäki,3952,1401,3,0,4,435,2,293,99,176,0,2,2,4,185,27,2,15,135,14,3
FI_489,Miehikkälä,1661,615,3,0,2,274,0,93,45,55,1,2,2,0,92,9,1,10,24,1,1
FI_491,Mikkeli / S:t Michel,44713,17093,47,0,27,2973,25,3789,1097,3555,23,61,44,47,2287,399,16,113,2428,139,23
FI_507,Mäntyharju,5101,1724,5,0,2,422,2,350,131,296,0,7,6,0,288,38,2,9,153,11,2
FI_580,Parikkala,4390,1660,6,0,2,652,0,200,152,197,0,2,2,6,274,30,1,23,99,8,6
FI_588,Pertunmaa,1458,516,3,0,0,177,1,96,33,61,0,1,2,2,82,18,3,4,32,0,1
FI_593,Pieksämäki,15374,4848,11,0,8,1235,3,545,377,1220,4,19,6,18,668,194,5,53,447,27,8
FI_623,Puumala,1995,857,3,0,0,302,1,146,54,150,0,0,2,2,105,14,0,4,68,5,1
FI_624,Pyhtää / Pyttis,4241,1509,9,0,3,172,1,328,67,334,1,3,7,5,277,73,2,10,140,76,1
FI_681,Rantasalmi,3005,1144,7,0,2,427,0,121,80,221,0,0,1,3,126,38,1,13,91,10,3
FI_689,Rautjärvi,2986,1011,2,0,2,285,3,94,71,295,0,3,1,2,131,32,0,15,67,7,1
FI_700,Ruokolahti,4311,1484,5,0,1,390,0,245,111,302,1,4,0,7,255,26,0,11,115,9,2
FI_739,Savitaipale,3030,1124,5,0,1,386,3,209,80,137,2,5,1,4,142,18,0,10,119,2,0
FI_740,Savonlinna / Nyslott,28717,10670,43,0,25,2112,12,1564,1170,2496,5,31,24,52,1472,396,13,78,1109,57,11
FI_768,Sulkava,2241,827,0,0,3,312,0,93,50,188,1,1,1,0,104,23,0,3,43,5,0
FI_831,Taipalsaari,3784,1602,5,0,1,332,1,385,116,220,2,3,3,2,265,43,3,23,186,6,6
FI_935,Virolahti,2631,965,3,0,0,339,2,122,43,135,1,5,5,4,190,31,0,6,74,5,0
FI_140,Iisalmi / Idensalmi,17777,5866,22,0,7,2001,4,577,644,656,3,16,17,15,978,394,4,75,412,27,14
FI_146,Ilomantsi / Ilomants,4452,1332,8,0,5,419,2,92,123,259,1,1,9,45,223,64,0,11,60,6,4
FI_167,Joensuu,63750,23466,84,0,38,4072,78,3375,1942,4067,40,164,90,477,2972,1568,33,160,4007,229,70
FI_176,Juuka,4172,1294,6,0,3,469,0,83,127,218,0,3,6,19,222,48,0,15,65,4,6
FI_204,Kaavi,2575,761,3,0,0,288,0,35,101,123,0,3,0,4,120,27,0,14,40,2,1
FI_239,Keitele,1967,795,4,0,1,367,2,48,47,106,0,2,0,3,131,34,2,5,37,6,0
FI_260,Kitee,8794,3002,19,0,7,977,1,292,284,539,4,4,6,128,453,67,6,25,166,18,6
FI_263,Kiuruvesi,6947,2424,11,0,3,1236,2,150,165,139,2,5,12,8,430,137,1,33,79,7,4
FI_276,Kontiolahti,11123,3964,14,0,8,861,8,588,343,657,1,10,7,131,678,117,4,35,477,15,10
FI_297,Kuopio,98251,36241,112,0,65,8573,69,5882,2834,5078,52,234,99,88,4750,1976,49,238,5664,416,62
FI_402,Lapinlahti,7944,2690,10,0,3,1042,0,171,439,173,2,4,9,6,459,163,1,24,165,10,9
FI_420,Leppävirta,8150,2985,10,0,6,1095,3,332,246,440,0,6,17,9,443,163,6,16,184,8,1
FI_422,Lieksa,10046,3142,9,0,9,803,5,268,236,767,3,7,10,98,576,137,5,35,145,8,21
FI_426,Liperi,9561,3298,9,0,4,953,4,380,284,546,3,11,5,176,515,97,5,25,258,17,6
FI_541,Nurmes,6581,2063,7,0,3,656,4,149,182,352,2,1,6,54,346,99,1,32,159,8,2
FI_309,Outokumpu,5716,1723,7,0,3,491,3,152,126,373,0,11,5,34,258,137,1,10,99,4,9
FI_595,Pielavesi,3886,1553,7,0,1,823,3,90,102,107,1,4,6,8,248,89,1,15,43,4,1
