gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,GRÜNE,BZÖ,NEOS,REKOS,ANDERS,EUSTOP
AT_20912,Reichenfels,1544,470,19,0,138,110,92,34,5,35,20,2,15
AT_20913,Sankt Andrä,8462,2431,79,0,528,829,573,136,26,107,28,24,101
AT_20914,Sankt Georgen im Lavanttal,1658,472,15,0,114,150,122,21,12,21,3,5,9
AT_20918,Sankt Paul im Lavanttal,2809,1024,27,0,313,298,220,72,15,31,6,6,36
AT_20923,Wolfsberg,20412,6863,240,0,1397,2226,1471,630,74,381,76,64,304
AT_20999,Briefwahlkarten - Wolfsberg,0,1324,28,0,275,446,226,134,22,121,15,17,40
AT_21001,Albeck,832,293,12,0,78,43,105,17,5,7,2,4,20
AT_21002,Feldkirchen in Kärnten,11688,3157,90,0,535,965,736,328,52,197,60,57,137
AT_21003,Glanegg,1586,537,19,0,113,196,109,42,7,29,6,1,15
AT_21004,Gnesau,862,315,15,0,74,85,76,30,3,11,3,1,17
AT_21005,Himmelberg,1906,654,36,0,141,138,200,43,12,44,9,6,25
AT_21006,Ossiach,609,270,6,0,66,48,80,35,1,21,2,2,9
AT_21007,Reichenau,1545,444,16,0,93,180,88,14,5,13,7,3,25
AT_21008,Sankt Urban,1172,332,9,0,58,88,91,42,8,22,3,2,9
AT_21009,Steindorf am Ossiacher See,3014,1072,25,0,210,293,262,127,22,54,13,10,56
AT_21010,Steuerberg,1329,355,9,0,87,119,67,27,6,21,5,3,11
AT_21099,Briefwahlkarten - Feldkirchen,0,1083,19,0,173,363,183,159,14,99,13,15,45
