gisco_id,name,registered,turnout,invalid,blank,SPÖ,ÖVP,FPÖ,GRÜNE,NEOS,JETZT,GILT,FPS,KPÖ,WEIßE,SLP,EUAUS,M,CPÖ,NBZ,DU
AT_20442,Magdalensberg,2754,1981,22,0,594,526,623,32,59,88,17,1,14,5,0,0,0,0,0,0
AT_20499,Briefwahlkarten - Klagenfurt Land,0,4951,46,0,1481,1507,1028,240,268,268,53,5,38,17,0,0,0,0,0,0
AT_20501,Althofen,3805,2546,34,0,774,577,937,32,93,67,19,3,7,3,0,0,0,0,0,0
AT_20502,Brückl,2242,1594,34,0,497,376,586,13,39,30,9,3,6,1,0,0,0,0,0,0
AT_20503,Deutsch-Griffen,764,526,9,0,85,139,278,2,3,5,2,1,1,1,0,0,0,0,0,0
AT_20504,Eberstein,1057,771,11,0,151,208,334,12,24,14,9,1,5,2,0,0,0,0,0,0
AT_20505,Friesach,4237,2773,31,0,692,719,1107,36,91,65,18,3,8,3,0,0,0,0,0,0
AT_20506,Glödnitz,681,431,3,0,102,129,178,3,11,3,1,1,0,0,0,0,0,0,0,0
AT_20508,Gurk,1039,808,8,0,201,231,321,13,18,11,1,3,1,0,0,0,0,0,0,0
AT_20509,Guttaring,1175,856,14,0,230,266,265,13,34,28,3,1,0,2,0,0,0,0,0,0
AT_20511,Hüttenberg,1222,838,12,0,278,152,357,3,12,11,5,0,8,0,0,0,0,0,0,0
AT_20512,Kappel am Krappfeld,1594,1147,19,0,246,409,380,9,46,22,7,3,6,0,0,0,0,0,0,0
AT_20513,Klein Sankt Paul,1531,1134,15,0,288,288,454,10,37,28,7,1,3,3,0,0,0,0,0,0
AT_20515,Liebenfels,2631,1870,24,0,567,462,623,37,70,49,21,3,9,5,0,0,0,0,0,0
AT_20518,Metnitz,1696,1213,17,0,236,413,474,9,27,19,3,10,3,2,0,0,0,0,0,0
AT_20519,Micheldorf,861,550,8,0,202,120,174,3,21,14,3,2,2,1,0,0,0,0,0,0
AT_20520,Mölbling,1083,758,9,0,147,169,370,16,21,15,4,2,4,1,0,0,0,0,0,0
AT_20523,Sankt Georgen am Längsee,2957,2117,40,0,605,482,750,25,99,87,18,2,5,4,0,0,0,0,0,0
AT_20527,Sankt Veit an der Glan,9892,6375,89,0,2159,1355,2136,111,227,190,48,7,30,23,0,0,0,0,0,0
AT_20530,Straßburg,1690,1225,12,0,219,356,556,6,38,23,7,2,5,1,0,0,0,0,0,0
AT_20531,Weitensfeld im Gurktal,1744,1242,13,0,243,394,525,15,20,26,2,0,3,1,0,0,0,0,0,0
