gisco_id,name,registered,turnout,invalid,blank,PiS,PJN,SLD,Ruch PL,PSL,PPP,PO,Samoobrona,NP (2011),PR (2007),MN
PL_432640206,Recz,4525,1421,128,0,251,15,355,162,149,7,354,0,0,0,0
PL_432630301,Czaplinek,9540,3608,261,0,626,219,433,381,234,18,1436,0,0,0,0
PL_432630302,Drawsko Pomorskie,13524,5708,464,0,1027,88,950,661,229,51,2238,0,0,0,0
PL_432630303,Kalisz Pomorski,5866,1844,167,0,294,28,287,206,119,15,728,0,0,0,0
PL_432630304,Ostrowice,2027,625,76,0,153,6,84,47,62,0,197,0,0,0,0
PL_432630305,Wierzchowo,4035,1566,248,0,222,29,211,193,154,21,488,0,0,0,0
PL_432630306,Złocieniec,12546,5446,378,0,1253,108,637,643,265,55,2107,0,0,0,0
PL_432660402,Goleniów,28078,13247,634,0,2151,205,1344,1727,395,102,6440,0,203,46,0
PL_432660403,Maszewo,6623,2220,198,0,452,35,216,243,147,16,877,0,28,8,0
PL_432660404,Nowogard,20259,8721,615,0,1394,78,1081,904,1223,47,3171,0,97,111,0
PL_432660405,Osina,2245,865,95,0,189,5,111,79,107,6,266,0,5,2,0
PL_432660406,Przybiernów,4130,1376,84,0,305,19,174,147,123,7,492,0,11,14,0
PL_432660407,Stepnica,3850,1353,108,0,213,18,124,182,64,5,611,0,21,7,0
PL_432640501,Brojce,2961,905,97,0,120,10,88,49,274,2,245,0,15,5,0
PL_432640502,Gryfice,19217,8307,522,0,1180,94,1013,769,1662,41,2945,0,70,11,0
PL_432640503,Karnice,3344,1317,72,0,245,11,145,92,132,7,602,0,7,4,0
PL_432640504,Płoty,7511,2937,231,0,511,31,250,313,311,17,1240,0,22,11,0
PL_432640507,Rewal,3202,1879,105,0,288,15,88,104,56,1,1192,0,26,4,0
PL_432640508,Trzebiatów,13236,5205,362,0,846,57,560,519,332,29,2415,0,71,14,0
PL_432660601,Banie,5179,1720,197,0,357,36,183,123,115,12,666,0,27,4,0
PL_432660602,Cedynia,3525,1007,96,0,176,21,127,95,28,8,440,0,10,6,0
PL_432660603,Chojna,11113,4188,309,0,842,80,667,379,223,28,1587,0,60,13,0
PL_432660604,Gryfino,25183,12041,657,0,2698,451,1329,1189,352,52,4912,0,372,29,0
PL_432660605,Mieszkowice,5934,1997,176,0,523,47,175,156,104,18,780,0,11,7,0
PL_432660606,Moryń,3528,1212,120,0,287,23,129,79,59,9,494,0,9,3,0
PL_432660607,Stare Czarnowo,3067,1222,134,0,248,21,146,121,90,12,429,0,21,0,0
PL_432660608,Trzcińsko-Zdrój,4535,1488,130,0,345,28,158,120,144,7,536,0,14,6,0
PL_432660609,Widuchowa,4329,1383,96,0,263,46,177,129,81,4,538,0,41,8,0
PL_432660701,Dziwnów,3684,1927,91,0,340,18,246,227,54,7,922,0,20,2,0
PL_432660702,Golczewo,4867,1851,132,0,309,44,188,187,142,8,824,0,12,5,0
PL_432660703,Kamień Pomorski,12319,5388,296,0,979,77,509,596,327,28,2502,0,54,20,0
PL_432660704,Międzyzdroje,5547,2600,128,0,511,36,213,253,46,21,1352,0,40,0,0
PL_432660705,Świerzno,3384,1109,75,0,172,10,124,93,75,11,537,0,10,2,0
PL_432660706,Wolin,10043,4192,336,0,650,48,404,489,379,49,1766,0,58,13,0
PL_432630801,Kołobrzeg,39142,21877,1051,0,4986,260,2003,2497,475,71,10534,0,0,0,0
PL_432630802,Dygowo,4342,1718,163,0,326,6,107,162,314,6,634,0,0,0,0
PL_432630803,Gościno,4011,1449,125,0,358,14,131,138,91,20,572,0,0,0,0
PL_432630804,Kołobrzeg,8020,3911,254,0,856,56,266,456,181,16,1826,0,0,0,0
PL_432630805,Rymań,3290,1174,111,0,220,10,63,111,148,7,504,0,0,0,0
PL_432630806,Siemyśl,2802,1107,104,0,264,9,82,114,100,9,425,0,0,0,0
PL_432630807,Ustronie Morskie,3078,1506,73,0,368,13,158,198,55,6,635,0,0,0,0
PL_432630901,Będzino,6675,2599,263,0,413,34,185,289,484,15,916,0,0,0,0
PL_432630902,Biesiekierz,4532,2225,142,0,269,40,131,289,489,8,857,0,0,0,0
PL_432630903,Bobolice,7979,2857,277,0,556,36,214,328,187,37,1222,0,0,0,0
PL_432630904,Manowo,5148,2439,201,0,349,45,194,335,133,15,1167,0,0,0,0
PL_432630905,Mielno,4529,2389,141,0,548,39,177,291,112,14,1067,0,0,0,0
PL_432630906,Polanów,7135,2314,177,0,422,27,184,286,111,25,1082,0,0,0,0
PL_432630907,Sianów,10576,4121,379,0,682,44,557,472,296,22,1669,0,0,0,0
PL_432630908,Świeszyno,4998,2295,152,0,363,45,222,281,188,12,1032,0,0,0,0
PL_432641001,Barlinek,15635,6517,355,0,1264,64,1200,540,161,34,2811,0,67,21,0
PL_432641002,Boleszkowice,2343,793,84,0,161,12,92,73,80,3,274,0,10,4,0
PL_432641003,Dębno,16632,6775,381,0,1610,104,540,664,326,32,3006,0,94,18,0
PL_432641004,Myślibórz,16646,6402,427,0,1319,69,676,621,622,31,2556,0,61,20,0
PL_432641005,Nowogródek Pomorski,2639,923,91,0,143,7,60,103,252,3,252,0,10,2,0
PL_432661101,Dobra (Szczecińska),12552,7911,270,0,1172,164,592,1102,194,18,4236,0,143,20,0
