gisco_id,name,registered,turnout,invalid,blank,ΠΑ.ΣΟ.Κ.,Ν.Δ. (1974),ΛΑ.Ο.Σ.,Κ.Κ.Ε.,ΣΥ.ΡΙΖ.Α.,Ο.Π.,Κ.Ε.Κ.Α.,ΠΑ.Μ.ΜΕ.,Ο.Ε.,Ε.Ο. (1986),ΦΙ.ΣΥ.,Χ.Α.,Μ.-Λ. Κ.Κ.Ε.,ΑΝΤ.ΑΡ.ΣΥ.Α.,Ε.Κ.,Α.Σ.Κ.Ε.,Ε.Κ.Α.Δ.,Κ.Φ.,Ε.Ε.Κ.,ΕΛ.ΕΝ.,Ο.Τ.,Κ.Π.Σ.Κ.,Ο.Α.Κ.Κ.Ε.,Λ.Ε.Υ.Κ.Ο.,ΠΑ.ΝΑ.Κ,Κ.Ν.
EL_430102,Θεραπνών,4692,1919,15,17,724,738,130,80,73,34,39,7,12,5,9,9,5,1,4,5,4,3,3,0,0,1,0,0,0,1
EL_430203,Οιτύλου,7546,2587,29,20,412,1486,290,127,34,44,36,5,11,16,14,42,3,5,2,2,2,0,3,0,0,1,2,0,0,1
EL_430502,Ασωπού,4414,2007,31,20,512,1025,134,71,57,39,36,8,8,11,7,19,2,11,2,1,5,2,1,1,0,1,0,0,0,3
EL_430103,Καρυών,1446,411,3,6,132,112,17,94,21,12,3,0,1,1,1,1,2,3,0,0,1,0,0,1,0,0,0,0,0,0
EL_430106,Πελλάνας,8282,2267,16,22,702,997,141,122,84,48,53,11,9,14,9,4,2,10,3,1,7,1,4,3,1,0,1,0,0,2
EL_430503,Βοιών,8739,3968,43,34,1165,1742,289,198,151,107,87,14,22,21,19,9,15,12,15,1,9,1,1,0,5,5,1,0,0,2
EL_430404,Κροκεών,4995,1590,14,20,453,621,93,215,64,39,18,6,6,10,4,2,5,8,2,1,3,1,4,0,0,0,1,0,0,0
EL_430401,Σκάλας,6678,3204,53,36,1069,1231,225,207,83,56,138,4,9,15,11,16,4,7,6,0,5,2,20,2,1,2,1,0,0,1
EL_430402,Γερόνθρων,3098,1196,13,9,380,555,80,31,22,16,53,0,5,2,1,10,0,3,2,2,6,0,2,2,0,1,0,0,0,1
EL_430501,Μολάων,7026,2596,29,34,581,1240,296,104,81,55,53,17,14,18,16,10,6,11,6,1,5,1,2,1,3,7,1,0,0,4
EL_430204,Σμύνους,3185,1077,9,7,345,405,86,105,37,24,25,4,4,3,7,4,3,5,0,2,0,0,0,1,0,0,0,0,0,1
