gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,SPI,JL,SJVP,ÖVR
SE_2283,Sollefteå,16736,13282,6,224,1700,1368,525,603,6672,1193,465,283,21,86,7,37,75,17
SE_2284,Örnsköldsvik,43350,35914,7,602,5255,4581,1567,2966,17368,1429,998,345,62,140,355,85,68,86
SE_2303,Ragunda,4650,3582,0,91,432,625,92,99,1597,396,99,67,7,20,3,46,0,8
SE_2305,Bräcke,5563,4314,2,88,632,629,128,95,2034,410,134,54,6,30,2,54,1,15
SE_2309,Krokom,10709,8573,1,185,1319,1832,294,340,3169,603,469,132,40,58,5,103,4,19
SE_2313,Strömsund,10235,8214,4,144,1123,1165,221,237,3933,829,180,155,13,53,18,113,1,25
SE_2321,Åre,7664,6101,0,149,1380,1117,257,298,1883,376,402,90,19,45,3,62,5,15
SE_2326,Berg,6015,4640,5,91,745,1104,99,189,1631,349,197,76,16,25,2,101,2,8
SE_2361,Härjedalen,8698,6746,3,130,1137,852,312,251,3023,542,153,179,18,39,7,81,1,18
SE_2380,Östersund,46354,37558,8,809,6985,5787,1823,1405,14052,2979,2273,471,197,302,7,341,15,104
SE_2401,Nordmaling,5818,4741,3,69,553,736,386,302,2157,283,116,71,13,17,7,23,0,5
SE_2403,Bjurholm,1996,1587,0,17,301,314,152,132,560,51,35,5,7,2,0,2,0,9
SE_2404,Vindeln,4521,3534,5,49,571,674,204,297,1363,165,83,42,18,21,3,26,0,13
SE_2409,Robertsfors,5431,4483,4,67,436,1240,172,281,1746,273,137,34,40,17,1,25,1,9
SE_2417,Norsjö,3533,2788,3,43,201,421,125,249,1354,264,45,27,14,17,1,21,0,3
SE_2418,Malå,2665,2163,0,33,222,189,134,113,1155,234,30,14,6,14,0,14,0,5
SE_2421,Storuman,5172,3965,2,78,608,481,243,386,1590,325,104,45,15,16,0,42,1,29
SE_2422,Sorsele,2273,1719,2,35,213,301,71,156,695,136,48,24,7,0,2,11,1,17
SE_2425,Dorotea,2471,1901,2,45,162,231,160,60,1012,167,19,19,5,3,1,10,0,5
SE_2460,Vännäs,6346,5101,1,56,629,920,223,356,2144,418,215,47,28,34,4,13,0,13
SE_2462,Vilhelmina,5734,4593,3,88,402,579,270,450,2117,402,105,65,20,29,5,39,0,19
