gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,OVR
SE_1766,Sunne,10477,4912,82,0,560,820,428,329,1287,268,443,419,198,56,22
SE_1785,Säffle,11972,5324,73,0,604,718,477,359,1332,230,484,783,167,69,28
SE_1737,Torsby,9528,3815,53,0,416,352,238,162,1386,326,289,421,108,42,22
SE_1765,Årjäng,6815,2975,63,0,249,348,306,388,741,111,238,413,42,31,45
SE_2403,Bjurholm,1918,861,10,0,108,119,81,75,272,54,42,77,14,6,3
SE_2425,Dorotea,2219,974,15,0,36,112,77,41,370,123,45,98,26,20,11
SE_2481,Lycksele,9674,4034,58,0,202,194,215,509,1456,584,265,348,115,53,35
SE_2418,Malå,2496,1027,23,0,38,45,74,62,428,159,79,80,21,14,4
SE_2401,Nordmaling,5555,2437,28,0,164,331,135,209,761,296,190,190,80,41,12
SE_2417,Norsjö,3220,1276,22,0,41,101,73,136,482,199,71,93,28,22,8
SE_2409,Robertsfors,5310,2518,21,0,123,374,108,248,884,261,204,141,96,48,10
SE_2482,Skellefteå,56840,32645,1022,0,1838,1736,1870,2113,12685,3598,3669,1981,1343,645,145
SE_2422,Sorsele,2014,827,21,0,43,71,28,64,266,134,64,108,16,8,4
SE_2421,Storuman,4868,2103,40,0,175,225,141,210,661,221,153,201,41,26,9
SE_2480,Umeå,92399,52694,819,0,3930,2847,3444,2553,14215,6072,9630,2270,4904,1784,226
SE_2462,Vilhelmina,5325,2449,50,0,81,162,92,267,911,336,155,280,64,39,12
SE_2404,Vindeln,4249,1916,21,0,141,264,97,176,589,204,150,152,73,42,7
SE_2460,Vännäs,6567,3269,35,0,159,369,185,243,1011,447,361,226,152,60,21
SE_2463,Åsele,2274,996,16,0,42,108,85,52,397,112,44,104,17,13,6
SE_2280,Härnösand,19303,9488,60,0,779,603,597,437,3282,689,1513,778,477,231,42
SE_2282,Kramfors,14806,6510,60,0,373,673,299,259,2767,608,591,483,271,101,25
SE_2283,Sollefteå,15537,7042,68,0,418,516,282,187,3372,587,550,692,202,117,51
SE_2281,Sundsvall,75397,36584,307,0,3758,2230,2992,1461,13079,2355,4367,3274,1787,766,208
SE_2262,Timrå,13805,5985,45,0,333,422,337,240,2597,486,519,653,187,129,37
