gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,JL,SD,PP,FI,ÖVR
SE_0331,Heby,10414,3951,115,0,412,624,413,215,1037,315,217,187,126,237,44,9
SE_0330,Knivsta,10068,5161,67,0,1143,328,1028,296,819,189,590,172,105,321,99,4
SE_0360,Tierp,15660,6080,119,0,575,559,642,184,2258,441,462,275,199,310,51,5
SE_0380,Uppsala,147823,79128,1181,0,13418,3563,13675,3892,13986,4496,12115,2630,1409,6006,2635,122
SE_0319,Älvkarleby,6957,2742,60,0,214,68,268,58,1153,272,199,140,140,155,15,0
SE_0382,Östhammar,16804,6409,144,0,1025,679,802,229,1832,272,457,332,161,332,144,0
SE_1784,Arvika,20346,7411,162,0,991,514,806,272,2222,522,781,372,234,430,95,10
SE_1730,Eda,5664,1724,47,0,205,188,130,54,608,113,97,123,55,90,11,3
SE_1782,Filipstad,8492,2951,52,0,315,102,242,75,1269,278,167,114,113,191,26,7
SE_1763,Forshaga,8697,3323,50,0,339,214,293,126,1334,207,242,125,133,197,53,10
SE_1764,Grums,7201,2666,49,0,287,186,183,96,1135,191,158,81,92,178,24,6
SE_1783,Hagfors,10239,3397,80,0,275,194,239,88,1561,351,162,118,142,146,37,4
SE_1761,Hammarö,10998,5228,83,0,855,203,728,264,1652,276,496,145,99,372,48,7
SE_1780,Karlstad,67306,31667,593,0,5496,1603,4299,1326,8360,1679,3599,857,998,2288,508,61
SE_1715,Kil,9025,3684,86,0,545,363,402,192,1010,191,371,143,107,233,37,4
SE_1781,Kristinehamn,18944,7899,170,0,1227,436,998,308,2424,555,727,255,249,480,57,13
SE_1762,Munkfors,3058,1185,21,0,67,93,94,23,547,106,66,38,52,65,12,1
SE_1760,Storfors,3340,1341,19,0,137,76,82,43,532,148,56,67,68,93,15,5
SE_1766,Sunne,10564,4258,76,0,522,1129,377,160,962,211,284,188,107,194,37,11
SE_1785,Säffle,12339,4427,74,0,662,572,568,237,1136,225,276,187,197,253,36,4
SE_1737,Torsby,10007,3343,74,0,427,246,294,78,1177,336,211,173,114,175,31,7
SE_1765,Årjäng,6932,2355,50,0,284,309,328,178,604,136,119,175,69,95,7,1
