gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,PVV,D66,GL,SP,PvdD,CU-SGP,EKP,Newropeans,LDP,Libertas,DG,EV&D,PEP,Solidara
NL_0070,Franekeradeel,15739,5632,5,4,1003,458,1792,723,359,364,365,131,341,49,11,9,3,4,3,3,7
NL_0653,Gaasterlan-Sleat,7932,3386,10,6,410,306,1239,398,240,209,170,86,252,23,7,8,7,9,2,2,3
NL_0779,Geertruidenberg,16353,4705,4,13,558,569,1166,1068,363,275,379,142,85,26,14,11,15,4,5,4,7
NL_0236,Geldermalsen,19497,8586,11,8,865,1101,1640,1785,710,497,371,196,1231,33,40,20,37,16,5,9,11
NL_1771,Geldrop-Mierlo,29175,9618,9,39,943,1507,2121,1592,1044,763,936,346,138,49,29,36,20,15,11,11,9
NL_1652,Gemert-Bakel,21794,6519,13,13,527,925,2453,970,412,335,610,146,26,26,21,8,13,10,6,0,5
NL_0907,Gennep,13308,4134,11,12,443,386,1261,719,385,262,424,119,36,26,13,8,14,7,2,2,5
NL_0689,Giessenlanden,10876,5169,7,7,533,625,1294,760,308,172,241,101,1048,21,12,8,18,9,3,2,0
NL_0784,Gilze en Rijen,19322,6350,5,15,836,728,1679,1196,619,415,513,182,37,30,23,17,22,16,8,8,8
NL_0511,Goedereede,8835,4479,6,3,278,338,1178,618,150,101,146,88,1544,11,8,2,5,0,2,0,2
NL_0664,Goes,28702,10442,25,23,1148,1082,2134,1358,907,828,653,366,1745,45,50,14,33,12,7,7,11
NL_0785,Goirle,17566,5988,3,18,744,706,1506,924,720,512,522,203,38,14,32,11,16,10,6,3,0
NL_0512,Gorinchem,25371,8818,18,16,1175,979,1245,1589,985,644,668,315,955,41,36,16,97,16,4,4,15
NL_0513,Gouda,52356,21898,37,48,2692,1941,2974,3819,2673,2231,1477,810,2755,88,122,55,69,55,17,10,25
NL_0693,Graafstroom,6995,3788,4,4,176,217,1263,359,101,83,93,56,1391,17,3,3,14,2,2,2,0
NL_0365,Graft-De Rijp,4933,2257,3,4,302,338,443,435,211,163,198,109,13,9,14,2,4,2,2,2,4
NL_0786,Grave,9517,3484,7,2,316,446,930,587,341,251,387,113,30,24,23,9,8,2,5,2,2
NL_0241,Groesbeek,15034,5140,9,8,664,392,1488,878,444,499,428,187,60,26,15,4,17,12,3,3,5
NL_0014,Groningen,148918,58435,105,178,10207,5243,5183,4718,10068,10098,5686,2197,3394,221,431,199,181,152,33,35,106
NL_0015,Grootegast,8986,3145,2,3,303,238,1212,337,128,160,140,74,505,13,10,2,13,2,2,0,2
NL_1729,Gulpen-Wittem,11832,4682,5,6,384,279,1773,1055,284,318,291,122,53,18,21,16,29,17,4,4,3
NL_0158,Haaksbergen,18749,6600,16,15,757,802,2335,1029,601,306,415,151,80,23,12,14,13,13,7,2,9
NL_0788,Haaren,10450,3511,9,8,264,453,1403,466,307,227,193,87,25,24,10,2,15,4,12,2,2
NL_0392,Haarlem,112696,42972,76,92,6042,4178,4363,6042,7466,6538,3799,2378,902,174,258,230,161,141,40,21,71
NL_0393,Haarlemmerliede en Spaarnwoude,4081,1620,4,2,189,216,340,327,193,132,78,74,22,12,9,8,6,3,3,3,3
NL_0394,Haarlemmermeer,103211,38483,70,72,3637,6377,5980,8827,4371,2678,2170,1713,1656,220,208,111,148,60,29,19,137
NL_1655,Halderberge,22666,6632,15,14,672,899,1687,1611,585,319,444,190,60,45,27,16,23,5,9,4,7
NL_0160,Hardenberg,44061,16514,14,26,1680,1157,5983,2000,675,584,732,270,3207,54,24,26,28,19,12,4,19
NL_0243,Harderwijk,32453,12036,9,18,1054,1273,2832,1882,1044,723,539,344,2139,48,37,19,24,14,10,4,23
NL_0523,Hardinxveld-Giessendam,12982,5737,4,6,401,367,1019,647,137,112,177,89,2732,12,5,8,7,5,2,2,6
NL_0017,Haren,14304,7841,12,13,1134,1260,1251,660,1255,1022,351,220,554,29,18,16,24,17,4,0,4
NL_0395,Harenkarspel,11856,3955,3,9,449,595,984,722,351,304,225,158,41,37,25,10,23,11,5,2,2
NL_0072,Harlingen,12079,4029,11,6,697,398,734,658,289,305,455,161,227,41,16,5,8,10,5,5,6
NL_0244,Hattem,8949,4106,6,11,586,404,902,390,340,203,131,90,988,7,10,7,8,11,4,3,5
NL_0396,Heemskerk,29209,9602,14,12,1358,1047,1804,2015,951,919,701,358,186,67,70,33,27,9,14,3,14
NL_0397,Heemstede,19649,9937,11,16,933,2123,1576,1280,2003,900,380,365,142,48,51,40,35,15,7,4,8
NL_0246,Heerde,14194,5906,12,3,697,545,1642,848,335,204,178,171,1203,18,13,11,7,6,3,3,7
NL_0074,Heerenveen,33378,12043,19,6,2841,1347,2254,1348,1211,926,869,370,616,76,44,20,32,12,9,3,40
NL_0398,Heerhugowaard,37615,11541,22,18,1499,1547,2078,2225,1222,938,957,461,285,74,74,28,40,25,20,12,16
NL_0917,Heerlen,70689,21138,57,45,2220,1537,4430,5534,1328,1236,3297,784,284,108,54,47,88,37,9,16,27
NL_1658,Heeze-Leende,11791,4513,6,11,410,970,1289,571,498,240,270,120,32,20,13,37,12,7,3,3,3
NL_0399,Heiloo,17120,7690,7,13,993,1271,1324,1202,1063,799,375,342,110,54,39,19,41,22,7,2,7
NL_0918,Helden,15091,4839,2,6,290,381,2106,1110,234,271,239,87,24,32,16,2,24,8,6,0,2
NL_0163,Hellendoorn,27652,9795,9,18,977,733,4143,1210,624,540,462,236,728,38,25,7,16,9,7,4,9
NL_0530,Hellevoetsluis,30622,9577,14,12,1173,1275,1108,2841,902,554,802,423,278,58,51,21,28,7,10,7,13
NL_0794,Helmond,64212,18099,46,31,1636,4301,2786,3837,1473,1176,1917,486,160,46,61,38,39,20,16,7,23
NL_0531,Hendrik-Ido-Ambacht,19321,7399,8,14,614,799,1286,1342,462,283,243,197,2045,29,20,11,18,11,5,0,12
NL_0164,Hengelo,61268,21579,55,61,3208,2100,4429,3149,2433,1795,2565,604,746,95,99,51,64,62,12,8,43
NL_0063,het Bildt,8030,2939,4,7,499,264,989,356,174,167,264,92,94,19,5,0,0,3,3,0,3
NL_0252,Heumen,12494,5513,6,11,686,568,1464,673,773,634,432,136,48,21,21,6,11,8,9,5,5
NL_0797,Heusden,32270,10016,31,24,879,1297,2777,1971,1027,593,775,274,146,78,50,11,32,15,25,3,8
NL_0534,Hillegom,15619,6332,11,15,576,981,1284,1360,663,496,351,278,159,39,23,25,25,17,11,4,14
NL_0798,Hilvarenbeek,11470,4296,7,1,332,448,1768,535,388,290,298,137,23,21,15,7,17,2,5,2,2
NL_0402,Hilversum,63555,26569,52,51,3104,3613,3374,4425,4315,2831,2100,1166,988,123,110,95,95,60,24,12,31
NL_1735,Hof van Twente,27101,10469,19,19,1502,1525,3466,1416,944,552,499,227,165,39,16,20,31,16,4,5,4
NL_0118,Hoogeveen,42278,14221,22,25,1992,1112,4460,2215,748,717,881,261,1615,52,34,21,27,12,11,5,11
NL_0018,Hoogezand-Sappemeer,26900,7888,14,7,1855,820,931,1416,570,580,714,297,521,55,25,19,19,13,10,10,21
NL_0405,Hoorn,52377,17399,25,42,2456,1986,2246,3364,2072,1853,1771,862,310,126,79,31,60,50,21,9,36
NL_1507,Horst aan de Maas,22223,7378,10,11,457,551,3102,1390,435,353,782,155,37,22,20,9,23,7,6,4,4
NL_0321,Houten,34189,15074,10,26,1602,1689,2541,2034,2083,1674,760,506,1859,69,85,35,38,23,12,2,26
NL_0406,Huizen,32010,13556,8,36,1292,1967,2320,2344,1745,983,700,511,1377,84,46,41,40,23,11,12,16
NL_0677,Hulst,20678,6893,21,19,782,759,1894,1586,487,355,572,230,81,30,17,6,31,7,10,4,2
NL_0353,IJsselstein,24914,9126,10,14,1010,1145,1744,1746,1166,720,660,280,471,37,32,19,33,10,18,4,7
NL_1884,Kaag en Braassem,19409,7586,14,9,630,1287,2212,1404,677,491,377,182,135,45,39,21,24,10,12,8,9
NL_0166,Kampen,36815,14600,14,14,1163,755,3590,1612,662,838,793,315,4690,40,21,15,33,14,7,2,22
NL_0678,Kapelle,9137,3848,9,13,329,394,859,487,273,175,187,114,962,15,6,6,3,7,3,2,4
NL_0537,Katwijk,45660,16003,30,32,839,1230,4380,2938,782,570,601,479,3875,74,47,24,41,26,13,12,10
NL_0928,Kerkrade,36829,10516,20,27,1803,434,2788,3076,357,478,900,392,62,48,28,20,44,16,4,9,10
NL_0929,Kessel,3266,1152,2,3,64,107,509,335,43,34,29,12,2,3,2,2,2,0,2,2,2
NL_1598,Koggenland,16312,6056,10,7,615,926,1763,1053,493,407,384,215,65,47,21,11,10,10,8,5,6
NL_0079,Kollumerland en Nieuwkruisland,9983,3472,9,7,352,238,1399,464,140,178,165,101,359,30,8,5,7,3,3,3,3
NL_0588,Korendijk,8348,3648,5,4,284,355,650,638,196,157,162,163,993,10,12,3,6,2,4,0,4
NL_0542,Krimpen aan den IJssel,22119,9725,16,30,980,994,1352,1829,805,466,448,272,2400,53,23,16,24,7,5,4,4
NL_1659,Laarbeek,16597,5731,10,17,494,1258,1673,898,341,279,507,136,34,21,18,12,13,7,7,5,5
NL_1685,Landerd,11285,4066,7,4,317,460,1608,642,267,188,410,82,20,21,19,5,5,3,6,0,2
NL_0882,Landgraaf,30671,9003,13,20,957,501,2287,2604,479,470,1063,364,94,36,23,18,38,16,13,3,4
NL_0415,Landsmeer,7917,3526,11,5,575,515,331,815,416,344,250,151,40,23,13,14,14,3,3,2,2
NL_0416,Langedijk,20140,7336,21,13,818,1083,1424,1334,773,656,448,276,314,45,46,12,31,21,6,11,4
NL_1621,Lansingerland,36954,15431,20,32,1160,2294,3514,2998,1707,873,519,505,1489,89,75,46,51,14,25,13,7
NL_0417,Laren,8551,4328,7,6,303,1141,614,834,703,253,169,168,39,23,16,18,20,6,2,3,3
NL_0022,Leek,14805,5775,9,10,1007,554,1249,626,452,469,414,144,744,24,14,9,19,8,7,6,10
NL_0545,Leerdam,15384,5658,12,10,633,536,1086,1097,416,213,246,137,1203,15,6,14,11,6,7,3,7
NL_0080,Leeuwarden,74085,24081,35,46,4867,1989,3802,2782,2686,2918,2266,950,1240,145,114,51,51,59,12,16,52
NL_0081,Leeuwarderadeel,7899,3304,3,6,807,259,905,335,258,191,233,114,140,21,7,6,8,4,2,2,4
NL_0546,Leiden,88164,37384,79,151,5087,3720,3232,4300,8318,6236,2706,1649,985,147,285,159,138,85,29,32,46
NL_0547,Leiderdorp,19822,8399,15,13,930,1220,1423,1285,1415,840,476,324,316,34,32,21,26,7,9,2,11
NL_1916,Leidschendam-Voorburg,55592,24687,52,53,2460,3810,4322,4708,3951,1926,1230,1033,545,120,120,81,141,55,17,13,50
NL_0995,Lelystad,54082,17578,37,31,2215,2022,2022,4017,1882,1440,1482,970,1020,122,84,43,90,29,26,8,38
NL_0082,Lemsterland,10204,3719,5,6,559,404,1009,626,313,169,252,139,176,20,11,8,10,4,2,0,6
NL_1640,Leudal,28329,10079,26,27,641,764,4355,2066,628,518,632,218,61,38,32,13,25,16,10,3,6
NL_0327,Leusden,21499,10353,14,19,1002,1460,2173,1412,1343,888,564,354,921,44,56,24,39,17,7,7,9
NL_0694,Liesveld,7097,3471,5,3,280,321,874,458,135,86,101,52,1111,17,11,4,7,2,0,2,3
NL_0733,Lingewaal,8275,3460,7,2,460,402,849,582,207,154,144,85,538,3,2,5,6,4,3,2,6
NL_1705,Lingewaard,34626,10615,10,16,1329,1191,2868,1746,1250,868,711,300,110,46,49,14,42,17,14,10,24
NL_0553,Lisse,16939,6860,11,15,508,1004,1624,1247,713,364,315,225,714,32,22,25,25,8,3,3,4
NL_0808,Lith,5052,1837,4,1,133,181,762,307,112,86,164,49,10,11,6,3,4,3,0,0,3
NL_0140,Littenseradiel,8124,3381,3,6,580,299,1127,264,291,303,266,82,100,18,14,4,10,8,2,0,4
NL_0262,Lochem,26067,11287,15,14,1570,1845,2537,1223,1604,1016,762,324,181,42,36,31,29,29,13,9,7
NL_0329,Loenen,6380,3066,3,3,266,556,609,437,501,232,115,126,152,25,9,6,19,3,2,2,2
NL_0809,Loon op Zand,17770,5595,10,14,501,732,1605,1150,510,291,405,182,88,20,28,15,27,6,4,4,6
NL_0331,Lopik,10358,4284,2,7,237,371,1350,835,192,96,141,103,891,21,7,7,12,5,2,4,2
NL_0024,Loppersum,8127,3391,4,6,570,235,943,264,220,328,262,88,421,9,13,3,8,8,2,2,5
NL_0168,Losser,17537,5241,6,16,526,584,1874,969,414,255,335,111,69,24,11,11,14,12,6,2,2
NL_0333,Maarssen,30403,11750,32,20,1402,1586,1866,2467,1569,1000,665,455,435,53,63,40,42,22,7,5,21
