gisco_id,name,registered,turnout,invalid,blank,GL-PvdA,VVD,CDA,FvD,D66,PvdD,50PLUS,PVV,JA21,NVPLAN,CU,SGP,BBB,MDD,SP,VdR,Volt,BVNL,NSC,PPNL
NL_0168,Losser,18705,8556,12,15,988,894,1076,238,382,143,65,1963,68,10,75,17,1090,7,110,2,207,31,1148,15
NL_1731,Midden-Drenthe,27707,14153,19,13,2686,1304,1557,380,686,443,117,2424,80,9,499,278,2202,24,293,6,389,65,649,30
NL_0228,Ede,93029,51740,84,42,7942,4306,4892,1038,3006,1616,278,7080,266,52,4352,9875,2557,51,597,13,1703,152,1706,132
NL_0294,Winterswijk,23219,11307,16,22,2076,1612,1263,315,626,276,75,1587,77,14,155,73,1631,7,270,6,379,47,730,50
NL_0406,Huizen,32261,15873,23,22,2630,2622,1635,442,1406,567,145,2741,141,17,700,574,496,33,230,4,709,85,612,39
NL_1695,Noord-Beveland,6456,3439,4,4,480,394,375,129,176,138,26,650,44,1,87,211,405,5,66,3,94,17,120,10
NL_0396,Heemskerk,30837,13459,25,30,2450,1679,1199,458,1606,501,223,2821,97,22,177,48,620,16,318,6,473,78,554,58
NL_0358,Aalsmeer,23692,11483,19,18,1573,2123,1238,309,939,359,113,2522,135,31,340,172,450,27,131,1,455,59,432,37
NL_0377,Bloemendaal,17636,11591,18,8,2398,2528,979,163,1739,481,76,1035,74,9,76,32,198,17,111,3,1202,38,374,32
NL_0183,Tubbergen,17134,9183,13,5,514,1439,1120,157,255,100,31,2034,84,7,42,46,2260,8,47,0,125,32,857,7
NL_0880,Wormerland,13103,6272,17,14,1421,846,427,156,497,292,81,1131,47,7,122,50,403,17,154,1,279,40,244,26
NL_1961,Vijfheerenlanden,46887,21938,41,31,2857,2182,2580,506,1230,560,176,4123,105,23,1318,3007,1296,36,311,6,668,70,757,55
NL_0277,Rozendaal,1344,1005,3,1,239,242,101,13,120,47,3,81,6,2,13,10,15,4,8,0,81,1,13,2
NL_1676,Schouwen-Duiveland,27729,15206,24,9,2146,1920,1576,328,811,435,90,2644,110,12,566,2012,1343,15,248,4,380,51,450,32
NL_0147,Borne,19041,9434,96,10,1524,1217,1002,190,679,187,61,1446,47,9,127,38,839,11,176,2,323,34,1399,17
NL_0307,Amersfoort,122395,64430,91,103,17759,7137,4779,1150,7195,3557,399,6763,422,97,3641,1099,1461,248,1349,24,4513,192,2211,240
NL_0638,Zoeterwoude,7717,4051,4,9,843,623,465,58,352,157,32,603,24,7,43,50,325,7,73,1,214,21,127,13
NL_1930,Nissewaard,66958,22689,35,43,3310,2738,1682,834,1212,859,288,7314,258,47,483,346,885,38,596,8,563,112,969,69
NL_0164,Hengelo,65307,27422,48,52,5714,2836,2177,806,2004,962,194,4397,133,33,526,188,1411,49,1038,7,1307,130,3308,102
NL_0376,Blaricum,9201,4949,2,9,699,1350,425,139,490,129,38,808,48,1,73,29,133,18,57,1,286,27,175,12
NL_0085,Ooststellingwerf,21016,10318,7,12,1842,868,996,359,476,378,87,2068,39,8,449,185,1498,14,240,6,244,61,447,34
NL_0342,Soest,36941,19668,34,34,3858,2992,1800,397,2099,904,165,3084,157,22,551,486,671,63,260,7,1169,82,761,72
NL_1659,Laarbeek,18246,7655,14,13,1223,987,1075,132,480,200,150,1740,49,10,36,18,673,9,207,1,279,26,321,12
NL_0743,Asten,13273,6237,11,19,840,799,1031,126,399,127,129,1188,55,7,14,19,793,13,138,2,239,20,254,14
NL_1924,Goeree-Overflakkee,40957,21664,27,17,1819,1831,1971,621,735,493,135,4718,147,17,1149,5267,1314,14,278,2,313,55,705,36
NL_0297,Zaltbommel,22134,11795,21,13,1690,1140,946,228,710,315,85,1904,67,13,595,2531,545,15,169,1,400,54,329,24
NL_1728,Bladel,16612,7250,11,13,925,967,1214,152,487,164,165,1438,47,9,36,24,718,9,193,2,317,33,314,12
NL_0400,Den Helder,44774,15852,26,24,2290,1939,1465,696,866,555,194,4199,127,31,429,234,1102,46,317,14,480,97,641,80
NL_0034,Almere,157487,53456,136,100,11566,6773,2485,2003,4417,3109,665,12129,415,141,1036,365,1505,179,1585,69,2291,260,1850,377
NL_0797,Heusden,35517,15101,24,16,2334,2341,1968,307,1325,425,262,3303,102,15,160,62,872,27,357,8,540,52,567,34
NL_0935,Maastricht,88054,37650,77,57,10155,3911,3804,922,3645,2072,701,6319,192,39,191,82,537,60,902,19,2628,96,1093,148
NL_0173,Oldenzaal,25410,11333,24,19,1743,1488,1334,305,799,230,86,2034,77,17,76,31,739,17,189,6,440,57,1601,21
NL_1730,Tynaarlo,27123,15599,104,17,4495,1865,1230,280,1633,639,124,1705,72,12,507,104,961,15,350,3,820,54,572,37
NL_0213,Brummen,17447,8255,13,10,1839,1044,706,198,598,299,78,1464,53,2,132,75,813,19,192,11,346,35,315,13
NL_0556,Maassluis,26965,10850,19,33,1674,1688,1269,300,784,322,134,2457,100,13,397,204,370,20,202,2,339,42,445,36
NL_0882,Landgraaf,29875,10868,13,26,1658,871,1387,436,497,398,196,3725,71,11,62,25,310,11,340,10,275,51,459,36
NL_1942,Gooise Meren,43854,25802,47,26,5523,4768,1966,516,3857,1086,171,2635,202,29,265,113,678,93,290,4,2574,97,774,88
NL_1940,De Fryske Marren,41164,20985,13,18,3354,2071,3029,654,1141,469,164,3913,120,25,980,432,2572,34,382,5,557,113,887,52
NL_0981,Vaals,6374,2962,10,3,645,232,423,88,142,135,54,647,24,1,23,12,148,5,83,0,117,12,135,23
NL_0484,Alphen aan den Rijn,87365,42519,304,51,7043,6001,4646,1159,3755,1514,386,7232,349,64,1529,1858,2114,60,804,10,1704,152,1656,128
NL_0098,Weststellingwerf,21270,9981,17,14,1606,952,935,352,461,334,78,2122,44,8,253,119,1673,11,238,6,280,47,393,38
NL_0599,Rotterdam,464402,157207,443,303,41913,16083,7822,3862,16409,12269,1132,25075,1679,270,3175,1983,2211,357,4495,48,12327,465,3868,1018
NL_0597,Ridderkerk,37089,15414,24,27,1799,1499,1448,386,679,414,140,3763,141,19,910,2506,397,16,257,5,305,49,602,28
NL_0505,Dordrecht,91667,36923,59,74,7982,4101,2975,970,2860,1977,368,6367,208,43,1678,2121,804,54,1000,8,1597,117,1394,166
NL_1705,Lingewaard,37596,17095,26,23,3377,2508,2067,358,1568,497,224,3367,113,22,119,52,841,39,352,4,725,37,739,37
NL_0353,IJsselstein,26077,11735,18,21,2185,1920,1234,264,1151,426,149,2208,87,24,274,165,382,28,183,5,494,36,451,30
NL_0873,Woensdrecht,16569,6590,14,12,798,992,758,185,394,171,107,2011,58,14,37,17,430,10,140,3,158,30,233,18
NL_0717,Veere,17365,11353,10,10,1802,1175,1401,241,586,335,82,1170,57,6,446,2285,940,7,127,2,288,43,321,19
NL_0285,Voorst,20115,10717,4,8,1713,1342,1331,228,732,263,94,1544,43,7,210,314,1781,15,128,6,440,25,473,16
NL_0050,Zeewolde,17492,8633,10,14,1134,1094,837,256,621,236,71,1668,79,9,623,300,819,19,102,5,295,44,374,23
NL_1931,Krimpenerwaard,44821,23790,35,30,2922,2801,2277,536,1302,649,190,4321,250,33,1187,3880,1401,28,330,2,651,69,835,61
NL_0512,Gorinchem,29095,12228,29,31,2287,1631,1015,315,1052,481,98,2150,97,16,642,575,341,24,345,2,496,38,522,41
NL_0059,Achtkarspelen,22125,9421,8,12,1124,475,1389,411,326,171,57,2380,42,6,1069,425,781,13,117,2,130,45,410,28
NL_0826,Oosterhout,45109,17220,18,16,3167,2869,1873,369,1659,548,228,3548,112,32,128,40,676,16,428,4,745,53,625,66
NL_0432,Opmeer,9515,4482,3,12,573,559,567,159,255,142,68,938,39,6,27,19,643,9,49,1,171,37,189,16
NL_0244,Hattem,9867,5527,1,5,947,543,727,104,364,150,23,760,12,2,746,246,264,73,70,0,193,27,255,15
NL_0988,Weert,39682,16897,26,34,2393,1740,4083,454,1129,447,152,3899,123,24,74,29,773,29,339,1,491,75,540,42
NL_0047,Veendam,22182,8239,11,23,1679,882,594,315,454,270,123,1895,51,10,247,86,574,7,354,3,194,40,404,23
NL_0246,Heerde,15310,7958,12,11,957,660,1129,183,379,172,42,1320,29,2,918,552,875,17,87,3,197,27,378,8
NL_0755,Boekel,8732,3930,32,4,415,497,644,68,234,88,67,871,23,3,8,6,584,2,115,2,88,12,155,12
NL_0654,Borsele,17848,9565,9,7,1043,682,1159,205,347,222,59,1430,42,10,205,2455,1071,14,133,2,170,37,244,19
NL_0766,Dongen,21118,8200,10,17,1429,1185,1165,177,730,287,121,1543,54,7,98,57,437,9,188,7,321,26,314,18
NL_0866,Waalre,13466,7272,16,8,1558,1262,783,141,882,248,107,937,48,13,43,27,180,8,120,5,574,30,259,23
NL_1709,Moerdijk,30095,11882,21,24,1539,1661,1576,383,768,308,161,2868,112,15,310,141,827,17,272,4,296,49,490,40
NL_0848,Son en Breugel,13726,6651,8,8,1224,1136,878,110,745,214,99,994,49,3,71,16,237,15,143,3,398,19,257,24
NL_0321,Houten,38435,21682,22,23,5269,2731,2008,324,2365,808,156,2867,139,10,1059,754,598,23,285,2,1276,57,851,55
NL_1884,Kaag en Braassem,22540,11342,15,19,1527,1735,1350,299,918,370,139,2371,132,13,145,79,1034,20,167,0,483,74,421,31
NL_0824,Oisterwijk,25897,12004,11,19,2143,2108,1587,244,1197,369,174,1926,62,12,59,25,728,16,218,2,543,57,485,19
