gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,MEP,PCTP/MRPP,PPM,POUS,PH,E,MPT,PLD
PT_160210,Gondar,242,87,0,3,25,50,3,2,1,0,1,0,0,2,0,0,0
PT_160211,Lanhelas,1073,456,8,22,204,124,12,41,23,4,2,2,1,4,6,3,0
PT_160212,Moledo,1308,457,6,21,157,118,45,56,41,2,2,1,0,1,1,4,2
PT_160213,Orbacém,265,93,0,3,41,19,10,12,5,1,0,0,1,0,0,1,0
PT_160214,Riba De Âncora,765,264,7,11,106,50,24,27,22,4,2,0,1,2,2,3,3
PT_160215,Seixas,1367,496,9,22,144,199,28,47,23,8,5,3,2,1,1,4,0
PT_160216,Venade,866,293,11,24,117,75,16,28,15,1,1,1,0,2,2,0,0
PT_160217,Vila Praia De Âncora,4730,1355,24,68,447,375,83,189,111,9,23,5,3,6,4,4,4
PT_160218,Vilar De Mouros,792,327,8,15,61,82,18,49,76,3,6,1,1,2,0,2,3
PT_160219,Vilarelho,923,337,7,18,123,90,19,30,29,7,5,3,0,2,1,2,1
PT_160220,Vile,299,116,4,5,46,33,4,9,11,0,3,0,0,1,0,0,0
PT_160301,Alvaredo,649,155,3,8,48,60,10,16,5,1,1,1,0,0,1,1,0
PT_160302,Castro Laboreiro,949,155,1,4,45,69,8,16,7,1,1,2,1,0,0,0,0
PT_160303,Chaviães,580,133,1,5,49,63,8,1,5,0,0,0,1,0,0,0,0
PT_160304,Cousso,536,105,3,7,56,25,5,1,1,0,0,1,2,1,1,2,0
PT_160305,Cristoval,734,189,3,3,93,60,17,8,3,1,0,0,0,0,0,1,0
PT_160306,Cubalhão,307,74,1,0,40,27,3,0,2,0,0,0,0,0,0,1,0
PT_160307,Fiães,416,74,5,0,11,44,5,3,4,0,0,0,0,0,0,2,0
PT_160308,Gave,426,115,0,12,49,36,11,2,1,1,1,1,0,0,0,0,1
PT_160309,Lamas De Mouro,239,75,3,0,9,54,3,0,2,1,1,1,0,1,0,0,0
PT_160310,Paços,501,119,2,6,47,45,3,12,0,0,3,0,0,0,0,0,1
PT_160311,Paderne,1578,358,4,20,141,143,12,19,7,0,2,1,1,4,1,2,1
PT_160312,Parada Do Monte,825,191,1,2,113,35,31,0,2,2,0,1,0,0,3,1,0
