gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,CD&V,SP.A,VLAAMS BELANG,GROEN,PVDA+,PS,MR,CDH,Parti Populaire,ECOLO,PTB-GO!,DEBOUT LES BELGES,FDF,LA DROITE,VEGA,MG,Stand Up USE,CSP,PRO DG,SP,VIVANT,PFF,VB
BE_12034,Sint-Amands,0,5789,182,0,1498,870,1597,604,385,550,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_46020,Sint-Gillis-Waas,0,13581,567,0,3900,1956,3502,1099,1098,1223,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_12035,Sint-Katelijne-Waver,0,14474,501,0,4513,2441,3404,1011,1110,1257,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_43014,Sint-Laureins,0,4947,308,0,937,1324,1293,344,259,376,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_41063,Sint-Lievens-Houtem,0,7349,446,0,1915,2058,1256,679,410,511,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_44064,Sint-Martens-Latem,0,6257,151,0,1559,2528,938,261,184,599,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_46021,Sint-Niklaas (Sint-Niklaas) / Saint-Nicolas (Saint-Nicolas),0,49625,1984,0,13920,7114,8998,6744,4106,5554,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23077,Sint-Pieters-Leeuw,0,19851,1633,0,4190,5246,2907,2384,1119,2005,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_71053,Sint-Truiden / Saint-Trond,0,29199,1942,0,7144,5996,5288,5043,1619,1754,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_56088,Sivry-Rance,0,3402,365,0,0,0,0,0,0,0,0,742,904,460,378,246,117,79,38,62,6,2,3,0,0,0,0,0,0
