gisco_id,name,registered,turnout,invalid,blank,open vld,VLAAMS BELANG,CD&V,SP.A,N-VA,Lijst Dedecker,GROEN!,PVDA+,SLP,LSP,CAP,SP,ECOLO,PFF,CSP,FN,R.W.F.,WALLONIE D'ABORD,PTB+,MS,CAP D'ORAZIO,LCR-PSL,PC-GE,PS,MR,CDH,ProDG,VIVANT,EUROPA der WERTE
BE_K00156,Puurs,35315,32654,1104,0,5242,5008,11088,3315,2642,1559,2280,240,104,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00158,Riemst,11062,10414,665,0,2041,1248,3274,755,1482,453,391,32,38,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00159,Rochefort,9157,8329,938,0,0,0,0,0,0,0,0,0,0,0,0,1605,1718,2497,1103,182,109,93,21,25,9,16,13,0,0,0,0,0,0
BE_K00160,Roulers,60694,56547,3490,0,8208,6691,17053,6289,4945,5573,3396,328,405,107,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00157,Renaix,22948,20895,2122,0,4402,3384,3432,3561,964,1154,1480,167,123,68,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00161,Ruiselede,14573,13664,958,0,2159,1442,4661,901,1060,1605,707,65,68,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00162,Saint-Gilles,20653,17528,990,0,430,156,132,216,48,50,368,30,11,7,6,0,4914,0,0,249,42,74,248,14,61,228,110,5319,2337,1488,0,0,0
BE_K00163,Saint-Hubert,7997,7393,686,0,0,0,0,0,0,0,0,0,0,0,0,1936,1296,1903,1258,141,63,64,17,8,10,6,5,0,0,0,0,0,0
BE_K00164,Saint-Josse,85690,73531,3418,0,3254,866,1310,674,282,227,882,54,45,17,10,0,17366,0,0,995,303,284,438,55,160,288,184,9844,23367,9208,0,0,0
BE_K00165,Saint-Nicolas,87971,79176,3939,0,7553,9080,9565,7976,5188,2955,4012,435,374,82,88,14264,4992,4150,2353,764,224,384,499,25,112,80,82,0,0,0,0,0,0
BE_K00169,Sainte-Ode,5317,4982,514,0,0,0,0,0,0,0,0,0,0,0,0,784,785,1513,1199,91,29,35,11,2,5,7,7,0,0,0,0,0,0
BE_K00168,Saint-Vith,21922,19657,2329,0,0,0,0,0,0,0,0,0,0,0,0,2591,1919,3686,5144,0,0,0,0,0,0,0,0,0,0,0,2321,1542,125
BE_K00170,Schaerbeek,82394,70191,4304,0,2653,1259,922,1092,265,196,1255,95,48,21,23,0,14794,0,0,1317,179,330,846,71,148,309,168,17040,15064,7792,0,0,0
BE_K00171,Seneffe,41968,37797,3102,0,0,0,0,0,0,0,0,0,0,0,0,11604,7199,7538,4314,1901,661,755,350,48,120,84,121,0,0,0,0,0,0
BE_K00172,Seraing,49443,43270,3015,0,0,0,0,0,0,0,0,0,0,0,0,18424,8023,6217,3057,1336,411,655,1601,71,167,98,195,0,0,0,0,0,0
BE_K00173,Sint-Gillis-Waas,27139,25322,1302,0,4160,4481,6106,2172,2731,2084,1830,216,147,39,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00167,Saint-Trond,43086,40231,2693,0,8361,4950,8575,7723,3247,2482,1614,257,212,60,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00174,Soignies,41469,37065,2968,0,0,0,0,0,0,0,0,0,0,0,0,9995,7832,8981,4285,1248,506,584,264,50,144,113,95,0,0,0,0,0,0
BE_K00175,Spa,24191,20952,1976,0,0,0,0,0,0,0,0,0,0,0,0,4212,4848,6115,2149,675,340,371,120,19,41,43,43,0,0,0,0,0,0
BE_K00176,Stavelot,11910,10644,990,0,0,0,0,0,0,0,0,0,0,0,0,1908,2527,2784,1679,266,187,154,69,7,24,30,19,0,0,0,0,0,0
BE_K00177,Tamise,32958,30680,1281,0,5186,5856,6782,3912,3225,1876,2076,228,155,60,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00179,Thuin,26055,23470,1698,0,0,0,0,0,0,0,0,0,0,0,0,5773,4995,6238,2690,824,504,387,151,51,35,37,87,0,0,0,0,0,0
BE_K00180,Tielt,27996,26192,1752,0,4520,2494,8672,2272,2176,2475,1438,167,151,44,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00181,Tirlemont,36510,33622,1881,0,7357,4142,5911,5725,2655,2789,2440,329,262,74,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00182,Tongres,23842,22292,1681,0,5051,2810,4725,3768,1661,1283,895,213,129,39,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00183,Torhout,15937,14919,941,0,2253,1392,4610,2031,1048,1577,856,77,95,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00184,Tournai,50029,43834,4531,0,0,0,0,0,0,0,0,0,0,0,0,12317,9240,10073,4658,1341,466,613,185,32,70,111,197,0,0,0,0,0,0
BE_K00185,Turnhout,59736,55408,2532,0,7642,9354,14415,6856,6377,2872,4359,529,290,93,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00186,Uccle,74248,62133,2744,0,2419,607,551,329,154,162,500,29,13,7,11,0,15839,0,0,966,286,265,442,49,136,350,162,9941,20449,5722,0,0,0
BE_K00080,Héron,5740,5329,370,0,0,0,0,0,0,0,0,0,0,0,0,1213,1372,1431,607,121,59,72,36,16,10,11,11,0,0,0,0,0,0
BE_K00187,Verlaine,7271,6568,373,0,0,0,0,0,0,0,0,0,0,0,0,1781,1710,1519,744,152,79,80,73,9,20,9,19,0,0,0,0,0,0
BE_K00188,Verviers,40777,34602,3215,0,0,0,0,0,0,0,0,0,0,0,0,8732,7251,7284,5141,1286,476,568,307,49,64,100,129,0,0,0,0,0,0
BE_K00070,Furnes,39274,35542,1983,0,7678,3106,7748,4314,3107,4821,2223,182,213,109,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00189,Vielsalm,9118,8289,1030,0,0,0,0,0,0,0,0,0,0,0,0,1576,1910,1562,1732,216,98,61,36,7,12,14,35,0,0,0,0,0,0
BE_K00190,Vilvorde,60397,54518,2443,0,8821,8115,8508,5805,4989,3011,3559,360,202,87,51,2062,2134,2453,1153,265,77,199,104,26,29,40,25,0,0,0,0,0,0
BE_K00191,Virton,16851,15360,1853,0,0,0,0,0,0,0,0,0,0,0,0,3186,3495,3020,2820,414,224,181,66,11,26,26,38,0,0,0,0,0,0
BE_K00192,Visé,17258,15559,993,0,0,0,0,0,0,0,0,0,0,0,0,4529,2962,4153,1956,352,166,153,214,7,26,23,25,0,0,0,0,0,0
BE_K00193,Vleteren,2837,2623,271,0,413,303,765,154,194,361,135,12,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00067,Fourons,2592,1445,134,0,167,183,372,48,364,57,112,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00194,Waarschoot,6310,5812,349,0,1181,669,1536,633,423,515,379,61,38,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00195,Walcourt,13497,12200,1190,0,0,0,0,0,0,0,0,0,0,0,0,3176,2288,2631,1621,579,322,224,92,12,25,21,19,0,0,0,0,0,0
BE_K00196,Waremme,37100,33965,2588,0,0,0,0,0,0,0,0,0,0,0,0,10740,7019,7600,3820,871,338,390,334,50,66,40,109,0,0,0,0,0,0
BE_K00197,Wavre,99023,88326,5237,0,0,0,0,0,0,0,0,0,0,0,0,10622,24330,34011,9531,1537,1158,984,325,53,161,243,134,0,0,0,0,0,0
BE_K00198,Wellin,5133,4609,493,0,0,0,0,0,0,0,0,0,0,0,0,1017,805,1324,743,103,56,38,13,6,6,4,1,0,0,0,0,0,0
BE_K00199,Wervik,13749,12733,1019,0,1610,1629,3320,2179,862,1132,735,103,99,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00200,Westerlo,50311,46717,3135,0,6334,8459,12723,4276,4988,3452,2533,393,221,104,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00201,Wetteren,37177,34995,1844,0,8732,5083,7212,3505,3251,2616,2234,221,188,56,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00203,Zandhoven,71607,65068,2366,0,13258,12715,14055,4454,8459,3445,5200,501,389,130,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00204,Zaventem,66941,59793,2243,0,10995,4889,6483,2729,4946,1920,2966,254,198,49,35,2022,6286,10114,2653,352,144,317,81,16,35,41,25,0,0,0,0,0,0
BE_K00205,Zele,26953,25058,1292,0,6580,3938,5887,2423,2056,1506,1056,128,112,42,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00206,Zomergem,20416,18782,1038,0,4649,2183,4678,1366,1520,1571,1457,131,116,39,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00207,Zonnebeke,9418,8731,627,0,1106,909,2987,1072,652,915,343,39,54,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00208,Zottegem,20183,18659,1033,0,4366,2037,3512,3104,1837,1380,1119,115,102,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00105,Léau,16924,15730,984,0,3315,2179,3747,2234,1126,1351,610,97,51,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
