gisco_id,name,registered,turnout,invalid,blank,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,MI HAZÁNK MOZGALOM,MAGYAR KÉTFARKÚ KUTYA PÁRT,NORMÁLIS ÉLET PÁRTJA,MEGOLDÁS MOZGALOM,ORSZÁGOS LENGYEL ÖNKORMÁNYZAT,ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT,MAGYARORSZÁGI GÖRÖGÖK ORSZÁGOS ÖNKORMÁNYZATA,MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA,ORSZÁGOS HORVÁT ÖNKORMÁNYZAT,BOLGÁR ORSZÁGOS ÖNKORMÁNYZAT,ORSZÁGOS RUSZIN ÖNKORMÁNYZAT,UKRÁN ORSZÁGOS ÖNKORMÁNYZAT,ORSZÁGOS SZLOVÁK ÖNKORMÁNYZAT,SZERB ORSZÁGOS ÖNKORMÁNYZAT,MAGYARORSZÁGI ROMÁNOK ORSZÁGOS ÖNKORMÁNYZATA,ORSZÁGOS SZLOVÉN ÖNKORMÁNYZAT
HU_28592,Pusztaszer,1149,745,5,0,435,225,47,24,2,7,0,0,0,0,0,0,0,0,0,0,0,0
HU_13161,Röszke,2906,1882,20,0,1105,498,187,45,12,15,0,0,0,0,0,0,0,0,0,0,0,0
HU_03966,Ruzsa,1972,1337,19,0,851,262,159,25,9,10,0,0,0,1,0,0,0,0,1,0,0,0
HU_31705,Sándorfalva,6678,4544,33,0,2140,1809,334,155,27,46,0,0,0,0,0,0,0,0,0,0,0,0
HU_12007,Szatymaz,4103,2647,25,0,1359,871,219,119,23,30,0,0,0,0,0,0,0,0,0,1,0,0
HU_33367,Szeged,128696,91204,775,0,35202,43449,5377,4396,700,1203,5,6,0,16,9,0,0,9,9,41,7,0
HU_32489,Szegvár,3448,2499,22,0,1495,653,207,72,26,24,0,0,0,0,0,0,0,0,0,0,0,0
HU_14456,Szentes,22662,16334,119,0,8138,5906,1305,564,119,176,0,0,4,2,0,0,0,0,1,0,0,0
HU_12265,Székkutas,1691,1302,18,0,675,456,110,33,3,7,0,0,0,0,0,0,0,0,0,0,0,0
HU_16966,Tiszasziget,1466,1019,12,0,542,311,82,38,11,23,0,0,0,0,0,0,0,0,0,0,0,0
HU_25900,Tömörkény,1371,850,7,0,558,198,63,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_14924,Újszentiván,1534,1078,3,0,505,389,107,47,10,12,0,0,0,1,0,0,0,0,0,4,0,0
HU_21412,Üllés,2544,1693,18,0,955,488,135,54,24,19,0,0,0,0,0,0,0,0,0,0,0,0
HU_05546,Zákányszék,2252,1538,17,0,1012,304,138,34,12,21,0,0,0,0,0,0,0,0,0,0,0,0
HU_17765,Zsombó,2774,2044,14,0,978,732,205,83,11,17,0,0,0,0,0,0,0,0,0,4,0,0
HU_17376,Aba,3607,2317,17,0,1552,508,147,54,22,17,0,0,0,0,0,0,0,0,0,0,0,0
HU_08925,Adony,3242,2139,13,0,1118,684,161,70,31,35,0,0,1,26,0,0,0,0,0,0,0,0
HU_26824,Alap,1477,938,10,0,655,189,53,18,9,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_15176,Alcsútdoboz,1150,879,6,0,641,151,34,32,4,10,0,0,0,1,0,0,0,0,0,0,0,0
HU_25283,Alsószentiván,468,298,5,0,201,63,21,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_08730,Bakonycsernye,2462,1767,11,0,1085,398,173,47,12,15,0,0,0,1,0,0,0,0,25,0,0,0
HU_23153,Bakonykúti,124,96,0,0,39,44,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_31103,Balinka,743,523,82,0,287,85,32,7,2,6,0,0,0,22,0,0,0,0,0,0,0,0
HU_07047,Baracs,2909,1929,17,0,904,798,123,50,17,19,0,0,0,0,0,0,1,0,0,0,0,0
HU_08581,Baracska,2258,1551,11,0,879,480,98,48,8,26,0,0,0,1,0,0,0,0,0,0,0,0
HU_08466,Beloiannisz,870,605,21,0,330,171,23,16,8,22,0,0,14,0,0,0,0,0,0,0,0,0
HU_16346,Besnyő,1462,993,9,0,569,282,67,35,7,24,0,0,0,0,0,0,0,0,0,0,0,0
HU_10481,Bicske,10908,8234,88,0,4297,2875,442,362,36,81,0,0,1,51,1,0,0,0,0,0,0,0
HU_18254,Bodajk,3129,2299,16,0,1276,650,248,63,23,19,0,0,0,4,0,0,0,0,0,0,0,0
HU_11624,Bodmér,205,166,0,0,88,60,13,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_13152,Cece,2025,1345,15,0,1020,199,75,22,9,5,0,0,0,0,0,0,0,0,0,0,0,0
HU_30544,Csabdi,980,765,9,0,485,159,58,41,4,9,0,0,0,0,0,0,0,0,0,0,0,0
HU_05360,Csákberény,929,727,14,0,481,125,73,25,7,1,0,0,0,1,0,0,0,0,0,0,0,0
HU_20002,Csákvár,4300,3049,48,0,1842,767,236,99,25,26,0,0,0,6,0,0,0,0,0,0,0,0
HU_21908,Csókakő,1219,920,10,0,545,238,71,38,13,4,0,0,0,1,0,0,0,0,0,0,0,0
HU_09779,Csór,1512,1044,13,0,609,263,98,34,11,13,0,0,1,1,0,0,0,1,0,0,0,0
HU_06734,Csősz,785,501,13,0,317,101,43,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_32753,Dég,1678,983,11,0,665,180,92,20,10,5,0,0,0,0,0,0,0,0,0,0,0,0
HU_03115,Dunaújváros,36173,25158,207,0,10169,11974,1498,727,219,312,6,0,2,14,2,0,23,5,0,0,0,0
HU_20358,Előszállás,1841,1164,17,0,718,284,102,27,11,5,0,0,0,0,0,0,0,0,0,0,0,0
HU_02802,Enying,5204,3208,30,0,1929,796,342,64,25,21,0,0,0,0,0,0,0,0,0,1,0,0
HU_23603,Ercsi,6455,4183,52,0,2483,1230,233,118,23,32,0,0,0,1,11,0,0,0,0,0,0,0
HU_02316,Etyek,3415,2599,36,0,1373,895,115,91,11,25,0,0,0,50,0,0,0,0,0,3,0,0
HU_32203,Fehérvárcsurgó,1698,1216,13,0,710,321,114,31,11,14,0,0,0,2,0,0,0,0,0,0,0,0
HU_29939,Felcsút,1440,1165,9,0,816,232,37,41,2,24,0,0,0,4,0,0,0,0,0,0,0,0
HU_06114,Füle,717,522,3,0,308,132,48,25,4,1,0,0,0,1,0,0,0,0,0,0,0,0
HU_15750,Gánt,501,381,1,0,200,95,23,9,1,3,0,0,0,49,0,0,0,0,0,0,0,0
HU_10296,Gárdony,9517,7108,54,0,3359,2820,427,304,41,99,0,0,1,3,0,0,0,0,0,0,0,0
HU_15918,Gyúró,1020,796,5,0,477,227,46,29,4,8,0,0,0,0,0,0,0,0,0,0,0,0
HU_23427,Hantos,726,457,7,0,272,120,29,15,8,6,0,0,0,0,0,0,0,0,0,0,0,0
