gisco_id,name,registered,turnout,invalid,blank,LEHET MÁS A POLITIKA,MSZP,"FIDESZ,KDNP",Jobbik,MDF,"MDF,SZDSZ",Független jelölt,ÖSSZEFOGÁS PÁRT,Független Kisgazdapárt,TORGYÁN-KISGAZDA-KOALÍCIÓ,MUNKÁSPÁRT,CIVILEK,MIÉP,Ind.,MSZDP,MCF ROMA ÖSSZEFOGÁS PÁRT,ZÖLD BALOLDAL,"FIDESZ,KDNP,Vállalkozók Pártja",SOMOGYÉRT,"ÖSSZEFOGÁS MEGYÉNKÉRT,MDF",MESZ
HU_1735,Buzsák,1140,615,1,0,14,191,340,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
HU_0870,Büssü,244,137,2,0,3,14,89,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0379,Csákány,198,88,4,0,0,8,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
HU_2568,Cserénfa,186,130,0,0,5,8,101,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0597,Csokonyavisonta,1253,776,18,0,0,67,427,87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,176,0,0
HU_0804,Csoma,395,243,2,0,11,33,164,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0247,Csombárd,224,162,4,0,0,50,85,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2431,Csököly,798,544,6,0,5,31,441,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2727,Csömend,250,151,4,0,0,33,95,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
HU_2131,Csurgó,4407,2791,36,0,0,433,1824,420,0,0,0,0,0,12,0,0,0,0,0,0,0,0,66,0,0
HU_1060,Csurgónagymarton,147,85,3,0,0,2,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
HU_3135,Darány,734,433,12,0,0,53,195,56,0,0,0,0,0,0,0,0,0,0,2,0,0,0,115,0,0
HU_1361,Drávagárdony,109,66,1,0,0,8,43,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0
HU_1588,Drávatamási,204,125,1,0,0,4,86,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
HU_1086,Ecseny,191,106,0,0,5,17,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0348,Edde,159,94,2,0,3,8,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1398,Felsõmocsolád,385,191,0,0,5,44,124,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3164,Fiad,135,81,0,0,0,22,52,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2202,Fonó,263,155,3,0,12,43,76,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1463,Fonyód,4381,2802,27,0,251,520,1557,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0
HU_2270,Fõnyed,69,38,0,0,0,12,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2826,Gadács,96,65,2,0,0,10,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2622,Gadány,298,147,2,0,0,17,101,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
HU_0645,Gamás,636,304,6,0,8,29,217,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
HU_0658,Gálosfa,264,166,2,0,4,18,124,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0917,Gige,265,173,1,0,7,60,92,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3057,Gölle,808,489,7,0,8,136,281,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1459,Görgeteg,894,548,12,0,0,22,330,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,145,0,0
HU_3096,Gyékényes,841,544,6,0,0,83,350,90,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0
HU_2390,Gyugy,218,121,4,0,4,13,77,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HU_2583,Hajmás,175,106,1,0,7,7,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1863,Hács,310,165,2,0,5,14,116,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
HU_0883,Háromfa,621,359,9,0,0,25,142,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0
HU_1672,Hedrehely,353,200,4,0,5,42,115,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0994,Hencse,300,173,4,0,7,25,122,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2484,Heresznye,219,140,7,0,0,10,75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
HU_0992,Hetes,949,570,6,0,35,98,357,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0621,Hollád,216,106,5,0,2,6,53,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
HU_1915,Homokszentgyörgy,892,417,4,0,0,31,188,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,145,0,0
HU_3077,Hosszúvíz,41,32,0,0,0,10,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
HU_1119,Igal,1011,640,8,0,0,166,382,61,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1961,Iharos,395,188,4,0,0,26,115,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0
HU_2778,Iharosberény,1016,509,2,0,0,67,333,89,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0
HU_2630,Inke,933,431,7,0,0,31,315,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0
HU_2133,Istvándi,384,204,0,0,0,16,129,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
HU_1592,Jákó,524,252,10,0,0,29,142,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0
HU_1727,Juta,1034,710,5,0,80,136,391,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
