gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,JOBBIK,MSZP-EGYÜTT-DK-PM-MLP,LMP,ZÖLDEK PÁRTJA,SEM,KTI,MUNKÁSPÁRT,SZOCIÁLDEMOKRATÁK,FÜGGETLEN KISGAZDAPÁRT,JESZ,EGYÜTT 2014,A HAZA NEM ELADÓ MOZGALOM PÁRT,SERES MÁRIA SZÖVETSÉGESEI,ÖSSZEFOGÁS,ÚDP,MCP,ÚMP
HU_05254,Kuncsorba,542,318,4,0,158,83,63,5,2,0,0,2,0,0,0,0,0,1,0,0,0,0
HU_22567,Kunhegyes,6502,3213,43,0,1535,845,617,75,3,6,8,29,4,8,2,5,15,3,2,0,4,1
HU_23171,Kunmadaras,4204,2206,69,0,1148,686,229,18,2,1,2,20,1,3,3,0,2,2,1,0,19,0
HU_32504,Kunszentmárton,7169,3870,41,0,1576,1065,924,100,11,6,3,37,7,13,2,6,23,16,0,1,3,0
HU_02626,Martfű,5636,3489,12,0,1138,927,1060,160,12,5,9,48,5,10,4,6,55,29,5,0,0,4
HU_30234,Mesterszállás,628,411,3,0,220,109,58,8,2,0,0,3,2,6,0,0,0,0,0,0,0,0
HU_26286,Mezőhék,294,152,2,0,84,27,32,1,0,0,0,3,0,0,1,1,0,1,0,0,0,0
HU_04260,Mezőtúr,14297,8508,92,0,3391,2713,1727,274,25,8,11,94,14,14,14,10,45,34,10,4,1,1
HU_21689,Nagyiván,938,618,6,0,321,109,169,2,3,1,0,4,0,0,0,1,0,1,0,0,1,0
HU_15574,Nagykörű,1355,691,9,0,268,185,147,13,0,1,1,14,2,1,0,1,20,4,0,0,21,3
HU_06318,Nagyrév,553,289,2,0,124,49,89,9,0,1,0,6,1,1,1,0,2,2,2,0,0,0
HU_28006,Öcsöd,2765,1342,21,0,555,492,201,19,2,0,4,25,7,2,0,2,3,3,0,0,4,1
HU_29382,Örményes,882,477,11,0,156,164,129,9,1,0,0,2,1,0,0,0,2,1,0,0,1,0
HU_15246,Pusztamonostor,1324,695,4,0,357,173,117,22,1,1,1,4,1,2,1,2,3,4,1,0,0,1
HU_14207,Rákóczifalva,4530,2730,26,0,1006,863,639,99,8,2,3,27,7,1,5,3,23,17,1,0,0,0
HU_12423,Rákócziújfalu,1618,796,6,0,283,282,169,21,3,0,1,15,2,0,1,1,9,3,0,0,0,0
