gisco_id,id,name_or,level,start_date,end_date,predecessors,parent,names,type
AT_70099,AT_70099,nichtzuordenbare Wahlkarten - Tirol,,,,,AT335,,Postal Vote
AT_70199,AT_70199,Briefwahlkarten - Innsbruck(Stadt),,,,,AT332,,Postal Vote
AT_70299,AT_70299,Briefwahlkarten - Imst,,,,,AT334,,Postal Vote
AT_70399,AT_70399,Briefwahlkarten - Innsbruck-Land,,,,,AT332,,Postal Vote
AT_70499,AT_70499,Briefwahlkarten - Kitzbühel,,,,,AT335,,Postal Vote
AT_70599,AT_70599,Briefwahlkarten - Kufstein,,,,,AT335,,Postal Vote
AT_70699,AT_70699,Briefwahlkarten - Landeck,,,,,AT334,,Postal Vote
AT_70799,AT_70799,Briefwahlkarten - Lienz,,,,,AT333,,Postal Vote
AT_70899,AT_70899,Briefwahlkarten - Reutte,,,,,AT331,,Postal Vote
AT_70999,AT_70999,Briefwahlkarten - Schwaz,,,,,AT335,,Postal Vote
AT_79999,AT_79999,Wahlkarten,,,,,AT335,,Postal Vote
AT_7A099,AT_7A099,Wahlkarten - Innsbruck,,,,,AT335,,Postal Vote
AT_7A999,AT_7A999,Wahlkarten,,,,,AT335,,Postal Vote
AT_7B099,AT_7B099,Wahlkarten - Innsbruck-Land,,,,,AT335,,Postal Vote
AT_7B999,AT_7B999,Wahlkarten,,,,,AT335,,Postal Vote
AT_7C099,AT_7C099,Wahlkarten - Unterland,,,,,AT335,,Postal Vote
AT_7C999,AT_7C999,Wahlkarten,,,,,AT335,,Postal Vote
AT_7D099,AT_7D099,Wahlkarten - Oberland,,,,,AT335,,Postal Vote
AT_7D999,AT_7D999,Wahlkarten,,,,,AT335,,Postal Vote
AT_7E099,AT_7E099,Wahlkarten - Osttirol,,,,,AT335,,Postal Vote
AT_7E999,AT_7E999,Wahlkarten,,,,,AT335,,Postal Vote
AT_80099,AT_80099,nichtzuordenbare Wahlkarten - Vorarlberg,,,,,AT341,,Postal Vote
AT_80199,AT_80199,Briefwahlkarten - Bludenz,,,,,AT341,,Postal Vote
AT_80299,AT_80299,Briefwahlkarten - Bregenz,,,,,AT342,,Postal Vote
AT_80399,AT_80399,Briefwahlkarten - Dornbirn,,,,,AT342,,Postal Vote
AT_80499,AT_80499,Briefwahlkarten - Feldkirch,,,,,AT342,,Postal Vote
AT_89999,AT_89999,Wahlkarten,,,,,AT341,,Postal Vote
AT_8A099,AT_8A099,Wahlkarten - Vorarlberg Nord,,,,,AT341,,Postal Vote
AT_8A999,AT_8A999,Wahlkarten,,,,,AT341,,Postal Vote
AT_8B099,AT_8B099,Wahlkarten - Vorarlberg Süd,,,,,AT341,,Postal Vote
AT_8B999,AT_8B999,Wahlkarten,,,,,AT341,,Postal Vote
AT_90099,AT_90099,Wahlkarten - Wien,,,,,AT130,,Postal Vote
BE_K00001,BE_K00001,Electoral Canton Aarschot,,,,,BE242,,Electoral Constituency
BE_K00002,BE_K00002,Electoral Canton Alost,,,,,BE231,,Electoral Constituency
BE_K00003,BE_K00003,Electoral Canton Andenne,,,,,BE352,,Electoral Constituency
BE_K00004,BE_K00004,Electoral Canton Anderlecht,,,,,BE100,,Electoral Constituency
BE_K00005,BE_K00005,Electoral Canton Antoing,,,,,BE327,,Electoral Constituency
BE_K00006,BE_K00006,Electoral Canton Anvers,,,,,BE211,,Electoral Constituency
BE_K00007,BE_K00007,Electoral Canton Arendonk,,,,,BE213,,Electoral Constituency
BE_K00008,BE_K00008,Electoral Canton Arlon,,,,,BE341,,Electoral Constituency
BE_K00009,BE_K00009,Electoral Canton Asse,,,,,BE241,,Electoral Constituency
BE_K00010,BE_K00010,Electoral Canton Assenede,,,,,BE233,,Electoral Constituency
BE_K00011,BE_K00011,Electoral Canton Ath,,,,,BE321,,Electoral Constituency
BE_K00012,BE_K00012,Electoral Canton Aubel,,,,,BE333,,Electoral Constituency
BE_K00013,BE_K00013,Electoral Canton Audenarde,,,,,BE235,,Electoral Constituency
BE_K00014,BE_K00014,Electoral Canton Avelgem,,,,,BE254,,Electoral Constituency
BE_K00015,BE_K00015,Electoral Canton Aywaille,,,,,BE332,,Electoral Constituency
BE_K00016,BE_K00016,Electoral Canton Bassenge,,,,,BE332,,Electoral Constituency
BE_K00017,BE_K00017,Electoral Canton Bastogne,,,,,BE342,,Electoral Constituency
BE_K00018,BE_K00018,Electoral Canton Beaumont,,,,,BE326,,Electoral Constituency
BE_K00019,BE_K00019,Electoral Canton Beauraing,,,,,BE351,,Electoral Constituency
BE_K00020,BE_K00020,Electoral Canton Beloeil,,,,,BE321,,Electoral Constituency
BE_K00021,BE_K00021,Electoral Canton Beringen,,,,,BE221,,Electoral Constituency
BE_K00022,BE_K00022,Electoral Canton Beveren,,,,,BE236,,Electoral Constituency
BE_K00023,BE_K00023,Electoral Canton Bilzen,,,,,BE223,,Electoral Constituency
BE_K00024,BE_K00024,Electoral Canton Binche,,,,,BE326,,Electoral Constituency
BE_K00025,BE_K00025,Electoral Canton Boom,,,,,BE211,,Electoral Constituency
BE_K00026,BE_K00026,Electoral Canton Bouillon,,,,,BE344,,Electoral Constituency
BE_K00027,BE_K00027,Electoral Canton Boussu,,,,,BE323,,Electoral Constituency
BE_K00028,BE_K00028,Electoral Canton Brakel,,,,,BE235,,Electoral Constituency
BE_K00029,BE_K00029,Electoral Canton Brecht,,,,,BE211,,Electoral Constituency
BE_K00030,BE_K00030,Electoral Canton Bree,,,,,BE222,,Electoral Constituency
BE_K00031,BE_K00031,Electoral Canton Bruges,,,,,BE251,,Electoral Constituency
BE_K00032,BE_K00032,Electoral Canton Bruxelles,,,,,BE100,,Electoral Constituency
BE_K00033,BE_K00033,Electoral Canton Celles,,,,,BE327,,Electoral Constituency
BE_K00034,BE_K00034,Electoral Canton Châtelet,,,,,BE322,,Electoral Constituency
BE_K00035,BE_K00035,Electoral Canton Charleroi,,,,,BE322,,Electoral Constituency
BE_K00036,BE_K00036,Electoral Canton Chièvres,,,,,BE321,,Electoral Constituency
BE_K00037,BE_K00037,Electoral Canton Chimay,,,,,BE326,,Electoral Constituency
BE_K00038,BE_K00038,Electoral Canton Ciney,,,,,BE351,,Electoral Constituency
BE_K00039,BE_K00039,Electoral Canton Comines-Warneton,,,,,BE324,,Electoral Constituency
BE_K00040,BE_K00040,Electoral Canton Courtrai,,,,,BE254,,Electoral Constituency
BE_K00041,BE_K00041,Electoral Canton Couvin,,,,,BE353,,Electoral Constituency
BE_K00042,BE_K00042,Electoral Canton Deinze,,,,,BE234,,Electoral Constituency
BE_K00043,BE_K00043,Electoral Canton Destelbergen,,,,,BE234,,Electoral Constituency
BE_K00044,BE_K00044,Electoral Canton Diest,,,,,BE242,,Electoral Constituency
BE_K00045,BE_K00045,Electoral Canton Dinant,,,,,BE351,,Electoral Constituency
BE_K00046,BE_K00046,Electoral Canton Dison,,,,,BE333,,Electoral Constituency
BE_K00047,BE_K00047,Electoral Canton Dixmude,,,,,BE252,,Electoral Constituency
BE_K00048,BE_K00048,Electoral Canton Dour,,,,,BE323,,Electoral Constituency
BE_K00049,BE_K00049,Electoral Canton Duffel,,,,,BE212,,Electoral Constituency
BE_K00050,BE_K00050,Electoral Canton Durbuy,,,,,BE343,,Electoral Constituency
BE_K00051,BE_K00051,Electoral Canton Eeklo,,,,,BE233,,Electoral Constituency
BE_K00052,BE_K00052,Electoral Canton Eghezée,,,,,BE352,,Electoral Constituency
BE_K00053,BE_K00053,Electoral Canton Enghien,,,,,BE325,,Electoral Constituency
BE_K00054,BE_K00054,Electoral Canton Erezée,,,,,BE343,,Electoral Constituency
BE_K00055,BE_K00055,Electoral Canton Estaimpuis,,,,,BE327,,Electoral Constituency
BE_K00056,BE_K00056,Electoral Canton Etalle,,,,,BE345,,Electoral Constituency
BE_K00057,BE_K00057,Electoral Canton Eupen,,,,,BE333,,Electoral Constituency
BE_K00058,BE_K00058,Electoral Canton Evergem,,,,,BE234,,Electoral Constituency
BE_K00059,BE_K00059,Electoral Canton Fauvillers,,,,,BE342,,Electoral Constituency
BE_K00060,BE_K00060,Electoral Canton Ferrières,,,,,BE331,,Electoral Constituency
BE_K00061,BE_K00061,Electoral Canton Fléron,,,,,BE332,,Electoral Constituency
BE_K00062,BE_K00062,Electoral Canton Flobecq,,,,,BE321,,Electoral Constituency
BE_K00063,BE_K00063,Electoral Canton Florennes,,,,,BE353,,Electoral Constituency
BE_K00064,BE_K00064,Electoral Canton Florenville,,,,,BE345,,Electoral Constituency
BE_K00065,BE_K00065,Electoral Canton Fontaine-l'Evêque,,,,,BE322,,Electoral Constituency
BE_K00066,BE_K00066,Electoral Canton Fosses-la-Ville,,,,,BE352,,Electoral Constituency
BE_K00067,BE_K00067,Electoral Canton Fourons,,,,,BE223,,Electoral Constituency
BE_K00068,BE_K00068,Electoral Canton Frameries,,,,,BE323,,Electoral Constituency
BE_K00069,BE_K00069,Electoral Canton Frasnes-Lez-Anvaing,,,,,BE321,,Electoral Constituency
BE_K00070,BE_K00070,Electoral Canton Furnes,,,,,BE258,,Electoral Constituency
BE_K00071,BE_K00071,Electoral Canton Gand,,,,,BE234,,Electoral Constituency
BE_K00072,BE_K00072,Electoral Canton Gedinne,,,,,BE351,,Electoral Constituency
BE_K00073,BE_K00073,Electoral Canton Gembloux,,,,,BE352,,Electoral Constituency
BE_K00074,BE_K00074,Electoral Canton Genappe,,,,,BE310,,Electoral Constituency
BE_K00075,BE_K00075,Electoral Canton Genk,,,,,BE221,,Electoral Constituency
BE_K00076,BE_K00076,Electoral Canton Gistel,,,,,BE255,,Electoral Constituency
BE_K00077,BE_K00077,Electoral Canton Glabbeek,,,,,BE242,,Electoral Constituency
BE_K00078,BE_K00078,Electoral Canton Grâce-Hollogne,,,,,BE332,,Electoral Constituency
BE_K00079,BE_K00079,Electoral Canton Grammont,,,,,BE231,,Electoral Constituency
BE_K00080,BE_K00080,Electoral Canton Héron,,,,,BE331,,Electoral Constituency
BE_K00081,BE_K00081,Electoral Canton Haacht,,,,,BE242,,Electoral Constituency
BE_K00082,BE_K00082,Electoral Canton Hal,,,,,BE241,,Electoral Constituency
BE_K00083,BE_K00083,Electoral Canton Hamme,,,,,BE232,,Electoral Constituency
BE_K00084,BE_K00084,Electoral Canton Hannut,,,,,BE334,,Electoral Constituency
BE_K00085,BE_K00085,Electoral Canton Harelbeke,,,,,BE254,,Electoral Constituency
BE_K00086,BE_K00086,Electoral Canton Hasselt,,,,,BE221,,Electoral Constituency
BE_K00087,BE_K00087,Electoral Canton Heist-op-den-Berg,,,,,BE212,,Electoral Constituency
BE_K00088,BE_K00088,Electoral Canton Herck-la-Ville,,,,,BE221,,Electoral Constituency
BE_K00089,BE_K00089,Electoral Canton Herentals,,,,,BE213,,Electoral Constituency
BE_K00090,BE_K00090,Electoral Canton Herstal,,,,,BE332,,Electoral Constituency
BE_K00091,BE_K00091,Electoral Canton Herve,,,,,BE333,,Electoral Constituency
BE_K00092,BE_K00092,Electoral Canton Herzele,,,,,BE231,,Electoral Constituency
BE_K00093,BE_K00093,Electoral Canton Hooglede,,,,,BE256,,Electoral Constituency
BE_K00094,BE_K00094,Electoral Canton Hoogstraten,,,,,BE213,,Electoral Constituency
BE_K00095,BE_K00095,Electoral Canton Horebeke,,,,,BE235,,Electoral Constituency
BE_K00096,BE_K00096,Electoral Canton Houffalize,,,,,BE342,,Electoral Constituency
BE_K00097,BE_K00097,Electoral Canton Huy,,,,,BE331,,Electoral Constituency
BE_K00098,BE_K00098,Electoral Canton Ixelles,,,,,BE100,,Electoral Constituency
BE_K00099,BE_K00099,Electoral Canton Izegem,,,,,BE256,,Electoral Constituency
BE_K00100,BE_K00100,Electoral Canton Jodoigne,,,,,BE310,,Electoral Constituency
BE_K00101,BE_K00101,Electoral Canton Kapellen,,,,,BE211,,Electoral Constituency
BE_K00102,BE_K00102,Electoral Canton Kaprijke,,,,,BE233,,Electoral Constituency
BE_K00103,BE_K00103,Electoral Canton Kontich,,,,,BE211,,Electoral Constituency
BE_K00104,BE_K00104,Electoral Canton Kruishoutem,,,,,BE235,,Electoral Constituency
BE_K00105,BE_K00105,Electoral Canton Léau,,,,,BE242,,Electoral Constituency
BE_K00106,BE_K00106,Electoral Canton La Louvière,,,,,BE325,,Electoral Constituency
BE_K00107,BE_K00107,Electoral Canton La Roche-en-Ardenne,,,,,BE343,,Electoral Constituency
BE_K00108,BE_K00108,Electoral Canton Landen,,,,,BE242,,Electoral Constituency
BE_K00109,BE_K00109,Electoral Canton Le Roeulx,,,,,BE325,,Electoral Constituency
BE_K00110,BE_K00110,Electoral Canton Lennik,,,,,BE241,,Electoral Constituency
BE_K00111,BE_K00111,Electoral Canton Lens,,,,,BE323,,Electoral Constituency
BE_K00112,BE_K00112,Electoral Canton Lessines,,,,,BE325,,Electoral Constituency
BE_K00113,BE_K00113,Electoral Canton Leuze-en-Hainaut,,,,,BE327,,Electoral Constituency
BE_K00114,BE_K00114,Electoral Canton Liège,,,,,BE332,,Electoral Constituency
BE_K00115,BE_K00115,Electoral Canton Lichtervelde,,,,,BE256,,Electoral Constituency
BE_K00116,BE_K00116,Electoral Canton Lierre,,,,,BE212,,Electoral Constituency
BE_K00117,BE_K00117,Electoral Canton Limbourg,,,,,BE333,,Electoral Constituency
BE_K00118,BE_K00118,Electoral Canton Lochristi,,,,,BE234,,Electoral Constituency
BE_K00119,BE_K00119,Electoral Canton Lokeren,,,,,BE236,,Electoral Constituency
BE_K00120,BE_K00120,Electoral Canton Looz,,,,,BE223,,Electoral Constituency
BE_K00121,BE_K00121,Electoral Canton Louvain,,,,,BE242,,Electoral Constituency
BE_K00122,BE_K00122,Electoral Canton Maaseik,,,,,BE222,,Electoral Constituency
