gisco_id,name,registered,turnout,invalid,blank,Abeceda,AMD,AM,ASH-DSŽ-SP-SUH,ABH,ABH-JH,A-HSS,DC,GR-MS,HRAST,HČSP,HDZ-HSP-BUZ,HRS,HSLS-HSS,HSP,HDSSB-HDSSD-Zeleni HR,HL,KLGB,NS-NSS,NSH,OS,PS,HB,SDP-HNS-HSU,SRP,HSU,ZNL,ZZ
HR_03409,Podgorac,2450,554,22,0,2,1,14,9,4,6,1,0,1,3,1,118,5,9,12,89,12,5,7,2,6,6,0,211,2,5,0,1
HR_03417,Podstrana,7359,769,27,0,4,4,9,2,1,8,0,5,8,51,21,349,1,6,28,39,20,13,0,5,10,4,2,146,1,1,1,3
HR_03425,Podturen,3457,533,23,0,3,1,7,5,0,3,2,0,23,7,2,105,9,7,4,1,112,4,2,9,2,3,1,185,3,6,0,4
HR_03433,Pojezerje,870,231,9,0,2,1,8,1,2,3,0,1,1,1,1,126,1,17,6,1,4,2,1,1,0,1,8,31,0,0,1,1
HR_03441,Polaca,1680,222,6,0,3,0,3,1,2,1,2,0,1,6,1,109,1,2,3,5,9,4,9,0,2,0,4,42,1,3,0,2
HR_03450,Policnik,4135,644,38,0,11,3,12,4,2,5,3,2,5,22,3,340,3,9,14,2,55,11,2,3,3,5,4,63,1,9,1,9
HR_03468,Popovac,1971,393,27,0,2,0,6,1,6,3,3,6,2,0,3,90,1,7,17,91,5,2,6,1,1,4,2,93,3,10,0,1
HR_03476,Popovaca,9925,2162,141,0,20,11,31,17,21,49,14,9,5,48,20,644,23,136,100,22,178,25,6,13,21,19,17,496,12,34,7,23
HR_03484,Poreč / Parenzo,15929,2892,160,0,14,8,26,24,9,8,5,10,10,32,12,304,1,9,9,11,121,1326,14,2,8,24,10,671,9,33,1,21
HR_03492,Posedarje,3238,555,37,0,4,3,9,2,4,8,2,1,1,11,5,272,2,16,6,3,49,8,3,2,7,3,1,83,3,6,0,4
HR_03506,Postira,1464,294,26,0,3,4,5,2,0,3,1,1,2,17,3,94,1,7,3,1,7,4,1,7,0,3,3,87,1,3,1,4
HR_03514,Pozega,22140,6173,281,0,29,19,59,59,32,33,17,30,11,105,22,2244,36,110,61,493,211,31,17,25,43,45,34,1961,49,70,5,41
HR_03522,Pregrada,5378,957,54,0,3,8,6,5,5,9,3,2,2,15,3,230,5,231,7,3,50,5,2,4,6,9,4,265,6,8,0,7
HR_03549,Preko,4107,1170,67,0,12,11,29,9,16,5,1,4,7,31,8,376,13,19,3,5,112,15,1,2,21,6,5,335,5,37,2,13
HR_03557,Prelog,6408,1078,53,0,5,5,24,11,5,5,1,6,46,41,10,236,9,53,5,1,153,3,1,5,2,8,4,357,1,18,1,9
HR_03565,Preseka,1094,339,28,0,2,1,13,2,1,17,2,10,0,7,0,68,1,53,0,3,16,3,0,3,3,2,3,82,3,9,2,5
HR_03573,Primošten,2626,448,23,0,5,1,8,6,3,3,0,0,3,3,6,130,1,13,9,3,11,8,2,1,5,5,4,178,3,9,0,5
HR_03581,Pucisca,1915,407,26,0,5,6,6,2,3,3,6,0,1,5,3,133,2,4,2,34,32,4,2,2,1,2,0,114,3,2,0,4
HR_03590,Pula / Pola,50912,10491,540,0,60,42,115,106,39,71,21,61,59,113,49,976,33,59,48,26,556,3966,77,27,40,120,71,2741,135,183,11,146
HR_03603,Punat,2000,425,24,0,4,2,5,5,1,5,0,1,2,21,3,72,5,10,4,1,18,20,0,2,4,9,2,174,7,12,1,11
HR_03611,Punitovci,1441,235,8,0,1,0,5,1,1,3,2,7,1,3,2,58,2,6,2,73,8,1,0,5,1,4,0,29,1,10,0,1
HR_03620,Pusca,2137,392,28,0,3,3,11,5,5,7,1,2,3,8,2,57,4,23,3,5,15,10,0,10,4,8,7,145,1,10,2,10
HR_03638,Rab,7176,1514,81,0,13,3,23,9,7,3,3,4,6,27,4,420,4,16,7,9,78,40,0,3,4,10,10,692,8,18,0,12
HR_03646,Radoboj,2721,646,67,0,6,1,7,4,0,7,0,2,2,5,3,239,7,16,2,3,43,2,0,3,1,1,3,209,1,5,2,5
HR_03654,Rakovica,2309,356,22,0,5,4,10,0,0,6,2,0,1,10,3,171,0,15,4,3,10,1,4,0,2,3,3,69,2,1,2,3
HR_03662,Rasinja,2678,513,32,0,3,3,14,4,4,7,5,2,2,9,7,58,8,68,7,4,29,2,5,6,4,1,2,206,5,12,1,3
HR_03689,Raša,2970,612,40,0,2,2,33,9,2,6,0,2,2,3,3,46,2,1,0,0,28,272,1,2,1,5,5,123,4,9,0,9
HR_03697,Ravna Gora,2146,571,41,0,1,6,13,8,4,2,5,6,3,3,4,174,5,10,6,0,36,25,0,4,1,3,3,181,5,18,0,4
HR_03719,Razanac,2845,609,18,0,9,6,11,3,3,9,3,1,6,20,4,321,2,5,5,3,23,2,3,1,2,7,0,129,4,3,0,6
HR_03727,Resetari,3926,675,35,0,5,2,7,4,8,13,2,3,2,11,6,226,5,121,4,67,19,7,1,5,7,5,0,88,1,17,0,4
HR_03735,Rijeka,112261,22096,1052,0,128,90,455,211,155,153,44,100,126,466,106,4003,81,187,182,87,1195,1502,109,42,95,359,90,10300,123,380,21,254
HR_03743,Rovinj / Rovigno,13550,2500,99,0,9,12,28,17,4,19,3,6,10,38,5,196,7,24,7,10,99,1224,12,6,7,31,14,537,12,32,4,28
HR_03751,Rovisce,3907,874,47,0,11,4,6,12,3,10,2,2,0,7,1,475,5,33,44,3,24,6,1,15,6,1,4,140,4,7,0,1
