gisco_id,name,registered,turnout,invalid,blank,Radin,Zennaro,Akšamija,Avdić,Hodžić [Nedžad Hodžić],Prljaskaj,Mešić [Mirza Mešić],Morina,Srebreniković,Sulejmani,A-HSP,BM365-NS-R-NV-HSS-BUZ,HSP-HČSP-ABH-OS,HSP-HKDU-HDS-USP-DESNO,MOST,Pametno-Za grad,DSŽ,HDZ,HDSSB-HKS,HL,Dukić,NLSP-SH-PZ-ORaH,SDP-HNS-HSS-HSU,HSU,ŽZ-PH-AM,B-DH,BDSH,HBPS,HDZ-HSLS,HRS,HB,SMS,SRP,ŽZ-PH-AM-Abeceda,AM,HNS-HSU,HSR,Glasnović,IDS-PGS-RI,SHV,SRNA,DI,Zeleni,MDS,Knapić,ZS-SU,ŽZ-PH-AM-Abeceda-HDSS-MS,Ajduković,Horvat [Mile Horvat],Ljubojević,Milaković,Milošević [Boris Milošević],Pupovac,Radmanović,Jankovics,Juhas,ŽZ-PH-AM-HDSS-Abeceda,NLSP-SH-PZ-ORaH-SHZ-SU,ABUH,Bilek,Komak,HDZ-HDS,HSP1861,NLSP-SH-PZ-ORaH-SU,Ahmedi,Avdagić,Bosak [Robert Bosak],Hasanović,Ismailovski,Kajtazi,Kostić,Memedi [Orhan Memedi]
HR_00566,Cacinci,2462,1249,33,0,0,0,0,0,0,0,0,0,0,0,12,11,7,4,49,5,0,579,53,2,0,1,362,14,0,0,1,0,0,0,0,0,0,98,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,1,1,11,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00574,Čađavica,1678,960,20,0,0,0,0,0,0,0,0,0,0,0,4,16,5,3,25,1,0,566,47,0,0,2,207,7,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,1,6,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00582,Caglin,2037,1131,24,0,0,0,0,0,0,0,0,0,0,0,15,43,2,5,71,3,3,482,88,0,2,5,344,5,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HR_00604,Cakovec,23884,13455,232,0,1,0,2,0,1,14,0,9,0,2,20,245,77,32,783,239,0,1961,0,56,0,48,8396,2,6,24,7,0,4,0,0,0,0,1,0,0,10,0,0,0,0,0,0,122,36,21,810,0,4,0,0,3,4,0,2,1,0,0,0,0,0,1,0,0,1,5,259,0,0,20,0,0
HR_00612,Cavle,6249,2930,76,0,1,0,0,0,1,2,1,0,0,2,12,76,12,7,243,42,16,757,0,4,0,17,1159,14,0,0,0,10,0,9,0,0,0,271,0,0,0,0,188,1,3,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00639,Cazma,6763,3333,64,0,0,0,0,0,0,1,0,0,0,1,22,171,16,24,222,55,0,7,1,16,0,10,1348,21,0,0,0,10,1036,0,0,0,17,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,4,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00647,Ceminac,2568,1438,29,0,0,0,0,0,0,1,0,0,0,0,6,19,14,20,65,2,0,696,144,6,0,3,270,6,0,0,1,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,8,1,10,23,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00655,Cepin,9750,4600,94,0,0,0,0,0,0,0,0,0,0,0,10,145,54,72,479,48,0,1814,285,16,0,16,1164,21,0,0,6,0,0,0,0,0,0,337,0,0,1,0,0,23,0,0,0,0,0,0,0,1,2,0,0,2,4,1,2,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00663,Darda,5850,2467,59,0,0,0,0,0,0,0,5,0,0,4,7,35,8,19,146,20,0,667,148,0,0,8,593,5,0,0,3,0,0,0,0,0,0,187,0,0,0,0,0,2,0,0,0,0,0,0,0,14,153,4,8,117,184,7,74,81,0,0,8,1,0,0,0,0,1,10,17,1,3,145,4,0
HR_00671,Daruvar,10183,5145,98,0,0,0,2,0,0,8,0,0,0,6,15,198,20,13,432,84,0,6,1,8,0,14,1968,24,0,0,0,0,1475,0,0,0,21,2,0,0,6,0,1,0,0,0,0,0,0,0,0,6,21,4,5,26,56,1,11,25,279,0,0,349,15,0,0,0,0,0,0,0,0,2,1,0
HR_00680,Davor,2430,1102,15,0,0,0,0,0,0,0,0,0,0,0,7,14,3,77,122,6,2,534,67,2,2,3,203,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00698,Delnice,5050,2413,58,0,0,0,0,0,0,10,1,0,0,3,6,68,34,4,148,22,9,590,0,4,0,4,903,13,1,0,0,4,2,6,0,0,0,192,0,0,0,0,301,1,8,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0
HR_00701,Desinic,2340,1196,64,0,0,0,0,0,0,0,0,0,0,0,7,49,9,7,65,5,0,435,0,6,0,5,461,1,0,0,2,0,10,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,3,10,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
