gisco_id,name,registered,turnout,invalid,blank,AS,A-HSP,DA,DP,HDZ,HSGO,HSU,Ilčić,L9,JD,MOST-HS-HSP,Možemo!,OIP,HB,PZŽ,PHR,PIP,RF,Republika,Ričard,Skočak,SDP,SIP,UZ-SU-BUZ-DSU,ORaH
HR_04782,Velika Pisanica,1189,237,7,0,3,1,0,36,65,0,1,0,8,0,5,7,2,0,1,0,15,0,0,13,15,53,3,2,0
HR_05657,Velika Trnovitica,977,230,9,0,1,1,1,21,124,0,2,0,0,1,8,1,2,1,0,0,10,1,0,2,7,36,1,1,0
HR_05584,Veliki Bukovec,1083,220,8,0,3,2,0,10,80,0,3,7,8,1,6,3,2,0,1,0,8,0,0,0,10,62,2,3,1
HR_04804,Veliki Grđevac,2019,397,9,0,5,0,1,43,180,1,2,5,11,0,17,2,4,2,2,0,11,2,0,4,11,79,2,3,1
HR_04812,Veliko Trgovisce,3891,621,16,0,4,2,2,39,234,1,13,2,4,1,15,20,5,1,4,0,21,2,2,4,36,189,2,2,0
HR_04839,Veliko Trojstvo,2101,417,9,0,1,0,0,39,132,1,3,3,35,0,9,10,7,1,5,1,16,1,0,5,23,108,1,6,1
HR_04847,Vidovec,4221,647,23,0,2,0,1,17,247,1,12,17,27,2,20,18,4,1,7,0,27,3,1,4,42,161,2,6,2
HR_04855,Viljevo,1475,271,8,0,2,1,0,35,139,1,1,2,9,0,9,1,5,0,0,1,5,0,0,0,12,37,0,3,0
HR_04863,Vinica,2677,520,5,0,6,0,0,16,182,1,7,13,61,2,7,11,6,3,2,0,25,5,0,3,46,115,1,1,2
HR_04871,Vinkovci,27997,6068,122,0,9,12,4,754,2387,3,99,104,137,3,255,162,96,5,23,3,204,20,13,51,234,1308,15,35,10
HR_04880,Vinodolska opcina,3181,540,2,0,1,3,0,22,186,1,1,2,12,0,13,22,10,0,4,0,19,6,2,13,30,185,1,3,2
HR_04898,Vir,3858,793,15,0,2,6,0,76,282,0,6,9,27,0,43,14,16,0,2,0,27,1,3,22,15,215,4,6,2
HR_04901,Virje,3327,513,8,0,6,11,0,32,172,1,3,12,3,2,13,19,9,0,4,0,22,2,1,8,41,135,5,4,0
HR_04910,Virovitica,17507,4041,53,0,13,6,2,212,1860,9,14,29,35,4,153,119,50,3,15,1,115,15,5,18,139,1134,8,21,8
