gisco_id,name,registered,turnout,invalid,blank,A-HSP,Fokus,OIP,SIP,DA,DP,HDZ-HSLS-HDS-HNS,HSP-HB,JD,MOST-HS-HKS,Možemo!,RF,Ričard,SD-IDS-PGS-HL,SDP-Centar-HSS-DOSIP-NS-R-GLAS,SRP,UZ-SU-BUZ,IDS-PGS-UNIJA-ISU-NS-R,SDP-Centar-HSS-DOSIP,Crnogorac,Jeckov,Milaković,Pupovac,Šimpraga,AS,DP-PIP-DHSS,HSGO,MDS,Simunić,NPS,Horvat [Franjo Horvat],Kajtazi,Kralj,Bilek,Komak,AP,NS-R-PGS-IDS-UNIJA,SD-HL,DP-PIP-DHSS-ZL,Hodžić [Armin Hodžić],Prljaskaj,Šoipi,Tabaković,DP-PIP-BLOK,HB,PHR,Rogina,HDZ,Bilo,MOST,Dussich,Radin,HSP,SHZ,Jankovics
HR_00540,Crnac,999,541,17,0,3,0,4,16,0,0,281,6,0,25,5,3,0,3,90,0,11,0,0,1,0,1,0,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00558,Cabar,3068,1626,56,0,3,7,9,9,0,0,512,15,0,116,72,20,0,0,0,0,57,0,614,0,0,0,1,0,0,80,3,0,0,0,0,0,0,0,0,8,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00566,Cacinci,2043,1207,48,0,2,2,9,10,0,0,610,20,0,65,38,10,0,5,223,0,17,0,0,0,1,0,1,1,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HR_00574,Čađavica,1418,889,34,0,0,3,13,16,0,0,444,10,0,25,16,2,0,6,128,0,15,0,0,2,8,1,13,11,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HR_00582,Caglin,1706,1018,23,0,5,1,8,10,0,127,531,3,0,67,19,3,0,3,163,0,21,0,0,2,21,0,24,23,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HR_00604,Cakovec,22644,15264,345,0,21,192,98,98,0,2,2144,121,0,460,1149,64,0,0,5216,0,172,0,5,0,2,1,2,1,0,400,9,133,48,4200,296,49,16,0,0,0,0,0,0,1,11,10,0,0,0,1,0,0,0,0,1,0,0,0,0
HR_00612,Cavle,6167,3739,112,0,8,39,46,43,0,4,1006,23,0,272,424,60,0,0,11,0,118,0,1122,0,0,0,1,3,0,183,15,0,0,0,0,0,0,1,0,30,158,29,1,7,14,0,0,2,0,0,0,0,0,0,1,5,0,0,1
HR_00639,Cazma,6080,3584,103,0,20,48,49,89,0,0,1115,39,0,256,216,38,0,29,1011,0,104,0,0,1,0,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HR_00647,Ceminac,2226,1371,44,0,2,5,7,28,0,0,744,11,0,71,43,6,0,8,168,0,25,0,0,5,2,1,5,3,0,188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9
HR_00655,Cepin,8934,5234,146,0,11,184,64,48,0,0,2204,31,0,626,192,24,0,36,841,0,120,0,0,0,2,0,3,2,0,686,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,4,0,0,0,8,0,0,0,0,0,0,0,0,0
HR_00663,Darda,4564,2632,85,0,10,15,24,31,0,0,853,9,0,119,139,11,0,27,484,0,62,0,0,20,118,17,155,120,0,238,0,0,0,0,2,238,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,72
HR_00671,Daruvar,8620,5491,166,0,11,42,30,51,0,10,1912,19,0,263,404,51,1,31,1487,0,114,0,2,11,20,7,34,31,24,6,0,0,0,0,0,4,0,448,8,0,0,0,327,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0,13
HR_00680,Davor,2228,1249,32,0,6,19,13,12,0,162,665,12,1,119,32,6,0,5,133,0,23,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00698,Delnice,4529,2869,87,0,5,39,27,26,0,1,808,120,0,137,161,18,0,0,12,0,98,0,1027,0,1,1,1,2,0,141,9,0,0,0,0,25,1,0,0,10,58,40,1,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
