gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,ÖVR
SE_1490,Borås,80115,67990,7,688,15679,3312,3513,3465,21131,3874,4572,9716,1492,541
SE_1438,Dals-Ed,3501,2930,2,36,536,398,81,206,850,80,77,587,41,36
SE_1445,Essunga,4300,3731,3,36,895,422,105,159,1135,140,153,590,69,24
SE_1499,Falköping,24417,21293,3,187,4195,1940,707,1279,6820,888,1040,3696,387,151
SE_1439,Färgelanda,5020,4307,0,59,552,586,138,159,1455,144,111,1020,49,34
SE_1444,Grästorp,4487,3896,1,42,908,501,127,160,1181,152,139,608,47,30
SE_1447,Gullspång,4012,3422,0,28,542,268,81,128,1435,179,106,556,63,36
SE_1480,Göteborg,406851,336956,117,2545,79768,12696,24136,15389,79167,31272,32868,32240,21661,5097
SE_1471,Götene,10114,8937,2,110,1669,827,335,550,3173,458,423,1136,182,72
SE_1466,Herrljunga,7237,6339,0,80,1183,796,266,439,1779,269,269,1089,106,63
SE_1497,Hjo,6993,6170,4,73,1404,473,311,388,1877,279,335,883,108,35
SE_1401,Härryda,26163,23369,4,213,6829,1437,1905,1130,5222,1059,1843,2913,601,213
SE_1446,Karlsborg,5501,4874,1,52,827,470,289,278,1689,153,173,854,63,25
SE_1482,Kungälv,32626,29074,7,249,7527,1904,1910,1643,7760,1399,1850,3921,645,259
SE_1441,Lerum,29207,26200,3,244,7105,1549,2050,1461,6121,1309,2196,3123,818,221
SE_1494,Lidköping,30574,26972,6,268,5280,1868,1363,1433,9641,1507,1559,3329,489,229
SE_1462,Lilla Edet,9850,8171,0,95,1245,508,281,246,2849,519,338,1836,172,82
SE_1484,Lysekil,11549,9838,0,92,1754,517,604,412,3451,594,566,1549,240,59
SE_1493,Mariestad,18932,16265,4,196,3524,1032,581,746,5968,843,820,2179,266,106
SE_1463,Mark,25953,22428,5,262,4193,1972,1145,1149,7352,1244,1196,3274,440,196
SE_1461,Mellerud,6952,5773,1,63,1053,719,186,276,1748,209,190,1205,88,35
SE_1430,Munkedal,7946,6644,1,79,1281,640,211,330,2090,362,209,1262,116,63
SE_1481,Mölndal,46911,41066,13,416,10369,2054,3395,2165,10265,2337,3688,4695,1260,409
SE_1421,Orust,12288,10697,5,133,2580,904,627,478,2893,557,571,1604,272,73
SE_1402,Partille,27007,23429,4,183,6346,1047,1863,1253,5778,1422,1857,2698,696,282
SE_1495,Skara,14312,12463,3,128,2643,955,439,521,4249,540,660,1976,242,107
SE_1496,Skövde,41105,35788,17,366,8399,2605,1963,1751,11618,1405,2029,4507,700,428
SE_1427,Sotenäs,7432,6419,1,68,1997,329,421,345,1848,250,235,788,109,28
SE_1415,Stenungsund,18989,16719,3,161,4712,975,1082,726,4562,702,1053,2276,335,132
SE_1486,Strömstad,8627,7022,2,64,1602,663,509,286,1876,319,532,941,182,46
SE_1465,Svenljunga,7932,6717,1,97,1410,755,264,280,2000,215,233,1256,90,116
SE_1435,Tanum,9821,8402,1,116,2310,1108,551,311,1943,329,428,974,263,68
SE_1472,Tibro,8309,7284,2,47,1225,530,338,510,2683,260,320,1214,112,43
SE_1498,Tidaholm,9925,8699,1,95,1307,539,253,360,3764,396,380,1433,107,64
SE_1419,Tjörn,12150,10782,6,103,3080,585,803,1078,2363,372,582,1512,226,72
SE_1452,Tranemo,8820,7649,16,79,1539,994,267,312,2514,242,340,1165,124,57
SE_1488,Trollhättan,42355,36036,13,320,6383,1475,1876,1305,14480,2064,2190,4812,829,289
SE_1473,Töreboda,7072,6013,1,68,1094,719,157,234,2117,242,220,1031,83,47
SE_1485,Uddevalla,41002,35140,9,448,7106,1679,1651,1852,11718,2084,2096,5347,836,314
SE_1491,Ulricehamn,17897,15595,2,132,3547,1931,686,874,4225,693,889,2288,233,95
SE_1470,Vara,12241,10525,2,141,2667,1146,343,422,3074,416,350,1773,117,74
SE_1442,Vårgårda,8372,7431,0,65,1329,877,320,763,2059,316,382,1157,104,59
SE_1487,Vänersborg,28959,25025,10,290,4400,1606,1197,1104,8579,1656,1531,3943,489,220
SE_1492,Åmål,9627,7994,2,97,1314,568,307,281,3085,404,392,1341,152,51
SE_1407,Öckerö,9859,8843,1,117,2636,249,602,1477,1783,346,461,921,197,53
SE_1882,Askersund,8938,7747,3,80,1330,650,238,335,2906,338,317,1355,120,75
SE_1862,Degerfors,7509,6486,3,57,679,268,123,219,3287,520,259,927,97,47
SE_1861,Hallsberg,11773,10393,1,112,1505,635,300,446,4485,519,447,1713,162,68
SE_1863,Hällefors,5373,4433,0,35,568,205,95,92,2078,289,138,790,84,59
SE_1883,Karlskoga,23406,20056,6,173,3713,682,653,719,8878,993,947,2858,256,178
SE_1881,Kumla,15637,13708,16,163,2430,684,675,783,5165,578,672,2198,235,109
SE_1860,Laxå,4425,3799,1,38,518,209,110,203,1649,207,122,679,34,29
SE_1814,Lekeberg,5655,5000,0,61,835,663,155,334,1480,210,210,897,95,60
SE_1885,Lindesberg,17831,15482,0,134,2587,1144,433,568,5670,662,714,3204,225,141
SE_1864,Ljusnarsberg,3795,3175,2,43,385,161,72,68,1314,208,103,743,43,33
SE_1884,Nora,8144,6997,2,71,1132,519,244,268,2734,377,353,1068,146,83
SE_1880,Örebro,107436,93369,49,891,19388,4726,4955,5736,29958,5282,7731,10694,3070,889
SE_0560,Boxholm,4168,3720,0,33,545,305,101,164,1626,158,156,576,33,23
SE_0562,Finspång,16372,14142,3,168,2247,714,461,635,6029,734,642,2146,252,111
SE_0513,Kinda,7658,6741,1,58,1285,698,211,420,2119,306,331,1113,121,78
SE_0580,Linköping,115263,101459,41,1046,24281,6157,6988,5790,29210,4709,8268,11214,2599,1156
SE_0586,Mjölby,20638,17955,5,218,3726,1135,756,846,6685,771,770,2644,258,141
SE_0583,Motala,32910,28633,8,298,5285,1423,1257,1069,11268,1366,1377,4601,400,281
SE_0581,Norrköping,102109,87123,21,844,19995,3856,3912,3937,26680,4706,5963,14045,2317,847
SE_0582,Söderköping,11217,9909,3,80,2555,856,425,494,2651,372,571,1624,182,96
SE_0584,Vadstena,6056,5337,2,58,1332,357,198,305,1752,198,326,657,117,35
SE_0563,Valdemarsvik,6241,5433,0,55,1075,565,149,190,1900,198,177,997,66,61
SE_0512,Ydre,2870,2589,0,23,453,422,88,248,747,83,110,367,36,12
SE_0561,Åtvidaberg,9080,7973,1,100,1446,623,220,300,3129,304,353,1354,96,47
SE_0509,Ödeshög,4082,3569,0,33,652,332,94,354,1113,106,174,615,68,28
