gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,SPI,ÖVR
SE_0192,Nynäshamn,19526,16393,10,212,5665,721,1022,773,4745,867,1171,986,62,130,1,28
SE_0128,Salem,10665,9312,1,96,3558,528,850,496,2086,371,723,477,30,82,1,13
SE_0191,Sigtuna,28023,23023,8,209,8720,1016,1617,1354,6365,875,1432,1145,55,168,1,58
SE_0163,Sollentuna,45035,39400,15,301,16507,2722,3831,2991,6952,1504,2845,1235,133,316,2,46
SE_0184,Solna,51454,43292,16,364,16338,2475,3898,2314,8823,2600,4292,1478,277,324,26,67
SE_0180,Stockholm,634464,539034,199,3948,183421,33895,45939,28244,111688,39565,65351,16950,5001,3723,58,1052
SE_0183,Sundbyberg,28186,23311,6,184,8007,1052,1823,928,5998,1589,2285,1023,130,244,3,39
SE_0181,Södertälje,57745,45920,16,446,13405,1766,2804,2454,15457,2373,3758,2534,149,380,1,377
SE_0138,Tyresö,30179,26287,9,214,10995,1242,2200,1440,5616,1033,2143,1065,86,203,6,35
SE_0160,Täby,46535,41381,6,239,20898,3221,4711,3599,4421,794,2141,958,127,226,0,40
SE_0114,Upplands-Väsby,27767,23106,10,196,8397,918,1890,1265,6225,1184,1610,1104,48,222,7,30
SE_0139,Upplands-Bro,16576,14021,11,116,4870,581,1144,972,3852,621,943,723,47,126,0,15
SE_0115,Vallentuna,21119,18498,7,184,8150,1336,1599,1185,3094,553,1402,725,62,191,2,8
SE_0187,Vaxholm,7968,7144,3,58,3433,602,657,487,877,216,535,188,22,60,0,6
SE_0120,Värmdö,26682,23395,6,237,10630,1348,1767,1253,4085,835,1985,946,128,127,9,39
SE_0117,Österåker,28253,24656,10,253,11092,1407,2232,1522,4352,810,1833,853,95,161,1,35
SE_0484,Eskilstuna,71206,59312,25,699,15352,2713,3903,2579,21003,3186,4623,4646,102,379,2,100
SE_0482,Flen,12122,10271,3,127,2451,831,488,496,3923,561,599,700,17,55,0,20
SE_0461,Gnesta,7840,6684,10,71,1946,588,384,265,1897,374,649,397,35,49,2,17
SE_0483,Katrineholm,24770,20986,6,272,5175,1308,1399,885,7956,955,1566,1299,33,110,0,22
SE_0480,Nyköping,40047,34383,9,375,9479,2035,2376,1837,11688,1618,2787,1805,136,194,2,42
SE_0481,Oxelösund,8857,7526,4,88,1719,211,394,248,3288,577,534,356,27,67,0,13
SE_0486,Strängnäs,24438,20905,5,274,7268,1376,1591,1109,5526,868,1375,1309,59,108,0,37
SE_0488,Trosa,8609,7563,7,69,3092,387,524,402,1758,261,555,432,23,43,0,10
SE_0428,Vingåker,6890,5921,2,78,1407,401,240,274,2424,237,377,426,11,39,0,5
SE_0381,Enköping,30281,25527,9,357,8755,2527,1330,1164,7325,896,1511,1370,65,184,0,34
SE_0331,Heby,10385,8480,3,155,1979,1197,429,460,2818,402,354,578,34,58,1,12
SE_0305,Håbo,14062,12112,7,146,5097,601,860,564,2983,368,653,701,25,101,0,6
SE_0330,Knivsta,10256,9059,2,76,3435,830,856,636,1720,311,664,399,42,85,0,3
SE_0360,Tierp,15616,13114,24,183,2658,1344,588,471,5536,690,606,810,34,85,0,85
SE_0380,Uppsala,149316,129365,30,1276,37802,9681,11716,8248,30744,8158,14291,4916,1077,1239,8,179
SE_0319,Älvkarleby,7030,5960,2,84,1136,189,296,149,2875,401,304,466,12,38,2,6
SE_0382,Östhammar,16819,13978,7,204,3888,1469,803,573,4861,619,610,763,31,80,2,68
SE_1784,Arvika,20359,16722,6,234,3886,1377,902,704,6431,1076,1040,893,58,83,2,30
SE_1730,Eda,5632,4423,2,73,988,534,163,175,1868,202,121,249,5,22,0,21
SE_1782,Filipstad,8380,6925,4,84,1272,258,278,193,3544,558,248,423,5,13,5,40
SE_1763,Forshaga,8716,7529,1,83,1571,444,383,318,3515,399,362,388,4,34,2,25
SE_1764,Grums,7193,5899,2,78,1218,426,224,196,2838,310,215,317,6,32,1,36
SE_1783,Hagfors,10036,8305,0,80,1181,585,333,177,4405,754,215,439,6,23,0,107
SE_1761,Hammarö,11233,9987,1,88,3114,444,746,550,3472,490,578,383,38,56,4,23
SE_1780,Karlstad,67761,58343,18,616,17246,3193,4347,3068,19008,3160,4620,2399,195,346,3,124
SE_1715,Kil,9091,7748,1,97,1987,695,431,390,2907,396,408,359,16,40,4,17
SE_1781,Kristinehamn,19031,16108,5,178,4049,971,966,703,6472,1009,869,712,25,91,5,53
SE_1762,Munkfors,2989,2507,0,23,292,181,147,71,1393,165,65,122,2,11,0,35
SE_1760,Storfors,3291,2778,1,27,495,177,90,108,1397,200,96,156,3,15,2,11
SE_1766,Sunne,10513,8772,2,119,2374,1457,424,384,2818,391,351,353,17,39,0,43
SE_1785,Säffle,12286,10113,1,134,2736,1209,558,593,3350,387,436,635,12,34,0,28
