gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),JL,SD,ÖVR
SE_0780,Växjö,59146,22452,19,652,4040,1828,1832,1424,5284,2952,1184,2978,232,27
SE_0512,Ydre,3053,1217,0,61,139,272,80,154,217,68,75,141,2,8
SE_1286,Ystad,21320,7217,24,217,1845,499,578,195,2075,461,287,880,153,3
SE_1492,Åmål,9859,3002,6,114,352,247,202,182,783,413,143,500,4,56
SE_2260,Ånge,8605,2742,12,45,140,212,63,65,822,384,114,337,31,517
SE_2321,Åre,7419,2864,2,78,304,515,121,115,523,334,237,470,4,161
SE_1765,Årjäng,6911,1966,1,60,278,296,147,150,407,224,89,276,16,22
SE_2463,Åsele,2698,1016,3,17,49,103,33,53,237,394,15,108,4,0
SE_1277,Åstorp,9686,2559,9,105,540,179,131,119,795,194,81,298,95,13
SE_0561,Åtvidaberg,9061,3106,5,158,349,492,141,148,907,310,148,429,6,13
SE_0765,Älmhult,11915,3913,1,115,682,451,214,268,1063,274,198,515,67,65
SE_2039,Älvdalen,6063,1527,2,44,123,126,49,114,407,182,80,363,11,26
SE_0319,Älvkarleby,6903,2454,3,75,179,87,118,47,919,356,121,455,69,25
SE_2560,Älvsbyn,6796,2585,14,27,123,181,52,99,805,870,59,314,7,34
SE_1292,Ängelholm,29600,10164,16,395,3243,627,772,494,1762,727,517,1397,181,33
SE_1407,Öckerö,9108,3493,6,94,584,42,437,660,674,386,181,399,9,21
SE_0509,Ödeshög,4241,1568,1,64,243,292,55,179,320,98,96,212,5,3
SE_1880,Örebro,96314,40426,29,1143,5416,1589,3489,3507,11431,4266,2484,6470,465,137
SE_1257,Örkelljunga,7148,2105,6,87,431,171,125,320,439,107,64,272,63,20
SE_2284,Örnsköldsvik,43139,15164,66,416,1131,1633,708,1268,4843,1954,770,2202,20,153
SE_2380,Östersund,46445,17959,15,397,1827,2443,873,522,4049,2844,1247,3193,21,528
SE_0117,Österåker,25874,9852,5,189,2766,263,1164,500,1748,768,540,1795,56,58
SE_0382,Östhammar,16641,5405,6,148,765,655,294,208,1419,533,267,1066,20,24
SE_1256,Östra Göinge,10585,3190,6,155,492,313,185,194,983,332,163,264,88,15
SE_2513,Överkalix,3202,1076,0,14,45,127,24,25,374,364,15,87,1,0
SE_2518,Övertorneå,3906,1360,3,14,88,548,15,33,250,321,15,62,0,11
