gisco_id,name,registered,turnout,invalid,blank,Smer-SD,KDŽP,ĽSNS,KOREKTÚRA,SNS,SR,OĽaNO,STAN,SP,STS,HĽ,MKDA-MKDSZ,DOPRAVA,KDH,SZ,MH,PD,SRK,SKS,SNJ,SMK-MKP,DOMA DOBRE,KSS-VZDOR,EDS,SaS,SĽS,NAJ,KÚ,PS-Spolu,DS,NK
SK_582425,Dolné Lefantovce,546,124,2,0,40,2,19,0,2,4,3,0,0,0,0,1,1,13,0,0,0,0,0,0,1,0,1,0,17,0,1,4,13,0,0
SK_500194,Dolne Obdokovce,947,121,3,0,10,0,14,0,1,4,6,1,2,0,0,4,0,0,0,9,1,0,0,0,43,0,0,2,10,2,0,3,6,0,0
SK_500232,Golianovo,1415,330,11,0,43,1,38,0,4,15,6,0,0,0,0,0,0,7,3,0,2,0,0,0,0,0,2,0,14,0,1,132,42,3,6
SK_545635,Horne Lefantovce,758,174,0,0,53,2,22,3,5,6,14,0,0,0,1,0,0,16,1,3,2,0,0,0,0,0,2,1,13,3,0,4,21,0,2
SK_555959,Hostova,324,76,4,0,5,0,3,0,0,10,2,0,0,0,0,3,0,0,0,9,0,0,0,0,27,0,0,1,3,0,0,0,9,0,0
SK_500313,Hrubonovo,433,88,1,0,23,4,16,2,3,2,2,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,4,0,0,9,12,0,2
SK_558320,Ivanka pri Nitre,2316,457,11,0,76,1,74,6,26,12,25,0,1,0,0,0,1,62,1,1,1,0,0,0,1,0,2,0,43,0,0,25,83,3,2
SK_500356,Jarok,1673,346,7,0,65,5,51,1,14,11,14,2,0,0,2,0,0,37,5,0,2,0,0,4,0,2,1,0,36,0,0,37,46,0,4
SK_500372,Jelenec,1720,292,8,0,39,2,29,5,2,15,20,1,0,0,0,2,0,23,2,25,2,0,0,1,44,1,1,3,27,2,0,9,29,0,0
SK_500381,Jelsovce,839,127,0,0,13,0,24,0,2,3,9,1,0,0,0,2,0,7,2,3,0,1,1,0,3,1,1,0,18,2,0,14,11,4,5
SK_500399,Kapince,172,30,1,0,10,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0
SK_500402,Klasov,1042,209,3,0,26,1,17,1,6,15,7,0,0,0,2,1,0,14,5,3,0,0,0,1,39,0,1,2,13,0,1,22,29,0,0
SK_500411,Kolinany,1291,214,9,0,15,1,6,0,2,14,17,1,0,0,0,2,0,10,1,17,0,0,0,0,74,0,0,0,8,0,0,1,36,0,0
SK_500453,Lehota,1910,436,5,0,110,4,88,7,27,15,22,1,4,0,0,0,0,23,0,2,1,0,2,0,0,3,2,0,35,0,1,13,65,3,3
