gisco_id,name,registered,turnout,invalid,blank,"NOVA, Konzervatívni demokrati Slovenska, Občianska konzervatívna strana",Kresťanskodemokratické hnutie,SMER - sociálna demokracia,Slovenská ľudová strana,Národ a Spravodlivosť - naša strana,Magnificat Slovakia,DEMOKRATICKÁ OBČIANSKA STRANA,7 STATOČNÝCH REGIONÁLNA STRANA SLOVENSKA,Maďarská kresťanskodemokratická aliancia - Magyar Kereszténydemokrata Szövetség,Strana TIP,Ľudová strana Naše Slovensko,EURÓPSKA DEMOKRATICKÁ STRANA,NOVÝ PARLAMENT,MOST - HÍD,Kresťanská SLOVENSKÁ NÁRODNÁ STRANA,Strana demokratického Slovenska,Strana zelených,VZDOR - strana práce,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,PRÁVO A SPRAVODLIVOSŤ,Sloboda a Solidarita,Strana moderného Slovenska,Komunistická strana Slovenska,ÚSVIT,Strana občianskej ľavice,Slovenská národná strana,Slovenská demokratická a kresťanská únia - Demokratická strana,"PRIAMA DEMOKRACIA, Kresťanská ľudová strana",Strana maďarskej komunity - Magyar Közösség Pártja
SK_521574,Kosicka Bela,810,70,2,0,5,20,16,0,1,0,0,0,0,6,1,1,0,0,0,0,0,1,2,5,2,3,1,0,0,3,0,1,0
SK_521582,Kosicka Polianka,812,61,1,0,4,8,13,0,0,5,0,0,0,2,0,0,0,2,1,0,2,0,4,1,5,2,0,0,2,5,4,0,0
SK_521591,Kosicke Olsany,944,114,3,0,14,32,11,0,2,2,0,1,0,3,2,1,0,1,0,1,0,0,3,0,7,0,1,0,0,18,10,0,2
SK_521604,Kosicky Klecenov,230,59,0,0,4,12,27,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,1,4,0,0
SK_521612,Kralovce,812,105,8,0,1,10,15,2,0,2,0,0,0,1,2,1,0,0,0,2,0,0,13,1,6,0,35,0,1,3,2,0,0
SK_521639,Kysak,1195,142,4,0,16,17,28,0,2,14,2,4,0,6,3,1,0,0,0,1,3,0,13,2,1,2,0,0,0,2,21,0,0
SK_521655,Mala Ida,1125,157,7,0,18,26,23,3,2,2,0,5,0,3,4,0,0,8,0,0,1,0,9,1,14,1,1,0,0,5,21,1,2
SK_521663,Mala Lodina,170,18,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,3,0,1,0,0,1,0,0,0
SK_521671,Medzev,2946,209,8,0,46,12,33,0,3,1,0,1,0,4,18,5,3,15,0,1,1,0,8,0,11,0,8,1,0,9,15,2,4
SK_580252,Milhost,296,21,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,10
SK_521680,Mokrance,1152,130,4,0,8,2,14,0,8,0,0,2,1,4,7,1,0,28,0,0,0,0,4,4,6,0,0,0,0,1,2,0,34
SK_521698,Moldava nad Bodvou,7747,1017,52,0,92,23,79,6,37,5,1,11,3,29,18,5,0,154,4,11,2,0,22,8,29,5,5,0,0,17,21,2,376
SK_521701,Mudrovce,73,30,1,0,3,0,15,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0
SK_518140,Nizna Hutka,479,65,0,0,6,7,14,0,2,0,0,0,0,1,2,0,0,1,0,2,1,3,9,1,3,2,3,0,0,2,4,1,1
SK_521728,Nizna Kamenica,445,55,1,0,2,9,15,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,0,1,16,0,0
