gisco_id,name,registered,turnout,invalid,blank,PATRIOT,MySlovensko,Demokrati,MSZ,SOSK,SOS,S.sk,SNS,Republika,SĽS,SRDCE-SNJ,ĽSNS,ZR,KSS,KÚ,Smer-SD,KDH,SaS,PS,Slovensko-ZĽ,Hlas-SD,Volt,SDKÚ-DS
SK_501956,Trnávka (okres Dunajská Streda),444,148,2,0,1,0,6,52,0,0,0,1,14,0,0,0,0,0,0,24,2,7,30,4,5,0,0
SK_501964,Trstena na Ostrove,517,197,4,0,0,1,1,132,0,0,0,0,7,0,0,0,1,1,0,13,0,1,27,3,5,0,1
SK_501972,Velka Paka,841,272,1,0,0,1,13,28,0,0,0,2,24,0,0,0,3,2,2,36,4,14,129,3,9,1,0
SK_501981,Velke Blahovo,1237,276,5,0,1,0,7,144,0,0,0,1,27,0,0,1,0,0,1,31,1,7,40,3,7,0,0
SK_555673,Velke Dvorniky,1105,271,6,0,0,0,3,120,0,0,0,2,16,0,0,0,0,0,0,54,2,8,52,5,3,0,0
SK_501522,Velky Meder,6872,1552,34,0,5,0,21,770,0,0,0,10,102,0,2,2,4,0,1,278,13,12,234,17,45,1,1
SK_555746,Vieska (okres Dunajská Streda),360,101,2,0,0,0,4,43,0,0,0,0,7,0,0,1,0,0,0,11,0,3,23,4,3,0,0
SK_501999,Vojka nad Dunajom,445,247,3,0,0,0,12,80,1,0,0,0,17,0,0,0,3,0,0,42,2,13,66,4,4,0,0
SK_502006,Vrakun,2364,550,5,0,0,0,11,345,0,0,0,2,20,0,0,1,0,0,0,62,2,7,81,8,5,0,1
SK_502014,Vydrany,1553,304,9,0,1,0,3,131,0,0,0,2,22,0,0,1,1,0,0,51,0,6,52,12,13,0,0
SK_502022,Zlate Klasy,2725,263,6,0,1,0,4,109,0,0,0,0,15,0,0,0,0,0,0,55,1,2,55,13,2,0,0
SK_503673,Abraham,913,386,9,0,1,0,9,2,0,1,1,15,47,0,0,2,5,1,5,115,41,26,74,3,29,0,0
SK_503690,Cierna Voda,1153,315,9,0,2,0,6,181,0,0,0,1,22,0,0,0,1,1,1,38,1,2,34,5,11,0,0
SK_503703,Cierny Brod,1355,309,12,0,1,0,3,162,0,0,0,2,26,0,0,0,0,0,0,34,0,5,38,6,20,0,0
SK_555789,Dolna Streda,1408,467,3,0,1,0,30,2,0,0,0,8,70,0,0,1,5,0,2,120,35,24,130,8,28,0,0
SK_503746,Dolne Saliby,1701,528,7,0,0,0,12,342,0,0,0,3,27,1,0,0,2,0,0,39,2,5,67,10,11,0,0
SK_503754,Dolny Chotar,272,54,1,0,2,0,5,22,0,0,0,0,8,0,1,0,0,0,0,6,0,0,6,2,1,0,0
SK_503665,Galanta,12572,4244,84,0,18,7,197,520,0,1,3,54,442,1,1,11,35,3,14,939,119,200,1275,74,240,4,2
SK_503762,Gan,692,263,10,0,2,0,8,3,0,0,0,2,34,0,0,1,4,1,0,64,35,12,64,6,17,0,0
SK_503771,Horne Saliby,2642,770,20,0,4,0,16,321,0,0,2,17,60,0,0,2,1,0,1,110,3,27,137,9,38,0,2
SK_503789,Hoste,386,160,3,0,0,0,7,1,0,0,0,5,33,0,0,2,2,0,1,44,13,9,31,3,5,0,1
SK_519294,Janovce,1849,470,14,0,3,0,25,19,0,0,0,4,65,0,2,1,3,0,2,98,76,28,97,14,17,2,0
SK_503835,Jelka,3312,728,21,0,2,0,19,254,0,1,1,11,61,0,0,1,8,0,0,109,4,19,185,14,16,1,1
SK_503843,Kajal,1270,312,15,0,1,0,7,76,0,0,0,2,24,0,1,0,0,1,0,56,3,11,87,16,12,0,0
SK_503860,Kosuty,1598,420,5,0,4,0,11,91,0,0,0,10,55,0,0,1,0,0,1,62,6,19,88,6,61,0,0
SK_503878,Kralov Brod,909,222,4,0,0,0,2,150,0,0,0,0,17,0,0,0,0,0,0,9,0,4,27,5,4,0,0
SK_582638,Malá Mača,483,184,6,0,1,0,14,44,0,0,0,1,28,0,0,0,0,0,0,33,1,5,35,3,13,0,0
SK_555754,Matuskovo,1850,665,17,0,3,1,17,246,1,0,0,9,39,0,0,0,6,0,0,105,5,15,162,15,24,0,0
SK_503924,Mostova,1305,326,13,0,3,0,10,150,0,0,0,1,19,0,0,0,1,0,0,47,2,2,70,2,6,0,0
