gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,V,H,FrP,Dem,K,KSP,KP,MDG,Piratpartiet,PP,DLF,SP,NKP,FM,Folkelisten,StA
NO_1224,Kvinnherad,9678,7425,35,44,1685,219,50,695,676,261,2229,1198,6,91,0,3,148,19,19,0,0,2,1,0,0
NO_1227,Jondal,828,685,3,1,183,10,5,160,92,22,99,65,0,15,0,0,26,2,1,0,0,0,0,0,0
NO_1228,Odda,5321,4063,9,21,1638,150,79,254,164,210,815,561,32,10,0,1,62,8,16,0,0,6,6,0,0
NO_1231,Ullensvang,2465,1966,3,6,385,88,15,474,124,166,405,204,4,14,0,4,50,5,10,0,0,2,1,0,0
NO_1232,Eidfjord,719,563,1,2,166,14,5,84,17,25,146,78,1,8,0,1,9,3,1,0,0,0,0,0,0
NO_1233,Ulvik,809,655,2,4,157,45,7,120,29,128,72,63,0,3,0,1,15,3,0,0,0,2,0,0,0
NO_1234,Granvin,705,564,0,0,100,35,4,143,16,77,104,63,0,3,0,0,18,1,0,0,0,0,0,0,0
NO_1235,Voss,10525,8262,19,36,2333,424,92,1374,508,589,1695,846,4,46,0,7,220,14,14,0,0,2,3,0,0
NO_1238,Kvam,6221,5042,18,24,1029,147,28,685,531,269,1283,745,2,66,0,1,160,12,17,0,0,1,0,0,0
NO_1241,Fusa,2776,2270,1,9,401,67,18,350,276,98,586,361,2,22,0,2,57,3,1,0,0,4,3,0,0
NO_1242,Samnanger,1828,1493,0,3,483,24,9,128,136,46,314,255,1,36,0,3,45,2,2,0,0,0,3,0,0
NO_1243,Os (Hord.),12633,10353,12,59,2068,324,52,440,680,572,3440,2206,3,54,0,12,304,41,13,0,0,2,12,0,0
NO_1244,Austevoll,3312,2746,3,8,454,43,6,78,289,72,1019,685,1,30,0,6,32,7,5,0,0,0,0,0,0
NO_1245,Sund,4557,3659,1,14,728,112,16,112,198,117,1386,848,3,26,0,10,48,16,5,0,0,2,3,0,0
NO_1246,Fjell,16277,13029,11,68,2715,282,43,226,1311,448,4669,2672,13,149,0,26,250,42,18,0,0,7,11,0,0
NO_1247,Askøy,18709,15266,19,79,4108,555,132,238,1002,772,4988,2699,21,118,0,8,342,60,24,0,0,9,13,0,0
