gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP.PPM,B.E.,PCP-PEV,MPT,NC,PAN,PNR,PCTP/MRPP,PDR,PTP-MAS,PURP,L/TDA,PPD/PSD.CDS-PP,PPV/CDC,JPP,PPM,CDS-PP,PTP
PT_010124,Recardães e Espinhel,5460,3178,49,119,960,0,0,313,121,8,6,33,22,28,44,11,7,13,1420,6,7,11,0,0
PT_010125,Travassô e Óis da Ribeira,2094,1263,14,55,368,0,0,114,39,4,5,14,7,7,15,5,2,5,601,0,1,7,0,0
PT_010126,"Trofa, Segadães e Lamas do Vouga",4123,2416,31,59,728,0,0,212,145,6,7,8,4,23,24,8,2,10,1132,8,2,7,0,0
PT_010119,Valongo Do Vouga,4361,2353,36,68,712,0,0,232,144,4,4,19,9,31,20,6,7,7,1035,7,1,11,0,0
PT_010209,Albergaria-a-Velha e Valmaior,9598,5043,95,142,1280,0,0,448,202,17,7,54,25,38,46,13,7,17,2627,10,3,12,0,0
PT_010202,Alquerubim,2087,1082,18,19,303,0,0,83,28,4,3,4,4,3,10,3,3,5,587,0,1,4,0,0
PT_010203,Angeja,1926,1098,31,29,318,0,0,92,89,4,4,4,7,15,9,3,1,2,478,4,2,6,0,0
PT_010204,Branca,5038,2827,49,51,604,0,0,203,87,7,5,19,14,28,26,7,2,8,1696,6,5,10,0,0
PT_010206,Ribeira De Fráguas,1575,937,19,31,219,0,0,68,30,1,0,5,4,5,12,2,0,4,529,2,1,5,0,0
PT_010210,São João de Loure e Frossos,2592,1539,27,46,305,0,0,151,54,3,0,11,13,19,14,4,2,2,878,6,2,2,0,0
PT_010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",2767,1547,31,58,261,0,0,105,34,2,1,11,5,8,10,7,1,4,995,3,6,5,0,0
PT_010317,Arcos e Mogofores,5730,3160,39,102,882,0,0,308,163,9,8,27,8,18,32,13,6,9,1516,8,5,7,0,0
PT_010304,Avelãs De Caminho,1184,589,16,27,162,0,0,41,16,0,0,2,1,7,5,2,0,3,303,1,0,3,0,0
PT_010305,Avelãs De Cima,2025,1148,17,27,158,0,0,56,21,5,2,5,2,6,8,2,1,2,828,2,3,3,0,0
