gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
PT_420605,Vila Franca Do Campo (São Pedro),1464,456,5,27,185,131,20,38,6,4,6,11,2,0,0,15,4,2,0,0,0,0,0,0,0
PT_010103,Aguada De Cima,3729,1758,34,54,586,710,71,145,11,17,8,27,1,13,0,38,3,2,3,4,5,15,6,4,1
PT_010121,Águeda e Borralha,12178,6523,103,209,2461,2172,288,601,56,33,42,200,5,59,0,156,30,9,12,11,9,35,13,14,5
PT_010122,Barrô e Aguada de Baixo,2985,1482,21,66,507,584,73,111,15,11,6,25,0,8,0,24,5,4,5,0,2,5,4,5,1
PT_010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",1360,768,11,33,241,318,52,59,6,2,0,11,1,1,0,16,2,1,1,0,1,7,2,1,2
PT_010109,Fermentelos,2840,1593,32,53,251,833,190,119,6,12,3,22,2,18,0,28,5,3,1,2,2,8,2,1,0
PT_010112,Macinhata Do Vouga,3008,1498,26,57,570,446,76,150,16,6,10,48,2,9,0,36,10,5,6,8,9,4,1,2,1
PT_010127,Préstimo e Macieira de Alcoba,793,408,8,10,142,126,44,45,0,2,3,13,0,1,0,5,1,0,1,1,3,0,1,1,1
PT_010124,Recardães e Espinhel,5374,2966,73,113,1165,872,123,315,23,17,15,86,1,14,0,68,21,10,5,3,10,19,4,4,5
PT_010125,Travassô e Óis da Ribeira,2015,1264,20,41,477,402,105,94,14,6,6,23,0,13,0,30,10,2,2,5,3,10,0,1,0
PT_010126,"Trofa, Segadães e Lamas do Vouga",4086,2251,28,68,860,700,139,213,16,17,16,92,0,15,0,37,16,4,4,3,3,12,1,3,4
PT_010119,Valongo Do Vouga,4329,2237,37,88,949,591,91,216,15,10,12,111,1,13,0,51,16,5,2,4,2,9,5,6,3
PT_010209,Albergaria-a-Velha e Valmaior,9703,5026,87,144,1451,1667,557,506,45,27,33,135,4,47,0,186,21,12,16,13,16,33,12,9,5
PT_010202,Alquerubim,2050,1039,30,28,396,317,101,76,15,5,5,11,0,4,0,27,7,2,2,2,0,6,2,1,2
PT_010203,Angeja,1824,993,24,31,386,250,98,95,6,4,2,50,1,2,0,25,7,0,3,2,0,3,1,3,0
PT_010204,Branca,4961,2693,39,61,840,941,353,206,23,12,17,61,3,19,0,57,16,3,5,3,3,17,2,5,7
PT_010206,Ribeira De Fráguas,1473,881,18,31,252,264,157,71,7,3,5,22,1,7,0,17,4,3,4,0,3,10,1,1,0
PT_010210,São João de Loure e Frossos,2532,1464,31,42,423,511,175,143,13,3,7,26,0,13,0,32,6,2,5,3,4,18,3,3,1
