gisco_id,name,registered,turnout,invalid,blank,PPD/PSD ,PS ,CDS-PP ,PCP-PEV ,P.H. ,B.E. ,PCTP/MRPP ,PPM ,MPT ,POUS ,PNR ,B.E.-UDP 
PT_121101,Assumar,505,322,3,2,67,114,10,103,0,8,15,0,0,0,0,0
PT_121102,Monforte,1150,764,6,4,220,341,61,95,3,19,11,2,2,0,0,0
PT_121103,Santo Aleixo,760,438,5,5,73,252,36,56,1,6,3,0,1,0,0,0
PT_121104,Vaiamonte,568,402,2,1,75,183,42,81,0,7,10,1,0,0,0,0
PT_121201,Alpalhão,1402,781,9,5,364,273,48,53,1,11,12,3,2,0,0,0
PT_121202,Amieira Do Tejo,340,231,3,0,43,115,15,49,1,0,4,1,0,0,0,0
PT_121203,Arez,333,199,3,1,55,113,12,10,1,1,1,1,1,0,0,0
PT_121204,Espírito Santo,1910,1215,11,12,462,459,103,118,2,24,18,4,2,0,0,0
PT_121205,Montalvão,608,375,7,4,99,154,12,81,2,1,13,1,1,0,0,0
PT_121206,Nossa Senhora Da Graça,1176,742,11,7,234,298,73,91,2,11,9,3,3,0,0,0
PT_121207,Santana,518,370,7,0,36,229,10,71,2,8,5,2,0,0,0,0
PT_121208,São Matias,479,303,3,2,92,147,15,31,0,4,7,1,1,0,0,0
PT_121209,São Simão,195,136,5,0,36,58,4,28,1,1,2,1,0,0,0,0
PT_121210,Tolosa,1009,672,7,6,217,316,56,60,4,0,3,1,2,0,0,0
PT_121304,Foros De Arrão,1013,609,9,3,61,273,24,221,1,6,10,1,0,0,0,0
PT_121301,Galveias,1312,736,9,7,260,227,30,171,0,13,14,4,1,0,0,0
PT_121305,Longomel,1251,768,7,5,109,406,31,169,4,9,21,6,1,0,0,0
PT_121302,Montargil,2448,1569,9,14,368,404,67,650,3,16,28,4,6,0,0,0
PT_121303,Ponte De Sor,7122,4270,31,40,1348,1914,300,484,10,85,33,20,5,0,0,0
PT_121307,Tramaga,1505,919,13,8,119,522,41,175,4,12,17,2,6,0,0,0
PT_121306,Vale De Açor,824,525,4,1,148,185,18,150,2,4,10,3,0,0,0,0
PT_121401,Alagoa,608,372,3,5,168,142,43,2,0,6,2,0,1,0,0,0
PT_121402,Alegrete,1871,1216,6,9,530,574,51,28,3,4,5,5,1,0,0,0
PT_121403,Carreiras,573,375,5,7,188,137,24,5,2,3,1,0,3,0,0,0
PT_121404,Fortios,1566,982,6,14,296,446,74,115,2,17,8,1,3,0,0,0
PT_121405,Reguengo,665,442,4,11,201,170,29,11,2,4,5,1,4,0,0,0
PT_121406,Ribeira De Nisa,1142,737,3,7,282,376,39,12,3,9,4,1,1,0,0,0
PT_121407,São Julião,524,331,4,4,206,87,20,6,2,1,0,0,1,0,0,0
PT_121408,São Lourenço,5366,3546,28,31,1612,1314,275,164,3,89,13,8,9,0,0,0
PT_121409,Sé,8086,4967,27,70,1587,2428,355,321,7,132,25,7,8,0,0,0
PT_121410,Urra,1824,1206,4,8,376,654,61,70,2,11,9,8,3,0,0,0
PT_121501,Cano,1342,876,11,10,284,392,52,103,0,7,13,2,2,0,0,0
PT_121502,Casa Branca,1257,808,11,12,214,311,40,190,1,12,12,3,2,0,0,0
PT_121503,Santo Amaro,641,443,7,3,158,201,13,51,1,4,4,0,1,0,0,0
PT_121504,Sousel,1784,1219,14,19,534,353,69,203,0,6,13,5,3,0,0,0
PT_130133,Amarante (São Gonçalo),4672,3048,16,39,1071,1466,161,129,5,144,10,0,2,0,5,0
PT_130101,Aboadela,676,419,5,2,292,62,43,4,1,6,2,0,1,0,1,0
PT_130102,Aboim,615,404,8,5,235,91,49,3,3,5,4,0,0,0,1,0
PT_130103,Ansiães,781,343,7,0,143,131,24,25,3,5,2,0,0,0,3,0
PT_130104,Ataíde,894,588,9,3,294,227,33,10,0,10,1,0,0,0,1,0
PT_130105,Bustelo,534,298,7,1,183,81,21,1,1,1,2,0,0,0,0,0
PT_130106,Canadelo,257,130,6,1,53,50,15,1,0,2,1,0,0,0,1,0
PT_130107,Candemil,899,393,15,5,163,161,25,7,2,6,8,0,0,0,1,0
PT_130108,Carneiro,300,202,8,0,133,46,12,1,2,0,0,0,0,0,0,0
PT_130109,Carvalho De Rei,221,120,1,1,73,27,12,2,1,0,2,0,0,0,1,0
PT_130110,Cepelos,1236,892,6,7,313,450,34,34,2,35,7,0,3,0,1,0
PT_130111,Chapa,291,137,4,2,71,45,12,2,0,1,0,0,0,0,0,0
PT_130132,Figueiró (Santiago),2308,1510,19,6,908,465,63,28,0,15,3,0,1,0,2,0
PT_130131,Figueiró (Santa Cristina),1177,656,10,2,393,157,56,20,4,5,6,0,3,0,0,0
PT_130112,Fregim,1888,1107,12,5,436,545,68,20,1,11,6,0,1,0,2,0
PT_130113,Freixo De Baixo,1160,693,6,4,312,300,46,6,0,9,4,0,3,0,3,0
PT_130114,Freixo De Cima,1567,1050,12,4,642,303,56,13,2,15,2,0,0,0,1,0
PT_130115,Fridão,764,486,2,7,176,244,33,7,3,9,3,0,1,0,1,0
PT_130116,Gatão,1261,851,16,4,299,451,49,15,1,13,1,0,2,0,0,0
