gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,SZDSZ,MCF ROMA Ö.,MUNKÁSPÁRT,MSZP,JOBBIK,LMP-HP,MDF
HU_2476,Ugod,1192,372,1,0,233,3,1,3,21,94,0,16
HU_2301,Ukk,287,83,1,0,43,1,2,1,14,18,1,2
HU_3421,Uzsa,308,108,1,0,43,0,0,0,49,10,2,3
HU_2085,Úrkút,1754,423,3,0,284,3,0,0,40,75,3,15
HU_2177,Vanyola,459,170,1,0,135,3,0,1,15,11,2,2
HU_2664,Vaszar,1320,430,5,0,313,5,1,0,23,66,3,14
HU_2620,Várkeszõ,167,57,0,0,42,0,0,1,8,4,1,1
HU_0706,Városlõd,1160,323,1,0,184,5,8,0,35,60,5,25
HU_1143,Várpalota,17293,5318,55,0,2756,104,3,79,1109,778,115,319
HU_1665,Vászoly,197,107,2,0,88,0,0,2,5,4,2,4
HU_1176,Veszprém,47658,19946,136,0,10874,428,20,156,3851,2378,746,1357
HU_2143,Veszprémfajsz,216,120,2,0,76,0,0,3,10,22,0,7
HU_1933,Veszprémgalsa,224,95,1,0,76,0,0,2,7,8,1,0
HU_0950,Vid,108,27,2,0,17,0,0,1,4,1,0,2
HU_0973,Vigántpetend,172,67,0,0,38,2,0,1,4,19,2,1
HU_1570,Vilonya,515,104,1,0,50,1,0,1,24,23,1,3
HU_2465,Vinár,197,85,0,0,61,0,0,2,10,7,0,5
HU_1170,Vöröstó,86,35,0,0,18,1,0,1,6,7,0,2
HU_2999,Zalaerdõd,269,67,1,0,53,0,0,0,7,2,1,3
HU_2720,Zalagyömörõ,387,125,3,0,77,0,0,0,10,31,0,4
HU_1265,Zalahaláp,1004,274,2,0,162,0,0,1,49,31,8,21
HU_3303,Zalameggyes,38,23,1,0,18,1,0,0,0,0,0,3
HU_2359,Zalaszegvár,118,58,2,0,37,1,0,2,6,6,0,4
HU_2082,Zánka,827,390,2,0,216,9,14,4,55,50,10,30
HU_2649,Zirc,5853,2130,11,0,1378,31,1,17,327,202,50,113
HU_0264,Alibánfa,374,100,2,0,50,2,1,3,17,5,1,19
HU_2338,Almásháza,49,34,0,0,22,0,0,0,2,2,8,0
HU_1951,Alsónemesapáti,609,207,2,0,127,2,2,3,17,33,6,15
HU_3208,Alsópáhok,1107,446,2,0,295,7,1,1,52,52,8,28
HU_1882,Alsórajk,322,87,6,0,66,0,0,0,10,3,0,2
HU_0876,Alsószenterzsébet,68,39,0,0,21,0,0,1,11,5,0,1
HU_2126,Babosdöbréte,429,139,2,0,93,1,0,1,14,14,3,11
HU_1105,Baglad,52,19,0,0,15,0,0,0,2,1,1,0
HU_3036,Bagod,1064,330,2,0,235,1,0,3,34,43,5,7
