gisco_id,name,registered,turnout,invalid,blank,ΠA.ΣO.K,K.K.E.,ΣYN,ΛΑ.Ο.Σ.,Γυν.Ευρ.,Οικ.Πρασ.,Εν.Κεντρ.,Βεργής,Ελλ.Μετ.,ΜΕΡ.Α.,Δ.Π.Ε.,Αντ.Συμμ.,Πατ.Συμ.,M-Λ KKE,ΔΗΣΟΚ,ΑΣΚΕ,Οραμα,Ευρ.Συμπ,ΟΑΚΚΕ,Ουρ.Τόξο,Οικ.Εναλ.,Χριστ.,N.Δ.
EL_260105,Μεγάλων Καλυβίων,3777,2583,34,0,826,312,48,55,12,12,11,14,8,9,7,4,9,15,11,13,7,2,1,5,0,0,0
EL_260206,Μαλακασίου,3611,1743,22,0,652,138,35,43,7,9,10,11,4,3,5,5,7,9,10,14,2,1,1,4,0,0,0
EL_260106,Παληοκάστρου,4470,2989,44,0,0,695,76,78,9,10,10,17,10,3,25,8,8,10,5,8,2,5,3,2,0,0,891
EL_260107,Παραληθαίων,4756,3059,52,0,0,427,89,53,9,10,11,16,6,12,11,18,2,16,7,6,5,1,3,0,0,0,1109
EL_260403,Πελλιναίων,3872,2737,44,0,1086,264,63,65,17,9,6,13,18,1,2,4,3,9,8,7,7,3,1,2,0,0,0
EL_260306,Πιαλείων,5007,3228,121,0,1044,257,78,138,17,17,6,10,10,5,9,5,2,13,10,10,6,2,9,2,0,0,0
EL_260307,Πινδέων,3669,2200,35,0,622,109,43,78,10,6,2,6,5,0,3,4,5,5,6,4,2,0,1,2,0,0,0
EL_260301,Πύλης,5499,3444,63,0,988,184,112,102,15,9,18,14,27,4,8,4,2,15,7,11,4,0,2,2,0,0,0
EL_260101,Τρικκαίων,35498,24834,598,0,7889,3023,981,839,202,169,112,114,85,46,61,130,59,120,75,43,19,22,20,18,0,0,0
EL_260207,Τυμφαίων,4242,2365,40,0,0,385,42,44,16,4,6,8,4,3,6,4,9,11,3,4,0,3,11,1,0,0,874
