gisco_id,name,registered,turnout,invalid,blank,Arbeiderpartiet,Sosialistisk Venstreparti,Rødt,Senterpartiet,Kristelig Folkeparti,Venstre,Høyre,Fremskrittspartiet,AML,Demokratene i Norge,Kristent Samlingsparti,Kystpartiet,Miljøpartiet De Grønne,Pensjonistpartiet,ES,Det Liberale Folkepartiet,Norges Kommunistiske Parti,NRA,SAMT,Samfunnspartiet,VIGRID,NPAT,SALL,TPF
NO_0711,Svelvik,4771,3540,0,0,1286,127,12,103,97,69,666,1138,0,0,6,8,7,12,0,0,0,0,0,0,0,9,0,0
NO_0713,Sande (Vestf.),5978,4656,0,0,1766,219,12,300,135,125,747,1310,0,3,4,7,9,12,0,0,0,0,0,0,0,7,0,0
NO_0714,Hof,2268,1765,0,0,636,100,13,223,56,47,271,401,0,2,3,1,5,7,0,0,0,0,0,0,0,0,0,0
NO_0716,Re,6281,4893,0,0,1365,245,14,712,398,124,710,1259,0,11,18,7,10,8,0,0,0,0,0,0,0,12,0,0
NO_0719,Andebu,3856,2877,0,0,902,160,13,221,181,92,484,760,0,8,9,19,15,7,0,0,0,0,0,0,0,6,0,0
NO_0720,Stokke,7809,6054,0,0,1924,407,34,315,414,204,1089,1580,0,6,29,5,21,18,0,0,0,0,0,0,0,8,0,0
NO_0722,Nøtterøy,15411,12141,0,0,3625,915,121,149,487,443,3003,3229,0,7,18,10,74,47,0,0,0,0,0,0,0,13,0,0
NO_0723,Tjøme,3559,2777,0,0,832,233,20,40,68,109,568,877,0,0,3,7,10,9,0,0,0,0,0,0,0,1,0,0
NO_0728,Lardal,1841,1441,0,0,601,54,6,196,67,38,177,290,0,1,4,1,1,4,0,0,0,0,0,0,0,1,0,0
NO_0805,Porsgrunn,26108,19605,0,0,8527,1055,222,326,946,514,3090,4714,0,19,39,12,56,85,0,0,0,0,0,0,0,0,0,0
NO_0806,Skien,38642,28267,0,0,11794,1532,251,692,2036,680,4023,6963,0,27,77,18,61,113,0,0,0,0,0,0,0,0,0,0
NO_0807,Notodden,9501,6975,0,0,3193,334,258,354,554,132,734,1330,0,5,27,5,25,24,0,0,0,0,0,0,0,0,0,0
NO_0811,Siljan,1774,1390,0,0,604,71,6,99,100,50,145,292,0,0,10,2,4,7,0,0,0,0,0,0,0,0,0,0
NO_0814,Bamble,10611,8112,0,0,3209,278,75,209,491,168,1157,2463,0,7,15,9,13,18,0,0,0,0,0,0,0,0,0,0
NO_0815,Kragerø,8125,6160,0,0,2631,380,122,179,399,215,828,1334,0,1,24,5,19,23,0,0,0,0,0,0,0,0,0,0
NO_0817,Drangedal,3163,2359,0,0,1058,88,17,260,203,72,204,440,0,0,10,1,3,3,0,0,0,0,0,0,0,0,0,0
NO_0819,Nome,5005,3726,0,0,1496,165,31,446,208,71,439,841,0,2,6,1,12,8,0,0,0,0,0,0,0,0,0,0
NO_0821,Bø (Telem.),4064,3060,0,0,1093,261,29,373,229,118,331,593,0,2,7,0,14,10,0,0,0,0,0,0,0,0,0,0
NO_0822,Sauherad,3243,2395,0,0,895,144,34,316,161,80,265,484,0,0,2,1,7,6,0,0,0,0,0,0,0,0,0,0
NO_0826,Tinn,4611,3363,0,0,1525,225,18,327,95,64,384,682,0,1,5,2,9,26,0,0,0,0,0,0,0,0,0,0
NO_0827,Hjartdal,1268,940,0,0,368,29,8,167,108,27,63,161,0,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0
NO_0828,Seljord,2273,1645,0,0,544,97,19,217,148,52,216,340,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0
NO_0829,Kviteseid,1961,1393,0,0,485,60,17,243,168,43,136,229,0,1,2,3,2,4,0,0,0,0,0,0,0,0,0,0
