gisco_id,name,registered,turnout,invalid,blank,MSZP,Jobbik,LMP,MDF,FIDESZ-KDNP,CM,ÖP,MSZDP,MP,MIÉP
HU_1462,Zákány,973,655,6,0,129,85,23,0,412,0,0,0,0,0
HU_3305,Zics,303,176,1,0,23,13,7,0,132,0,0,0,0,0
HU_2761,Zimány,485,310,2,0,87,47,7,0,167,0,0,0,0,0
HU_2684,Zselickisfalud,209,144,4,0,26,25,7,0,82,0,0,0,0,0
HU_2411,Zselickislak,278,162,2,0,18,25,10,0,107,0,0,0,0,0
HU_1749,Zselicszentpál,345,231,1,0,33,46,22,0,129,0,0,0,0,0
HU_3440,Zákányfalu,476,260,4,0,32,36,11,0,177,0,0,0,0,0
HU_0877,Ajak,3122,2042,13,0,247,373,32,37,1300,34,0,1,5,0
HU_2997,Anarcs,1560,881,8,0,98,280,11,19,437,18,0,2,8,0
HU_2030,Apagy,1847,979,6,0,159,270,21,20,469,24,0,8,2,0
HU_0935,Aranyosapáti,1379,749,3,0,36,196,4,8,494,2,0,6,0,0
HU_0232,Baktalórántháza,2729,2258,14,0,216,211,28,25,1737,20,0,4,3,0
HU_2695,Balkány,5115,2964,46,0,400,584,51,41,1786,42,0,7,7,0
HU_1596,Balsa,692,436,1,0,62,134,9,11,209,7,0,0,3,0
HU_2648,Barabás,622,421,3,0,60,46,10,2,285,6,0,8,1,0
HU_0299,Bátorliget,566,338,7,0,39,68,3,10,209,2,0,0,0,0
HU_2544,Benk,355,252,3,0,29,95,2,6,111,2,0,4,0,0
HU_2824,Beregdaróc,611,436,7,0,23,45,5,0,340,2,0,14,0,0
HU_2067,Beregsurány,439,325,3,0,33,29,3,3,249,2,0,3,0,0
HU_0747,Berkesz,652,387,1,0,70,90,11,1,210,3,0,1,0,0
HU_1363,Besenyõd,452,225,2,0,25,68,4,6,109,8,0,0,3,0
HU_2122,Beszterec,810,425,3,0,57,77,2,3,278,3,0,0,2,0
HU_0294,Biri,1130,672,4,0,111,164,9,12,362,7,0,1,2,0
HU_2223,Botpalád,434,308,0,0,53,44,1,2,208,0,0,0,0,0
HU_1129,Bököny,2486,1324,13,0,91,258,15,30,906,1,0,4,6,0
HU_1970,Buj,1857,1081,10,0,110,340,18,12,566,19,0,1,5,0
HU_0968,Cégénydányád,543,362,5,0,49,61,11,2,229,2,0,2,1,0
HU_1292,Csaholc,373,246,1,0,40,35,0,5,158,3,0,3,1,0
HU_2941,Csaroda,469,335,2,0,27,52,2,4,246,2,0,0,0,0
HU_0971,Császló,289,196,0,0,54,22,1,0,117,0,0,1,1,0
HU_2610,Csegöld,521,390,3,0,34,59,2,1,288,1,0,0,2,0
HU_3064,Csenger,3944,2367,19,0,445,422,62,31,1356,12,0,9,11,0
HU_2409,Csengersima,530,366,4,0,42,65,14,2,235,3,0,1,0,0
HU_2685,Csengerújfalu,612,416,1,0,36,38,4,1,334,2,0,0,0,0
HU_1879,Darnó,119,67,1,0,2,18,0,0,46,0,0,0,0,0
HU_1775,Demecser,3347,2167,18,0,353,478,51,16,1214,25,0,6,6,0
HU_1450,Dombrád,2941,1664,5,0,149,642,23,16,808,12,0,4,5,0
HU_0364,Döge,1626,893,6,0,68,296,16,9,480,14,0,1,3,0
HU_3232,Encsencs,1386,880,11,0,56,272,5,1,533,2,0,0,0,0
HU_1852,Eperjeske,880,508,3,0,57,127,7,5,303,3,0,2,1,0
HU_1085,Érpatak,1299,600,13,0,93,145,6,10,323,4,0,1,5,0
HU_2325,Fábiánháza,1444,833,8,0,50,145,18,7,601,3,0,0,1,0
HU_1897,Fehérgyarmat,6564,4575,19,0,743,698,102,47,2878,53,0,19,16,0
HU_2241,Fényeslitke,1904,1285,1,0,131,329,24,43,734,21,0,0,2,0
HU_1079,Fülesd,365,270,1,0,34,45,41,1,147,0,0,0,1,0
HU_1437,Fülpösdaróc,247,167,0,0,23,40,2,1,98,1,0,0,2,0
HU_1372,Gacsály,570,376,6,0,56,37,4,0,273,0,0,0,0,0
HU_0499,Garbolc,99,85,1,0,5,9,0,0,68,1,0,0,1,0
HU_0580,Gávavencsellõ,2915,1940,5,0,176,579,29,16,1104,21,0,6,4,0
HU_0461,Gelénes,462,344,5,0,21,46,4,1,260,6,0,1,0,0
HU_1300,Gemzse,595,344,0,0,28,82,0,1,226,1,0,5,1,0
HU_2889,Geszteréd,1468,906,9,0,75,125,29,31,629,5,0,2,1,0
HU_0362,Géberjén,442,333,1,0,38,63,1,2,226,1,0,0,1,0
HU_0567,Gégény,1536,902,10,0,102,161,16,21,572,18,0,1,1,0
HU_2944,Gulács,689,419,4,0,43,70,9,2,279,7,0,5,0,0
HU_2894,Gyõröcske,95,47,0,0,1,14,1,0,27,4,0,0,0,0
HU_1012,Gyõrtelek,1186,627,9,0,167,131,10,4,287,7,0,6,6,0
HU_0767,Gyulaháza,1545,863,3,0,135,179,12,8,517,6,0,1,2,0
HU_1955,Gyügye,219,155,1,0,21,30,2,1,99,1,0,0,0,0
HU_3377,Gyüre,926,640,0,0,55,104,11,5,453,8,0,4,0,0
HU_1206,Hermánszeg,219,149,2,0,29,13,0,3,101,0,0,1,0,0
HU_0561,Hetefejércse,243,152,2,0,12,25,0,0,112,0,0,1,0,0
HU_1301,Hodász,2365,1435,19,0,242,197,6,5,955,8,0,2,1,0
HU_2563,Ibrány,5216,3283,15,0,726,766,80,47,1580,46,0,19,4,0
HU_0965,Ilk,922,483,4,0,31,96,6,1,336,2,0,7,0,0
HU_1707,Jánd,627,409,6,0,36,95,4,4,260,2,0,2,0,0
HU_0784,Jánkmajtis,1311,769,3,0,95,157,19,17,455,14,0,4,5,0
HU_1758,Jármi,1034,647,2,0,88,180,6,9,345,15,0,1,1,0
HU_1314,Jéke,571,327,4,0,20,103,7,9,168,7,0,7,2,0
HU_3140,Kállósemjén,3070,1823,29,0,141,457,24,73,1074,20,0,3,2,0
HU_2722,Kálmánháza,1561,987,5,0,87,247,21,6,591,23,0,6,1,0
HU_0267,Kántorjánosi,1601,940,11,0,55,146,3,0,715,8,0,2,0,0
HU_1999,Kemecse,3768,2718,33,0,288,539,63,23,1712,52,0,2,6,0
HU_2843,Kék,1494,864,20,0,107,226,10,8,478,12,0,1,2,0
HU_1435,Kékcse,1162,684,4,0,70,194,8,2,402,1,0,2,1,0
HU_3286,Kérsemjén,244,187,2,0,15,34,4,2,129,1,0,0,0,0
HU_1942,Kisar,776,474,3,0,50,82,2,1,329,6,0,0,1,0
HU_0850,Kishódos,64,46,1,0,2,0,0,0,43,0,0,0,0,0
HU_2847,Kisléta,1205,772,13,0,79,237,12,11,409,6,0,5,0,0
HU_1603,Kisnamény,243,172,3,0,11,34,7,0,113,4,0,0,0,0
HU_2930,Kispalád,374,260,0,0,26,11,2,0,219,1,0,0,1,0
HU_0975,Kisszekeres,441,276,1,0,52,63,9,5,144,2,0,0,0,0
HU_1267,Kisvarsány,816,568,5,0,39,190,8,9,305,4,0,7,1,0
HU_0926,Kisvárda,13746,8762,38,0,1583,2311,296,189,4057,212,0,17,59,0
HU_0744,Kocsord,2313,1586,8,0,108,578,21,17,834,15,0,3,2,0
HU_2233,Komlódtótfalu,83,66,0,0,1,10,0,2,53,0,0,0,0,0
HU_2714,Komoró,1536,943,5,0,114,176,16,12,600,15,0,2,3,0
HU_2372,Kótaj,3458,2259,16,0,380,424,69,13,1299,46,0,7,5,0
HU_1666,Kölcse,1017,686,5,0,93,91,22,14,456,3,0,1,1,0
HU_2129,Laskod,823,497,7,0,70,83,10,7,318,2,0,0,0,0
HU_3097,Levelek,2186,1164,6,0,223,268,24,33,588,15,0,3,4,0
HU_2609,Lónya,589,382,8,0,86,49,2,0,212,2,0,21,2,0
HU_0799,Lövõpetri,413,266,1,0,31,53,6,3,172,0,0,0,0,0
HU_2998,Magosliget,185,152,0,0,8,16,2,0,125,0,0,0,1,0
HU_1662,Magy,764,418,7,0,54,75,7,10,258,5,0,2,0,0
HU_0208,Mánd,210,148,0,0,20,38,7,1,81,1,0,0,0,0
HU_1782,Mándok,3325,1847,16,0,204,527,36,29,1001,22,0,6,6,0
HU_1965,Máriapócs,1689,1085,8,0,94,181,18,14,751,15,0,2,2,0
HU_3322,Márokpapi,340,253,1,0,10,22,2,0,214,2,0,1,1,0
HU_1887,Mátészalka,14017,9145,41,0,1492,2560,299,182,4323,208,0,29,11,0
HU_2066,Mátyus,240,127,3,0,12,27,0,2,81,0,0,2,0,0
