gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,EGYÜTT-PM,Jobbik,MSZP,LMP,DK,SMS,AH
HU_16106,Mesztegnyő,1079,285,1,0,129,19,88,21,7,19,0,1
HU_30854,Mezőcsokonya,967,140,1,0,87,6,13,12,6,15,0,0
HU_20905,Mike,487,85,1,0,50,7,16,6,1,3,0,1
HU_33376,Miklósi,188,63,0,0,40,0,13,5,1,2,2,0
HU_31343,Mosdós,766,194,1,0,123,7,24,11,8,20,0,0
HU_17941,Nagyatád,9322,2401,6,0,1052,145,398,348,89,332,12,19
HU_21652,Nagybajom,2537,351,1,0,193,8,81,38,9,20,1,0
HU_29063,Nagyberény,1106,183,0,0,92,9,61,5,6,8,0,2
HU_21449,Nagyberki,1192,253,1,0,127,12,54,20,8,28,2,1
HU_20598,Nagycsepely,306,106,0,0,64,0,16,10,6,9,0,1
HU_32805,Nagykorpád,458,122,2,0,84,0,23,7,2,4,0,0
HU_25520,Nagyszakácsi,347,80,1,0,41,1,15,15,0,7,0,0
HU_15909,Nágocs,495,82,0,0,53,0,12,7,4,4,0,2
HU_07913,Nemesdéd,519,84,0,0,52,3,17,5,1,4,0,2
HU_25511,Nemeskisfalud,81,29,1,0,17,0,9,2,0,0,0,0
HU_17561,Nemesvid,541,123,0,0,76,0,31,7,0,9,0,0
HU_10959,Nikla,546,145,0,0,100,1,26,5,5,6,0,2
HU_03203,Nyim,249,49,0,0,22,4,4,7,5,7,0,0
HU_24536,Orci,474,109,0,0,48,15,20,9,2,15,0,0
HU_16823,Ordacsehi,665,163,1,0,106,0,30,11,0,15,0,0
HU_19770,Osztopán,611,136,0,0,89,5,14,6,4,17,0,1
HU_07056,Öreglak,1187,191,0,0,123,6,28,15,5,14,0,0
HU_32115,Ötvöskónyi,677,119,1,0,67,2,19,10,5,14,0,1
HU_14012,Őrtilos,437,131,1,0,84,1,31,8,5,0,1,0
HU_26392,Pamuk,184,77,1,0,70,1,4,0,0,1,0,0
HU_06141,Patalom,271,99,1,0,60,2,6,17,3,5,2,3
HU_12168,Patca,50,17,0,0,7,1,4,1,3,1,0,0
HU_15592,Patosfa,208,43,0,0,26,1,8,8,0,0,0,0
HU_34041,Pálmajor,211,45,0,0,45,0,0,0,0,0,0,0
HU_29197,Péterhida,129,50,0,0,36,2,10,2,0,0,0,0
HU_27553,Pogányszentpéter,379,59,0,0,27,1,16,7,1,7,0,0
HU_13790,Polány,175,50,0,0,34,0,12,3,0,1,0,0
HU_11828,Porrog,188,52,1,0,33,3,6,3,5,1,0,0
HU_13930,Porrogszentkirály,220,59,0,0,39,1,16,1,1,0,1,0
HU_28510,Porrogszentpál,72,34,0,0,29,0,5,0,0,0,0,0
HU_28361,Potony,180,60,0,0,47,0,3,4,2,4,0,0
HU_19026,Pusztakovácsi,640,135,1,0,90,1,23,6,3,10,0,1
HU_23311,Pusztaszemes,327,105,0,0,58,12,12,14,1,8,0,0
HU_30863,Ráksi,386,86,0,0,49,1,24,8,2,2,0,0
HU_05078,Rinyabesenyő,130,15,0,0,13,0,0,1,0,1,0,0
HU_32674,Rinyakovácsi,116,44,0,0,32,0,8,1,2,1,0,0
HU_26754,Rinyaszentkirály,305,48,0,0,20,2,17,5,0,1,1,2
HU_20622,Rinyaújlak,241,52,0,0,31,2,10,6,0,2,0,1
HU_20321,Rinyaújnép,41,12,0,0,7,0,4,0,1,0,0,0
HU_14942,Ságvár,1522,361,3,0,210,8,80,26,14,16,3,1
HU_31121,Sántos,469,118,0,0,66,4,30,9,3,6,0,0
HU_02051,Sávoly,388,68,0,0,40,0,11,6,4,5,1,1
HU_27368,Segesd,1950,302,1,0,137,12,77,41,10,18,2,4
HU_32133,Sérsekszőlős,130,52,0,0,36,0,6,1,2,7,0,0
HU_32780,Simonfa,291,69,0,0,32,2,18,5,4,8,0,0
HU_17631,Siófok,20849,6815,14,0,3797,435,863,694,316,632,28,36
HU_23092,Siójut,491,122,0,0,74,6,17,15,3,4,1,2
HU_04127,Som,558,123,1,0,56,4,25,22,4,11,0,0
HU_13824,Somodor,339,79,0,0,34,0,19,13,0,13,0,0
HU_30580,Somogyacsa,157,44,0,0,29,0,5,3,1,6,0,0
HU_05500,Somogyaracs,127,25,0,0,17,0,5,2,0,1,0,0
HU_31219,Somogyaszaló,620,162,1,0,81,5,29,22,4,16,2,2
HU_32470,Somogybabod,440,107,0,0,63,4,12,7,4,17,0,0
HU_25043,Somogybükkösd,87,42,0,0,30,0,5,0,3,3,1,0
HU_11484,Somogycsicsó,133,31,0,0,13,2,8,4,0,3,0,1
HU_15981,Somogydöröcske,133,40,0,0,23,0,7,8,0,2,0,0
HU_20057,Somogyegres,179,37,0,0,24,0,5,3,1,4,0,0
HU_18078,Somogyfajsz,401,98,0,0,62,1,13,9,4,9,0,0
HU_20330,Somogygeszti,374,71,1,0,49,3,5,6,0,7,0,0
HU_28963,Somogyjád,1325,282,0,0,148,8,36,41,13,35,1,0
HU_12876,Somogymeggyes,419,91,0,0,62,2,12,10,1,4,0,0
HU_15626,Somogysámson,532,105,0,0,87,2,3,7,0,5,1,0
HU_28723,Somogysárd,1027,190,2,0,96,6,47,13,7,19,0,0
HU_27535,Somogysimonyi,57,30,0,0,25,0,5,0,0,0,0,0
HU_06600,Somogyszentpál,525,100,1,0,52,3,23,14,1,5,1,0
HU_03416,Somogyszil,597,150,5,0,85,2,32,10,7,8,1,0
HU_18546,Somogyszob,1369,325,2,0,184,5,64,38,9,19,0,4
HU_32601,Somogytúr,367,121,0,0,74,1,35,8,2,1,0,0
HU_04853,Somogyudvarhely,924,199,0,0,148,2,26,14,4,4,0,1
HU_21856,Somogyvámos,615,101,0,0,54,5,10,7,3,21,0,1
HU_19442,Somogyvár,1416,340,3,0,258,3,39,18,4,14,1,0
HU_04835,Somogyzsitfa,438,98,0,0,50,2,12,23,0,11,0,0
HU_14854,Szabadi,252,70,2,0,46,3,8,5,1,5,0,0
HU_28574,Szabás,440,115,3,0,82,2,13,5,4,5,1,0
HU_34236,Szántód,641,297,0,0,161,27,31,27,22,27,1,1
HU_18607,Szegerdő,164,57,0,0,47,2,0,6,0,2,0,0
HU_15103,Szenna,592,199,1,0,117,7,28,15,18,12,0,1
HU_11509,Szenta,332,74,0,0,60,0,5,3,1,5,0,0
HU_25706,Szentbalázs,264,110,0,0,77,5,7,3,5,12,1,0
HU_32841,Szentborbás,104,36,0,0,25,0,6,4,1,0,0,0
HU_12973,Szentgáloskér,416,86,0,0,54,1,14,15,0,2,0,0
HU_30146,Szenyér,239,35,0,0,26,0,1,4,1,3,0,0
HU_32461,Szilvásszentmárton,171,66,1,0,48,1,12,3,0,1,0,0
HU_05193,Szorosad,89,36,0,0,10,2,9,11,0,4,0,0
HU_15194,Szólád,496,210,1,0,148,3,14,12,7,24,0,1
HU_05810,Szőkedencs,230,84,1,0,60,0,17,1,2,3,0,0
HU_11101,Szőlősgyörök,1003,198,0,0,114,18,31,12,8,14,0,1
HU_10986,Szulok,526,134,0,0,107,1,7,6,6,6,1,0
HU_08590,Tab,3733,815,3,0,441,38,114,97,20,88,5,9
HU_24615,Tapsony,578,97,2,0,50,3,30,8,3,1,0,0
HU_16735,Tarany,928,117,3,0,68,2,23,13,1,7,0,0
HU_04932,Taszár,1647,384,1,0,130,31,57,62,30,70,1,2
HU_13693,Táska,325,105,0,0,77,3,18,6,0,0,0,1
HU_23968,Teleki,157,52,0,0,28,0,7,10,5,2,0,0
HU_32416,Tengőd,367,52,0,0,34,1,12,2,0,2,1,0
HU_17844,Tikos,106,27,3,0,13,0,3,6,1,1,0,0
HU_10153,Torvaj,213,75,0,0,53,0,16,3,1,2,0,0
HU_16407,Tótújfalu,183,55,0,0,37,0,9,3,1,4,0,1
HU_20093,Törökkoppány,353,99,0,0,53,0,16,20,0,9,0,1
HU_07205,Újvárfalva,230,59,0,0,40,2,9,4,2,1,0,1
HU_09274,Varászló,119,43,0,0,33,0,8,1,0,1,0,0
HU_26781,Várda,421,115,0,0,61,2,16,15,9,12,0,0
HU_08183,Vése,622,96,0,0,51,1,18,14,0,12,0,0
HU_19017,Visnye,193,47,0,0,31,0,10,2,2,2,0,0
HU_06877,Visz,181,60,1,0,30,0,15,7,2,5,0,0
HU_29780,Vízvár,488,108,0,0,50,7,21,15,3,10,0,2
HU_09645,Vörs,337,107,0,0,77,1,7,11,4,7,0,0
HU_11466,Zala,226,54,0,0,33,0,13,2,5,0,0,1
HU_06008,Zamárdi,2433,1030,10,0,649,71,92,71,45,87,3,2
HU_14623,Zákány,944,250,1,0,162,6,26,36,2,17,0,0
HU_33057,Zics,303,57,2,0,31,7,8,6,2,1,0,0
HU_27614,Zimány,457,104,2,0,56,0,15,13,4,12,1,1
HU_26842,Zselickisfalud,205,44,0,0,24,2,10,3,2,2,0,1
HU_24110,Zselickislak,264,67,0,0,44,4,8,7,2,2,0,0
HU_17491,Zselicszentpál,348,101,0,0,61,2,22,7,3,6,0,0
HU_34403,Zákányfalu,466,91,0,0,54,4,15,7,5,6,0,0
HU_03559,Balatonvilágos,1224,431,3,0,186,32,71,63,28,42,3,3
HU_08776,Ajak,3196,596,1,0,375,16,101,51,20,28,4,0
HU_29975,Anarcs,1617,253,0,0,108,7,81,35,5,15,0,2
HU_20303,Apagy,1918,371,2,0,182,13,101,42,6,24,1,0
HU_09353,Aranyosapáti,1458,269,3,0,164,2,68,24,1,6,0,1
HU_02325,Baktalórántháza,2800,1827,9,0,1460,16,178,98,22,37,4,3
HU_26958,Balkány,5121,927,7,0,546,13,158,111,17,71,2,2
HU_15963,Balsa,690,163,2,0,97,3,27,25,2,7,0,0
HU_26480,Barabás,714,198,4,0,140,3,18,18,2,13,0,0
HU_02990,Bátorliget,539,160,0,0,107,0,18,32,0,1,1,1
