gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΓΙΑ ΤΗΝ ΕΥΡΩΠΗ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,Ε.ΔΗ - Κ.Π.Ε. - ΕΥΡΩΠΑΙΚΗ ΚΥΠΡΟΣ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΝΕΟΙ ΟΡΙΖΟΝΤΕΣ,ΚΥΡΙΑΚΟΥ ΚΩΣΤΑΣ,ΑΓΑΠΙΟΥ Σ. ΑΝΤΩΝΗΣ,ΜΑΛΙΑΝ ΑΡΤΟ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΧΑΣΣΑΝ ΜΕΧΜΕΤ,ΕΥΑΓΟΡΟΥ ΚΑΙΤΗ,ΙΩΑΝΝΟΥ ΑΝΔΡΕΑΣ
CY_4104,Πύλα,791,589,23,24,45,172,231,23,48,1,7,5,5,0,0,3,0,2,0,0
CY_4105,Ξυλοτύμβου,2458,1972,41,78,250,627,524,102,282,6,9,8,41,2,1,0,0,1,0,0
CY_4106,Ormideia,2990,2330,65,72,169,746,976,54,197,12,18,3,12,1,0,0,0,3,2,0
CY_4107,Ξυλοφάγου,3564,2617,149,178,147,1061,672,128,194,13,21,5,36,7,0,0,0,5,1,0
CY_4110,Kiti,2111,1575,58,38,92,268,852,127,90,7,27,1,8,3,0,0,0,3,1,0
CY_4111,Περιβόλια Λάρνακας,1282,998,19,31,56,171,600,43,33,6,8,20,6,1,1,1,0,1,1,0
CY_4112,Τερσεφάνου,697,562,13,18,34,151,269,24,34,0,2,3,12,0,0,0,0,0,2,0
CY_4120,Mazotos,517,380,6,8,37,126,115,13,71,0,2,0,2,0,0,0,0,0,0,0
CY_4121,Alaminos,215,176,7,6,40,74,17,15,13,0,1,0,2,1,0,0,0,0,0,0
CY_4122,Αναφωτίδα,457,356,2,6,50,182,74,8,28,0,4,0,1,0,0,0,0,0,0,1
CY_4124,Κιβισίλι,182,141,1,0,10,77,21,6,21,0,2,0,3,0,0,0,0,0,0,0
CY_4125,Alethriko,516,385,12,8,55,108,123,29,40,2,1,0,4,1,1,0,0,1,0,0
CY_4126,Κλαυδιά,492,377,12,12,62,164,51,11,59,1,3,0,1,0,0,0,1,0,0,0
CY_4127,Αγγλισίδες,700,556,18,16,73,186,114,44,47,1,4,5,46,0,1,1,0,0,0,0
CY_4128,Menogeia,46,42,0,0,10,9,16,4,1,0,1,0,1,0,0,0,0,0,0,0
CY_4202,Athienou,3268,2530,31,34,470,677,661,328,248,18,21,2,38,0,0,0,0,2,0,0
CY_4210,Καλό Χωριό Λάρνακας,1182,915,32,28,96,280,264,119,67,8,7,2,7,0,0,0,0,4,1,0
CY_4211,Agia Anna,156,123,6,2,8,23,45,32,3,1,1,0,2,0,0,0,0,0,0,0
CY_4212,Μοσφιλωτή,818,644,18,19,54,229,224,42,45,2,8,0,3,0,0,0,0,0,0,0
CY_4213,Ψευδάς,654,570,9,15,20,129,275,79,30,1,5,2,5,0,0,0,0,0,0,0
CY_4214,Πυργά (τα) Λάρνακας,414,335,9,3,70,60,137,9,31,1,4,1,10,0,0,0,0,0,0,0
CY_4215,Kornos,1244,949,24,23,44,237,362,207,39,1,5,0,6,0,0,0,0,1,0,0
CY_4300,Ζύγι,407,327,8,5,45,57,95,17,88,4,3,2,2,0,0,1,0,0,0,0
CY_4301,Mari,211,164,2,1,13,73,17,8,43,0,3,1,3,0,0,0,0,0,0,0
CY_4302,Καλαβασός,588,476,3,6,57,99,194,40,52,4,3,14,0,1,0,0,0,0,3,0
CY_4303,Τόχνη,239,190,7,4,50,49,19,14,40,2,2,0,3,0,0,0,0,0,0,0
CY_4304,Χοιροκoιτία,335,265,11,4,61,85,24,27,41,5,2,3,2,0,0,0,0,0,0,0
CY_4305,Psematismenos,130,102,6,1,6,56,12,14,4,1,0,0,2,0,0,0,0,0,0,0
CY_4306,Maroni,399,303,8,6,65,118,9,31,27,0,10,24,4,0,0,0,0,1,0,0
CY_4307,Άγιος Θεόδωρος Λάρνακας,488,401,6,6,32,244,12,54,37,1,3,2,3,1,0,0,0,0,0,0
CY_4308,Skarinou,153,133,2,3,31,45,22,21,2,3,2,0,2,0,0,0,0,0,0,0
CY_4309,Κοφίνου,1039,801,26,24,76,261,264,76,48,3,6,8,7,1,0,0,0,0,0,1
CY_4310,Κάτω Λεύκαρα,110,88,2,4,8,8,15,42,8,0,1,0,0,0,0,0,0,0,0,0
CY_4311,Πάνω Λεύκαρα,872,661,2,3,45,76,71,422,27,6,2,1,2,1,0,0,0,2,1,0
CY_4312,Κάτω Δρυς,97,77,1,2,12,46,3,9,4,0,0,0,0,0,0,0,0,0,0,0
CY_4313,Βάβλα,72,58,1,0,9,27,3,9,8,0,1,0,0,0,0,0,0,0,0,0
CY_4315,Ora,142,106,2,9,12,48,3,15,13,2,1,0,1,0,0,0,0,0,0,0
CY_4316,Μελίνη,74,57,2,2,1,10,34,2,2,2,1,0,1,0,0,0,0,0,0,0
CY_4317,Odou,138,105,7,0,9,34,43,3,6,0,1,0,2,0,0,0,0,0,0,0
CY_4318,'Αγιοι Βαβατσινιάς,185,129,4,6,34,35,15,19,10,1,3,0,2,0,0,0,0,0,0,0
CY_4319,Βαβατσινιά,113,77,2,1,12,35,8,16,3,0,0,0,0,0,0,0,0,0,0,0
CY_5001,Lemesos,64380,45132,1094,852,9593,11111,11619,3762,4852,352,683,73,972,40,5,14,10,86,12,2
CY_5011,Mesa Geitonia,8311,5834,116,116,1123,1257,1874,535,589,43,69,12,76,8,0,0,6,9,1,0
CY_5012,Agios Athanasios,5944,4367,112,83,730,1026,1455,363,416,32,64,8,64,4,1,0,0,8,1,0
CY_5013,Germasogeia,4481,3196,71,68,564,852,902,218,354,19,75,10,48,2,0,0,0,12,1,0
CY_5020,Pano Polemidia,3324,2494,58,42,374,542,1036,160,215,6,24,4,22,2,0,0,3,6,0,0
CY_5021,'Υψωνας,3543,2462,81,57,367,805,497,221,305,11,19,8,77,8,1,1,2,1,0,1
CY_5022,Kato Polemidia,11176,7973,229,198,1302,2031,2597,556,770,67,86,9,102,11,0,1,4,10,0,0
CY_5100,Palodeia,362,279,11,10,53,60,69,40,17,1,6,1,9,1,0,0,0,1,0,0
CY_5101,Παραμύθα,168,108,5,2,33,28,12,14,9,2,1,0,1,0,0,0,1,0,0,0
CY_5102,Spitali,165,129,6,0,24,72,4,5,13,1,1,0,0,2,0,0,0,1,0,0
CY_5103,Φασούλα Λεμεσού,272,199,2,9,19,60,58,21,23,0,2,1,2,1,0,0,1,0,0,0
CY_5104,Μαθικολώνη,91,85,7,4,21,20,11,6,13,0,1,0,2,0,0,0,0,0,0,0
CY_5105,Gerasa,91,83,4,1,17,30,21,8,1,0,0,0,1,0,0,0,0,0,0,0
CY_5106,Apsiou,188,154,2,2,23,15,87,18,6,1,0,0,0,0,0,0,0,0,0,0
CY_5107,Apesia,235,201,7,4,41,119,5,6,11,1,2,0,5,0,0,0,0,0,0,0
CY_5108,Κορφή,137,112,3,6,22,51,4,10,11,2,1,0,2,0,0,0,0,0,0,0
CY_5109,Λιμνάτης,268,192,9,2,52,74,31,8,7,0,7,0,1,0,0,0,0,1,0,0
CY_5120,Mouttagiaka,1338,929,33,31,107,197,348,66,123,4,7,3,9,0,0,0,0,0,0,1
CY_5121,Αρμενοχώρι,119,92,8,3,8,4,57,3,5,0,1,0,1,0,1,0,0,1,0,0
CY_5122,Φοινικάρια,110,83,2,4,8,15,26,2,5,0,19,0,0,1,0,0,0,1,0,0
CY_5123,Akrounta,260,204,4,6,58,26,30,31,20,1,23,2,2,0,0,1,0,0,0,0
CY_5124,'Αγιος Τύχων,883,612,9,14,104,226,101,33,84,6,16,2,13,1,0,0,0,3,0,0
CY_5125,Παρεκκλησιά,754,553,18,14,101,159,135,23,64,3,16,3,12,3,1,0,0,1,0,0
CY_5126,Pentakomo,336,249,5,5,45,81,37,17,48,2,6,0,1,1,0,0,0,1,0,0
CY_5127,Monagroulli,328,261,4,2,52,76,108,2,13,0,1,1,2,0,0,0,0,0,0,0
CY_5128,Μονή,261,201,1,8,19,44,81,10,31,1,3,0,3,0,0,0,0,0,0,0
CY_5129,Πύργος Λεμεσού,812,647,30,12,83,284,125,42,56,1,3,3,7,0,0,1,0,0,0,0
CY_5130,Asgata,256,209,2,2,30,53,77,29,8,1,2,0,4,0,0,0,0,1,0,0
CY_5131,Βάσα Κελλακίου,51,46,0,1,6,13,20,3,3,0,0,0,0,0,0,0,0,0,0,0
CY_5133,Πραστιό Κελλακίου,77,63,0,2,11,3,45,0,2,0,0,0,0,0,0,0,0,0,0,0
CY_5136,Kellaki,253,198,5,4,37,40,78,13,11,5,1,1,3,0,0,0,0,0,0,0
CY_5138,Eptagoneia,279,219,3,6,20,84,59,19,23,1,1,0,2,1,0,0,0,0,0,0
CY_5140,Dierona,230,177,15,5,15,38,76,12,13,1,1,0,0,0,0,0,0,1,0,0
