gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,GRÜNE,CSU,DIE LINKE,FDP,REP,Die Tierschutzpartei,FAMILIE,ödp,DIE FRAUEN,Volksabstimmung,PBC,CM,AUFBRUCH,DKP,BP,PSG,BüSo,50Plus,AUF,DVU,DIE GRAUEN,DIE VIOLETTEN,EDE,FBI,FÜR VOLKSENTSCHEIDE,FW FREIE WÄHLER,Newropeans,PIRATEN,RRP,RENTNER
DE_07340002,Busenberg,1093,454,50,0,148,113,31,0,26,25,11,7,5,1,1,1,1,0,0,1,0,1,1,1,0,1,1,2,0,0,1,21,0,1,1,2
DE_07340003,Clausen,1195,390,25,0,215,32,19,0,12,34,24,7,3,0,4,1,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,5,0,4,0,0
DE_07340004,Dahn,3743,1066,59,0,413,254,85,0,36,103,30,26,8,1,3,1,3,3,2,1,1,0,0,2,0,6,1,1,0,1,0,6,0,12,3,5
DE_07340005,Darstein,174,88,7,0,19,32,9,0,0,8,4,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
DE_07340006,Dimbach,143,58,4,0,7,23,6,0,4,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
DE_07340007,Donsieders,843,298,19,0,89,71,21,0,9,26,21,5,7,1,3,1,2,1,0,0,1,0,0,1,1,2,1,0,0,0,1,6,0,2,1,6
DE_07340008,Eppenbrunn,1177,407,29,0,164,83,26,0,17,31,24,4,5,1,2,1,1,2,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,4,3,4
DE_07340009,Erfweiler,1010,374,29,0,158,78,29,0,10,28,6,6,10,0,2,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,8,1,2
DE_07340010,Erlenbach bei Dahn,289,98,10,0,32,18,9,0,5,10,1,2,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0
DE_07340011,Fischbach bei Dahn,1311,348,39,0,165,54,14,0,9,25,14,4,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,0,4
DE_07340012,Geiselberg,681,365,27,0,115,108,24,0,13,36,8,2,4,0,0,2,1,0,0,0,1,0,0,2,0,0,1,0,0,1,1,12,0,2,2,3
DE_07340014,Hauenstein,3298,821,61,0,340,106,104,0,19,108,15,7,8,0,4,1,0,2,2,2,0,0,0,4,1,4,1,3,2,1,1,4,0,10,1,10
DE_07340015,Heltersberg,1766,933,73,0,358,240,60,0,31,72,21,12,10,1,4,0,1,0,2,0,0,1,1,3,2,3,2,2,0,2,1,13,0,8,5,5
DE_07340016,Hermersberg,1417,673,44,0,362,103,36,0,18,42,19,6,7,1,3,1,3,0,0,0,0,0,0,2,0,2,1,2,0,1,0,12,0,4,1,3
DE_07340017,Herschberg,730,375,26,0,86,140,10,0,13,36,18,5,3,1,2,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,17,1,5,1,5
DE_07340018,Hettenhausen,212,145,17,0,58,26,3,0,3,16,12,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1
DE_07340019,Hilst,291,150,11,0,53,42,5,0,11,7,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
DE_07340020,Hinterweidenthal,1299,424,37,0,124,120,26,0,15,44,21,14,4,0,3,1,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4,0,1,1,2
DE_07340021,Hirschthal,72,42,2,0,6,18,0,0,0,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_07340022,Höheinöd,1043,501,49,0,112,177,37,0,17,47,12,11,4,0,1,0,11,1,2,1,0,0,1,1,2,1,1,1,1,0,1,7,0,2,0,1
