gisco_id,name,registered,turnout,invalid,blank,SOC,UMP,PRG,DVG,DVD,FN,COM,VEC,UDF,RPF,PREP,DIV,REG
FR_28094,Chaudon,1060,617,25,0,287,305,0,0,0,0,0,0,0,0,0,0,0
FR_28095,Chauffours,213,138,4,0,0,71,63,0,0,0,0,0,0,0,0,0,0
FR_28096,La Chaussée-dIvry,669,353,12,0,133,208,0,0,0,0,0,0,0,0,0,0,0
FR_28098,Cherisy,1289,755,37,0,250,468,0,0,0,0,0,0,0,0,0,0,0
FR_28099,Chuisnes,694,445,11,0,0,137,297,0,0,0,0,0,0,0,0,0,0
FR_28100,Cintray,257,171,8,0,0,94,69,0,0,0,0,0,0,0,0,0,0
FR_28101,Civry,216,123,8,0,0,70,0,0,0,0,0,45,0,0,0,0,0
FR_28102,Clévilliers,480,268,11,0,126,131,0,0,0,0,0,0,0,0,0,0,0
FR_28103,Cloyes-les-Trois-Rivières,2055,1309,88,0,0,746,0,0,0,0,0,475,0,0,0,0,0
FR_28104,Coltainville,624,393,20,0,168,205,0,0,0,0,0,0,0,0,0,0,0
FR_28105,Combres,340,212,5,0,0,104,103,0,0,0,0,0,0,0,0,0,0
FR_28106,Conie-Molitard,311,195,11,0,0,106,0,0,0,0,0,78,0,0,0,0,0
FR_28107,Corancez,333,207,10,0,103,94,0,0,0,0,0,0,0,0,0,0,0
FR_28108,Cormainville,154,118,9,0,0,65,0,0,0,0,0,44,0,0,0,0,0
FR_28109,Les Corvées-les-Yys,175,111,9,0,0,56,46,0,0,0,0,0,0,0,0,0,0
FR_28110,Le Coudray,2149,1341,64,0,586,691,0,0,0,0,0,0,0,0,0,0,0
FR_28111,Coudray-au-Perche,266,164,7,0,0,103,54,0,0,0,0,0,0,0,0,0,0
FR_28112,Coudreceau,289,149,5,0,0,83,61,0,0,0,0,0,0,0,0,0,0
FR_28113,Coulombs,1017,573,22,0,263,288,0,0,0,0,0,0,0,0,0,0,0
FR_28114,Courbehaye,102,78,3,0,0,59,0,0,0,0,0,16,0,0,0,0,0
FR_28115,Courtalain,402,241,13,0,0,125,0,0,0,0,0,103,0,0,0,0,0
FR_28116,Courville-sur-Eure,1745,1061,32,0,0,495,534,0,0,0,0,0,0,0,0,0,0
FR_28117,Crécy-Couvé,211,143,4,0,51,88,0,0,0,0,0,0,0,0,0,0,0
FR_28118,Croisilles,280,183,13,0,63,107,0,0,0,0,0,0,0,0,0,0,0
FR_28119,La Croix-du-Perche,155,110,5,0,0,58,47,0,0,0,0,0,0,0,0,0,0
FR_28120,Crucey-Villages,411,248,11,0,57,180,0,0,0,0,0,0,0,0,0,0,0
FR_28121,Dambron,83,53,5,0,0,32,0,0,0,0,0,16,0,0,0,0,0
FR_28122,Dammarie,1149,671,31,0,301,339,0,0,0,0,0,0,0,0,0,0,0
FR_28123,Dampierre-sous-Brou,352,209,15,0,0,108,0,0,0,0,0,86,0,0,0,0,0
FR_28124,Dampierre-sur-Avre,460,241,12,0,88,141,0,0,0,0,0,0,0,0,0,0,0
FR_28126,Dancy,152,104,7,0,0,59,0,0,0,0,0,38,0,0,0,0,0
FR_28127,Dangeau,666,417,24,0,0,250,0,0,0,0,0,143,0,0,0,0,0
FR_28128,Dangers,281,197,9,0,0,99,89,0,0,0,0,0,0,0,0,0,0
FR_28129,Denonville,437,262,13,0,0,113,0,0,0,0,0,136,0,0,0,0,0
FR_28130,Digny,656,354,20,0,109,225,0,0,0,0,0,0,0,0,0,0,0
FR_28132,Donnemain-Saint-Mamès,466,295,19,0,0,119,0,0,0,0,0,157,0,0,0,0,0
FR_28133,Douy,373,239,18,0,0,113,0,0,0,0,0,108,0,0,0,0,0
FR_28134,Dreux,14224,7155,305,0,2770,4080,0,0,0,0,0,0,0,0,0,0,0
FR_28135,Droue-sur-Drouette,844,539,17,0,216,306,0,0,0,0,0,0,0,0,0,0,0
FR_28136,Écluzelles,168,120,5,0,37,78,0,0,0,0,0,0,0,0,0,0,0
FR_28137,Écrosnes,550,329,10,0,145,174,0,0,0,0,0,0,0,0,0,0,0
FR_28139,Épeautrolles,98,77,2,0,0,40,35,0,0,0,0,0,0,0,0,0,0
FR_28140,Épernon,3424,1868,65,0,850,953,0,0,0,0,0,0,0,0,0,0,0
FR_28141,Ermenonville-la-Grande,180,113,5,0,0,56,52,0,0,0,0,0,0,0,0,0,0
FR_28142,Ermenonville-la-Petite,123,90,8,0,0,38,44,0,0,0,0,0,0,0,0,0,0
FR_28143,Escorpain,164,92,4,0,27,61,0,0,0,0,0,0,0,0,0,0,0
FR_28144,Les Étilleux,162,105,5,0,0,69,31,0,0,0,0,0,0,0,0,0,0
FR_28145,Fains-la-Folie,243,148,6,0,0,113,0,0,0,0,0,29,0,0,0,0,0
FR_28146,Faverolles,555,347,5,0,136,206,0,0,0,0,0,0,0,0,0,0,0
FR_28147,Favières,325,190,12,0,59,119,0,0,0,0,0,0,0,0,0,0,0
FR_28148,Le Favril,231,149,7,0,0,99,43,0,0,0,0,0,0,0,0,0,0
FR_28149,La Ferté-Vidame,600,311,16,0,103,192,0,0,0,0,0,0,0,0,0,0,0
FR_28150,La Ferté-Villeneuil,295,183,8,0,0,111,0,0,0,0,0,64,0,0,0,0,0
FR_28151,Fessanvilliers-Mattanvilliers,101,76,3,0,9,64,0,0,0,0,0,0,0,0,0,0,0
FR_28153,Flacey,175,120,10,0,0,53,0,0,0,0,0,57,0,0,0,0,0
FR_28154,Fontaine-la-Guyon,737,470,2,0,0,237,231,0,0,0,0,0,0,0,0,0,0
FR_28155,Fontaine-les-Ribouts,168,95,7,0,31,57,0,0,0,0,0,0,0,0,0,0,0
FR_28156,Fontaine-Simon,644,391,24,0,0,195,172,0,0,0,0,0,0,0,0,0,0
FR_28157,Fontenay-sur-Conie,108,79,2,0,0,62,0,0,0,0,0,15,0,0,0,0,0
FR_28158,Fontenay-sur-Eure,602,424,23,0,152,249,0,0,0,0,0,0,0,0,0,0,0
FR_28159,La Framboisière,261,146,5,0,53,88,0,0,0,0,0,0,0,0,0,0,0
FR_28160,Francourville,543,320,15,0,0,161,0,0,0,0,0,144,0,0,0,0,0
FR_28161,Frazé,443,271,13,0,0,170,88,0,0,0,0,0,0,0,0,0,0
FR_28162,Fresnay-le-Comte,246,149,8,0,67,74,0,0,0,0,0,0,0,0,0,0,0
FR_28163,Fresnay-le-Gilmert,137,78,5,0,20,53,0,0,0,0,0,0,0,0,0,0,0
FR_28164,Fresnay-lÉvêque,416,278,13,0,0,150,0,0,0,0,0,115,0,0,0,0,0
FR_28165,Frétigny,359,208,6,0,0,127,75,0,0,0,0,0,0,0,0,0,0
FR_28166,Friaize,161,100,8,0,0,47,45,0,0,0,0,0,0,0,0,0,0
FR_28167,Fruncé,245,148,6,0,0,75,67,0,0,0,0,0,0,0,0,0,0
FR_28168,Gallardon,2092,1195,34,0,558,603,0,0,0,0,0,0,0,0,0,0,0
FR_28169,Garancières-en-Beauce,172,119,7,0,0,78,0,0,0,0,0,34,0,0,0,0,0
FR_28170,Garancières-en-Drouais,191,130,8,0,42,80,0,0,0,0,0,0,0,0,0,0,0
FR_28171,Garnay,800,484,26,0,164,294,0,0,0,0,0,0,0,0,0,0,0
FR_28172,Gas,564,361,15,0,155,191,0,0,0,0,0,0,0,0,0,0,0
FR_28173,Gasville-Oisème,807,543,18,0,222,303,0,0,0,0,0,0,0,0,0,0,0
FR_28175,La Gaudaine,127,90,6,0,0,47,37,0,0,0,0,0,0,0,0,0,0
FR_28176,Le Gault-Saint-Denis,421,268,12,0,0,162,0,0,0,0,0,94,0,0,0,0,0
FR_28177,Gellainville,340,216,8,0,93,115,0,0,0,0,0,0,0,0,0,0,0
FR_28178,Germainville,223,136,2,0,33,101,0,0,0,0,0,0,0,0,0,0,0
FR_28179,Germignonville,204,127,7,0,0,88,0,0,0,0,0,32,0,0,0,0,0
