gisco_id,name,registered,turnout,invalid,blank,UG,DIV,EXG,ENS,RN,LR,ECO,DVD,REC,UXD,DSV,EXD,DVG,UDI,REG,DVC,HOR,COM,SOC,VEC,FI,RDG
FR_56178,Pontivy,9545,6378,75,69,1439,0,49,1567,1782,0,63,1221,0,0,33,0,0,0,80,0,0,0,0,0,0,0
FR_56179,Pont-Scorff,3285,2391,22,51,527,0,41,747,847,0,0,130,0,0,26,0,0,0,0,0,0,0,0,0,0,0
FR_56180,Porcaro,582,413,1,5,38,0,0,34,181,0,4,0,0,0,6,0,0,0,144,0,0,0,0,0,0,0
FR_56181,Port-Louis,2324,1772,7,34,551,0,18,554,449,0,0,135,0,0,0,0,0,0,24,0,0,0,0,0,0,0
FR_56182,Priziac,812,576,3,11,123,0,8,190,194,0,0,42,0,0,5,0,0,0,0,0,0,0,0,0,0,0
FR_56184,Questembert,6603,4695,0,122,832,0,38,742,1277,0,9,0,0,0,59,0,0,0,1616,0,0,0,0,0,0,0
FR_56185,Quéven,7710,5484,43,115,1307,0,89,1832,1760,0,0,277,0,0,61,0,0,0,0,0,0,0,0,0,0,0
FR_56186,Quiberon,4880,3657,17,48,593,0,23,1403,1242,0,0,277,0,0,0,0,0,0,54,0,0,0,0,0,0,0
FR_56188,Quistinic,1159,842,8,19,266,0,16,224,258,0,0,37,0,0,14,0,0,0,0,0,0,0,0,0,0,0
FR_56189,Radenac,755,539,8,13,59,0,7,123,251,0,5,53,0,0,8,0,0,0,12,0,0,0,0,0,0,0
FR_56190,Réguiny,1491,1079,10,17,143,0,12,298,446,0,15,118,0,0,6,0,0,0,14,0,0,0,0,0,0,0
FR_56191,Réminiac,315,223,2,2,24,0,0,25,89,0,0,0,0,0,7,0,0,0,74,0,0,0,0,0,0,0
FR_56193,Riantec,4817,3556,17,55,1052,0,74,971,1115,0,0,217,0,0,0,0,0,0,55,0,0,0,0,0,0,0
FR_56194,Rieux,2367,1676,7,23,276,0,18,222,533,0,21,0,0,0,18,0,0,0,558,0,0,0,0,0,0,0
FR_56195,La Roche-Bernard,599,456,2,1,121,0,0,72,83,0,6,0,0,0,8,0,0,0,163,0,0,0,0,0,0,0
FR_56196,Rochefort-en-Terre,435,341,1,2,92,0,1,55,71,0,4,0,0,0,3,0,0,0,112,0,0,0,0,0,0,0
FR_56197,Val d'Oust,2220,1584,4,7,211,0,9,286,469,0,20,0,0,0,12,0,0,0,566,0,0,0,0,0,0,0
FR_56198,Rohan,1276,945,6,21,173,0,11,238,363,0,14,100,0,0,8,0,0,0,11,0,0,0,0,0,0,0
FR_56199,Roudouallec,547,392,6,6,81,0,9,111,152,0,0,19,0,0,8,0,0,0,0,0,0,0,0,0,0,0
FR_56200,Ruffiac,1172,833,14,1,66,0,4,159,261,0,1,0,0,0,5,0,0,0,322,0,0,0,0,0,0,0
FR_56201,Le Saint,510,372,3,8,110,0,4,92,129,0,0,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0
FR_56202,Saint-Abraham,429,328,0,1,41,0,2,73,82,0,2,0,0,0,1,0,0,0,126,0,0,0,0,0,0,0
FR_56203,Saint-Aignan,529,403,3,10,175,0,10,95,90,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FR_56204,Saint-Allouestre,454,342,1,12,38,0,4,100,143,0,2,30,0,0,6,0,0,0,6,0,0,0,0,0,0,0
FR_56205,Saint-Armel,925,710,4,7,250,3,2,262,162,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0
FR_56206,Saint-Avé,9413,6905,44,91,2267,14,45,2424,1769,0,0,0,0,0,0,0,178,0,73,0,0,0,0,0,0,0
FR_56207,Saint-Barthélemy,941,699,6,11,155,0,5,167,265,0,7,70,0,0,5,0,0,0,8,0,0,0,0,0,0,0
FR_56208,Saint-Brieuc-de-Mauron,274,201,3,1,32,0,2,31,53,0,0,0,0,0,2,0,0,0,77,0,0,0,0,0,0,0
FR_56209,Sainte-Brigitte,159,121,1,0,49,0,0,41,25,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FR_56210,Saint-Caradec-Trégomel,322,226,2,1,29,0,4,69,103,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FR_56211,Saint-Congard,614,441,3,7,71,0,1,68,113,0,1,0,0,0,10,0,0,0,167,0,0,0,0,0,0,0
FR_56212,Saint-Dolay,2055,1437,8,15,253,0,8,185,445,0,12,0,0,0,25,0,0,0,486,0,0,0,0,0,0,0
FR_56213,Saint-Gérand,1007,736,5,21,104,0,10,146,303,0,10,123,0,0,5,0,0,0,9,0,0,0,0,0,0,0
FR_56214,Saint-Gildas-de-Rhuys,2169,1634,8,28,333,0,5,701,503,0,0,0,0,0,0,0,30,0,26,0,0,0,0,0,0,0
