gisco_id,name,registered,turnout,invalid,blank,A-HSP,BM365,Deblokirajmo Hrvatsku,NHR-HSP,DSS,Hrast-HKS-HSP AS-UHD,HBPS,HDS,HDZ,HNS-LD,HSS-GLAS-IDS-HSU-PGS-Demokrati-Laburisti,HSLS,HSR,Kolakušić,MVH,Most,Možemo!-NL-OraH,NS-R,P-UK,Petir,PMH,RF-SRP,SDSS,SSH,SH,SNAGA,SDP,START,SHZ,ZSZ,ZL,ŽZ
HR_00582,Caglin,1896,715,34,0,6,13,1,20,3,38,2,6,267,4,53,1,0,17,2,14,4,1,1,37,0,4,23,0,0,1,98,7,1,0,3,54
HR_00604,Cakovec,23641,7598,163,0,12,36,24,80,4,255,9,28,683,2120,232,32,1,646,4,138,93,76,81,178,11,19,33,2,14,44,2011,147,3,3,22,394
HR_00612,Cavle,6220,1493,60,0,5,10,5,32,2,89,0,14,220,11,84,5,0,152,1,51,22,6,64,40,3,4,31,2,3,12,398,58,2,0,5,102
HR_00639,Cazma,6501,2033,45,0,12,21,8,36,0,119,5,15,350,74,100,9,3,186,3,59,13,4,8,383,7,5,3,2,2,2,362,28,2,1,20,146
HR_00566,Cacinci,2332,728,25,0,5,1,1,24,0,48,0,12,337,6,16,2,0,35,0,28,2,1,4,13,2,1,11,0,0,0,100,10,1,0,0,43
HR_00574,Čađavica,1580,681,21,0,7,2,2,21,2,54,2,7,383,2,14,4,2,11,1,23,2,3,0,2,0,1,35,1,1,0,47,1,0,0,1,29
HR_00647,Ceminac,2429,818,29,0,8,6,3,33,0,81,4,8,357,7,12,0,0,90,0,19,1,0,2,21,1,1,21,0,0,0,49,3,1,1,3,57
HR_00655,Cepin,9550,2409,43,0,17,11,5,185,2,334,6,11,418,204,31,5,1,195,1,136,7,1,13,113,3,3,17,1,2,4,349,40,2,0,93,156
HR_HRZZCZ,Czech Republic,32,32,0,0,0,1,0,2,0,3,0,0,1,0,2,0,0,3,0,1,6,0,0,3,0,0,1,0,0,0,5,4,0,0,0,0
HR_HRZZCL,Chile,27,27,0,0,1,0,0,0,0,1,0,0,14,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0
HR_01031,Đakovo,23497,6721,249,0,23,63,38,360,6,959,17,57,1442,183,162,8,7,690,6,363,19,11,35,328,19,7,16,4,8,24,944,74,6,2,31,560
HR_01040,Đelekovec,1246,308,15,0,6,5,1,6,0,17,1,3,72,26,15,1,0,14,2,8,3,1,1,11,0,1,0,0,0,0,69,4,0,0,5,21
HR_01058,Đulovac,2516,649,26,0,4,1,5,9,2,55,2,13,308,7,18,11,0,24,0,12,0,4,4,13,1,0,58,0,1,0,35,1,1,2,5,27
HR_01082,Đurmanec,3386,1334,89,0,5,65,4,22,1,24,2,25,466,23,61,2,2,80,3,37,0,13,5,19,6,1,2,2,1,5,234,10,1,7,6,111
HR_01066,Đurđenovac,5351,1442,45,0,9,14,5,41,1,135,2,19,505,10,19,1,2,107,1,59,0,5,9,36,3,5,3,1,0,3,280,11,2,0,5,104
HR_01074,Đurđevac,6626,1676,43,0,15,312,9,30,0,79,1,11,233,26,56,3,11,123,2,34,3,4,10,58,3,4,2,0,0,4,464,25,0,1,7,103
HR_05649,Sandrovac,1286,335,6,0,0,5,1,6,1,18,0,4,82,2,45,15,1,26,1,4,0,0,0,33,1,3,3,0,1,0,60,1,0,1,2,13
HR_06084,Senkovec,2515,831,15,0,1,10,4,6,0,36,0,3,102,262,45,6,2,54,1,17,7,1,7,22,0,2,1,1,0,6,159,14,2,0,3,42
HR_04430,Sestanovac,1846,602,18,0,2,2,4,81,0,81,2,5,235,6,1,6,1,17,0,60,0,2,1,36,2,0,0,0,0,1,22,1,2,0,0,14
HR_04448,Šibenik,40658,11358,290,0,40,82,19,575,7,1437,18,103,3320,108,193,22,3,777,6,515,100,24,123,255,20,22,125,4,3,67,2419,175,10,3,24,469
HR_04456,Škabrnja,1496,379,11,0,1,3,0,42,0,37,2,8,206,1,6,3,0,11,0,14,0,3,3,6,0,1,0,0,0,0,11,1,0,0,0,9
HR_06149,Sodolovci,1340,378,17,0,1,1,2,1,9,10,0,1,21,2,2,0,0,9,0,7,0,0,1,1,0,0,232,0,0,1,51,0,2,0,2,5
HR_04472,Šolta,2259,850,28,0,4,4,9,51,1,48,0,7,137,22,8,2,0,81,1,45,15,2,17,27,1,2,7,1,1,1,248,15,1,0,6,58
HR_HRZZES,Spain,25,25,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,2,0,0,3,0,2,1,0,0,1,0,0,0,9,0,0,0,1,1
HR_04499,Spisic Bukovica,3366,975,12,0,10,4,3,15,0,67,1,20,418,9,37,2,0,52,1,23,1,2,1,74,2,0,0,0,0,2,125,10,2,0,11,71
HR_04502,Stefanje,1580,475,10,0,6,10,1,9,2,31,1,7,173,2,21,5,0,26,0,7,0,2,1,52,0,1,5,0,0,3,61,2,0,0,2,35
HR_06289,Štitar,1880,257,11,0,1,3,1,15,0,45,0,6,37,1,35,0,0,16,0,20,1,1,0,11,1,1,0,0,0,1,27,1,0,0,1,21
