gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΚΙΝΗΜΑ ΕΛΕΥΘΕΡΟΙ ΠΟΛΙΤΕΣ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΝΩΜΕΝΟΙ ΔΗΜΟΚΡΑΤΕΣ (Ε.ΔΗ),ΕΥΡΩΠΑΪΚΗ ΔΗΜΟΚΡΑΤΙΑ,ΠΟΛΙΤΙΚΟ ΚΙΝΗΜΑ ΚΥΝΗΓΩΝ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΚΩΣΤΑ ΧΡΙΣΤΑΚΗΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΑΝΔΡΕΑΣ,ΜΙΧΑΗΛ ΑΝΑΣΤΑΣΗΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΟΣ
CY_1460,Πηγένια,138,129,4,1,31,17,19,3,49,1,3,1,0,0,0,0,0,0,0,0,0
CY_1461,Παχύαμμος,99,98,3,5,13,25,21,0,22,5,1,0,3,0,0,0,0,0,0,0,0
CY_3100,Agia Napa,2012,1815,87,56,442,691,187,122,122,18,34,25,3,7,17,0,0,0,0,0,4
CY_3101,Paralimni,7186,6545,228,127,3070,948,1247,236,265,126,122,90,13,46,24,0,0,0,0,0,3
CY_3102,Δερύνεια,3471,3224,111,75,769,1718,178,70,143,28,33,75,4,14,5,0,0,0,0,0,1
CY_3103,Σωτήρα Αμμοχώστου,2935,2736,176,76,1120,285,424,276,254,29,24,35,2,17,16,0,0,0,0,0,2
CY_3104,Liopetri,2864,2607,131,85,1277,719,145,56,111,27,11,14,3,16,10,0,0,0,0,0,2
CY_3105,Φρέναρος,2606,2408,92,72,617,1126,170,42,203,13,23,31,8,11,0,0,0,0,0,0,0
CY_3110,Αυγόρου,2954,2685,90,44,1032,771,363,92,116,6,20,24,1,7,118,0,0,0,0,0,1
CY_3111,Αχνα,1546,1381,32,23,679,329,126,76,72,12,11,9,4,3,4,0,0,0,0,0,1
CY_3114,Αχερίτου,1476,1361,46,37,480,467,124,23,121,16,17,12,8,4,6,0,0,0,0,0,0
CY_4001,Larnaka,33532,29245,1111,789,8759,9573,3896,1524,2166,186,425,401,128,81,181,0,1,10,0,0,14
CY_4010,Aradippou,7453,6661,180,120,2156,2833,444,178,552,49,64,52,14,4,15,0,0,0,0,0,0
CY_4011,Λιβάδια Λάρνακας,3377,3070,102,72,732,1551,191,112,218,21,14,34,11,9,3,0,0,0,0,0,0
